trial_order,trial_id,round,expected_class,true_category,test_type,stimulus_file,stimulus_path,source_dataset,source_partition,source_id,sha256,distance_cm,volume_percent,capture_duration_s,status,notes
12,PILOT-012,2,out_of_distribution,door_wood_knock,ood,4-182041-A-30.wav,../ml-workspace/datasets/ESC-50/audio/4-182041-A-30.wav,ESC-50,fold_4,4-182041-A-30,9ccf22ef141031359b6547ef7b3b0cceef5ea7798ee90f5de87a84064dba23f7,30,50,20,pending,OOD hard negative: door_wood_knock.
13,PILOT-013,2,thunderstorm,thunderstorm,positive,thunderstorm__fsd50k__dev__37299__0053__r0.wav,../ml-workspace/datasets/hazard5v3s/audio/thunderstorm__fsd50k__dev__37299__0053__r0.wav,FSD50K,dev,37299,a1099dec2135dab38c84a831a10f62b4fffe1f5ea146f264deb30dd724b48463,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
14,PILOT-014,2,gunshot_gunfire,gunshot_gunfire,positive,gunshot_gunfire__fsd50k__dev__221640__0032__r0.wav,../ml-workspace/datasets/hazard5v3s/audio/gunshot_gunfire__fsd50k__dev__221640__0032__r0.wav,FSD50K,dev,221640,1a81e208e4e373b35863caf6b91b766d85666766ff5553fd4505d4ff07ca8f59,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
15,PILOT-015,3,dog_bark,dog_bark,positive,dog_bark__fsd50k__dev__221207__0034__r0.wav,../ml-workspace/datasets/hazard5v3s/audio/dog_bark__fsd50k__dev__221207__0034__r0.wav,FSD50K,dev,221207,7330cfc7df3dbc33b962f27d5fd7a202903f21296beab807bc0fae5109dc3f47,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
16,PILOT-016,3,out_of_distribution,rain,ood,4-180380-A-10.wav,../ml-workspace/datasets/ESC-50/audio/4-180380-A-10.wav,ESC-50,fold_4,4-180380-A-10,d73fdc45016ab102ed49683509d93eccb40b985ed9492fe17c3aecf50963a35b,30,50,20,pending,OOD hard negative: rain.
17,PILOT-017,3,siren,siren,positive,siren__fsd50k__dev__421017__0018__r0.wav,../ml-workspace/datasets/hazard5v3s/audio/siren__fsd50k__dev__421017__0018__r0.wav,FSD50K,dev,421017,88fd01ef843a3af8c5528f4272844f77241b7295714b7c5f2471426d7caba91f,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
18,PILOT-018,3,thunderstorm,thunderstorm,positive,thunderstorm__fsd50k__dev__125634__0009__r0.wav,../ml-workspace/datasets/hazard5v3s/audio/thunderstorm__fsd50k__dev__125634__0009__r0.wav,FSD50K,dev,125634,2011b4993c874d37cdce1ef5100b94d25067ca86f83fae46b8ab73390a71188f,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
19,PILOT-019,3,speech,speech,positive,speech__fsd50k__val__speech__174955__0015.wav,../ml-workspace/datasets/hazard5v3s/audio/speech__fsd50k__val__speech__174955__0015.wav,FSD50K,val,174955,d940519a116a42909d45ee7da591b17ccaa0d35164a4ba9abcad99a6499a50fd,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
20,PILOT-020,3,glass_breaking,glass_breaking,positive,glass_breaking__fsd50k__dev__178178__0027__r0.wav,../ml-workspace/datasets/hazard5v3s/audio/glass_breaking__fsd50k__dev__178178__0027__r0.wav,FSD50K,dev,178178,e350ecbd72b7bdb29e922443664cfdca72c6dd9df9d989560c70450438ca3ef6,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
21,PILOT-021,3,gunshot_gunfire,gunshot_gunfire,positive,gunshot_gunfire__fsd50k__dev__150139__0011__r0.wav,../ml-workspace/datasets/hazard5v3s/audio/gunshot_gunfire__fsd50k__dev__150139__0011__r0.wav,FSD50K,dev,150139,483a5e00e438e1f22636c71d84dec95946450f41f26968afc7166d1ee9a2fef6,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
22,PILOT-022,4,dog_bark,dog_bark,positive,dog_bark__fsd50k__dev__379531__0052__r0.wav,../ml-workspace/datasets/hazard5v3s/audio/dog_bark__fsd50k__dev__379531__0052__r0.wav,FSD50K,dev,379531,28851ccbfbb9e745c239275a2df7b5b1d755e7f95fc3886c8fd4a821516fca4e,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
23,PILOT-023,4,out_of_distribution,crying_baby,ood,4-167077-A-20.wav,../ml-workspace/datasets/ESC-50/audio/4-167077-A-20.wav,ESC-50,fold_4,4-167077-A-20,43a894a23a4a1bed053e2ca040f7029a5d9029269173d8bac1c650c52c03e937,30,50,20,pending,OOD hard negative: crying_baby.
24,PILOT-024,4,siren,siren,positive,siren__fsd50k__dev__388972__0017__r0.wav,../ml-workspace/datasets/hazard5v3s/audio/siren__fsd50k__dev__388972__0017__r0.wav,FSD50K,dev,388972,c1fb5d29fc203cd5e8004641d9e499da64ca47e638d1758d49ad6fe253617665,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
25,PILOT-025,4,thunderstorm,thunderstorm,positive,thunderstorm__fsd50k__dev__205832__0026__r0.wav,../ml-workspace/datasets/hazard5v3s/audio/thunderstorm__fsd50k__dev__205832__0026__r0.wav,FSD50K,dev,205832,a3380c44c0229b90704f2ea05d015254cc08de8346f1b6cdb07d922946b05c17,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
26,PILOT-026,4,gunshot_gunfire,gunshot_gunfire,positive,gunshot_gunfire__fsd50k__dev__187534__0023__r0.wav,../ml-workspace/datasets/hazard5v3s/audio/gunshot_gunfire__fsd50k__dev__187534__0023__r0.wav,FSD50K,dev,187534,765603e8f8be0c709d1709178d05a3cd6293882ff72931489f2493b5af063a7e,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
27,PILOT-027,4,speech,speech,positive,speech__fsd50k__val__speech__239902__0005.wav,../ml-workspace/datasets/hazard5v3s/audio/speech__fsd50k__val__speech__239902__0005.wav,FSD50K,val,239902,cb04b0eff795d28427ed309fb3ae3694ff09c52186b7e4536582d870e6a9b307,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
28,PILOT-028,4,glass_breaking,glass_breaking,positive,glass_breaking__fsd50k__dev__162169__0025__r0.wav,../ml-workspace/datasets/hazard5v3s/audio/glass_breaking__fsd50k__dev__162169__0025__r0.wav,FSD50K,dev,162169,a1401089c289dae1994af081f5421956ae4239050dd670e337be608855f9cc0b,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
29,PILOT-029,5,siren,siren,positive,siren__esc50__fold_4__111671__0001__r0.wav,../ml-workspace/datasets/hazard5v3s/audio/siren__esc50__fold_4__111671__0001__r0.wav,ESC-50,fold_4,111671,365e4a2a7fcb455894d3b0a7b7ad08ac9725f6565fc4d3ace32876b5afc4c2cd,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
30,PILOT-030,5,glass_breaking,glass_breaking,positive,glass_breaking__fsd50k__dev__212698__0034__r0.wav,../ml-workspace/datasets/hazard5v3s/audio/glass_breaking__fsd50k__dev__212698__0034__r0.wav,FSD50K,dev,212698,14e8e3509052f74a45f0ffc6318858761c9d4e7c8d29a4bbc3ca7bb357cab6e8,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
31,PILOT-031,5,dog_bark,dog_bark,positive,dog_bark__fsd50k__dev__381799__0055__r0.wav,../ml-workspace/datasets/hazard5v3s/audio/dog_bark__fsd50k__dev__381799__0055__r0.wav,FSD50K,dev,381799,d5f3babb9b91ba7b286a3c53151f3a0d8ce0a808dc8223353f757784315bf47e,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
32,PILOT-032,5,gunshot_gunfire,gunshot_gunfire,positive,gunshot_gunfire__fsd50k__dev__257963__0035__r0.wav,../ml-workspace/datasets/hazard5v3s/audio/gunshot_gunfire__fsd50k__dev__257963__0035__r0.wav,FSD50K,dev,257963,3540c70455e1d345be6cdd491cd36ffcc51bbdde57a811d87cbc6c12783af496,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
33,PILOT-033,5,thunderstorm,thunderstorm,positive,thunderstorm__fsd50k__dev__344435__0048__r0.wav,../ml-workspace/datasets/hazard5v3s/audio/thunderstorm__fsd50k__dev__344435__0048__r0.wav,FSD50K,dev,344435,231bcb64e656079f6241eda4b76054cf2bf9c4dc0dee072487c6efc176e77bda,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
34,PILOT-034,5,out_of_distribution,clock_tick,ood,4-181035-A-38.wav,../ml-workspace/datasets/ESC-50/audio/4-181035-A-38.wav,ESC-50,fold_4,4-181035-A-38,6bd3751b298e3d567982a965519cf89c6fd6fd491d2d60e4271b7784015a0fd7,30,50,20,pending,OOD hard negative: clock_tick.
35,PILOT-035,5,speech,speech,positive,speech__fsd50k__val__speech__63276__0002.wav,../ml-workspace/datasets/hazard5v3s/audio/speech__fsd50k__val__speech__63276__0002.wav,FSD50K,val,63276,a4588c2dfa2829a42e8cfed46df537c749bd933088bfc0a0b032347840795ba8,30,50,20,pending,Development-only pilot; prior smoke-test clips excluded.
