filename,other_group,old_mean_top_class,old_mean_top_score,new_calibrated_top_class,new_calibrated_top_score,new_other_accepted_at_0_40
other_candidate__fsd50k__val__32679__3112.wav,animal_non_target,gunshot_gunfire,0.7252534627914429,other,0.8444252014160156,1
other_candidate__fsd50k__val__345761__3118.wav,animal_non_target,siren,0.7303225994110107,siren,0.5461640357971191,0
other_candidate__fsd50k__val__120160__3197.wav,animal_non_target,speech,0.74656081199646,speech,0.46529293060302734,0
other_candidate__fsd50k__val__275640__3128.wav,animal_non_target,thunderstorm,0.8427963256835938,thunderstorm,0.8445104956626892,0
other_candidate__fsd50k__val__76796__3200.wav,animal_non_target,dog_bark,0.6662482619285583,dog_bark,0.43669912219047546,0
other_candidate__fsd50k__val__77241__3250.wav,animal_non_target,siren,0.5530169010162354,other,0.6763333678245544,1
other_candidate__esc50__fold_4__196671__3164.wav,animal_non_target,speech,0.6604425311088562,other,0.7881142497062683,1
other_candidate__fsd50k__val__263786__3220.wav,animal_non_target,dog_bark,0.9477681517601013,dog_bark,0.8790820837020874,0
other_candidate__fsd50k__val__29535__3214.wav,animal_non_target,thunderstorm,0.3041617274284363,other,0.5581306219100952,1
other_candidate__esc50__fold_4__208021__3301.wav,animal_non_target,dog_bark,0.5240514874458313,dog_bark,0.41002771258354187,0
other_candidate__fsd50k__val__39990__3160.wav,animal_non_target,speech,0.38521456718444824,other,0.32648026943206787,0
other_candidate__fsd50k__val__117250__3168.wav,animal_non_target,speech,0.6722146272659302,speech,0.5526697635650635,0
other_candidate__esc50__fold_4__147240__3279.wav,animal_non_target,speech,0.7146947383880615,other,0.545228123664856,1
other_candidate__fsd50k__val__42973__3347.wav,weather_ambient,thunderstorm,0.3455047011375427,other,0.44373777508735657,1
other_candidate__esc50__fold_4__180453__3334.wav,weather_ambient,glass_breaking,0.49069198966026306,other,0.6104128360748291,1
other_candidate__fsd50k__val__351745__3353.wav,weather_ambient,gunshot_gunfire,0.3605490028858185,other,0.2822989821434021,0
other_candidate__esc50__fold_4__144085__3380.wav,weather_ambient,siren,0.9871930480003357,siren,0.7374592423439026,0
other_candidate__fsd50k__val__188501__3373.wav,weather_ambient,speech,0.5037520527839661,speech,0.5234422087669373,0
other_candidate__esc50__fold_4__181286__3358.wav,weather_ambient,thunderstorm,0.9043429493904114,other,0.8246893882751465,1
other_candidate__fsd50k__val__181355__3414.wav,weather_ambient,glass_breaking,0.6144587993621826,other,0.5694416761398315,1
other_candidate__fsd50k__val__170898__3394.wav,weather_ambient,thunderstorm,0.6213782429695129,other,0.7337378263473511,1
other_candidate__fsd50k__val__395105__3431.wav,weather_ambient,thunderstorm,0.8948937058448792,other,0.9581310749053955,1
other_candidate__fsd50k__val__368470__3458.wav,weather_ambient,thunderstorm,0.9176024794578552,thunderstorm,0.9253225326538086,0
other_candidate__fsd50k__val__345997__3364.wav,weather_ambient,thunderstorm,0.5685715675354004,other,0.7849898934364319,1
other_candidate__esc50__fold_4__195497__3346.wav,weather_ambient,thunderstorm,0.8536551594734192,thunderstorm,0.44934991002082825,0
other_candidate__fsd50k__val__47388__3474.wav,weather_ambient,glass_breaking,0.5790303945541382,other,0.7255626320838928,1
other_candidate__fsd50k__val__57654__3444.wav,weather_ambient,thunderstorm,0.7766351103782654,thunderstorm,0.6992157697677612,0
other_candidate__fsd50k__val__340295__3382.wav,weather_ambient,glass_breaking,0.4631069600582123,other,0.8511940836906433,1
other_candidate__fsd50k__val__253580__3529.wav,domestic_mechanical,dog_bark,0.2869251072406769,other,0.680741548538208,1
other_candidate__fsd50k__val__434660__3717.wav,domestic_mechanical,glass_breaking,0.7399858832359314,glass_breaking,0.7057043090462685,0
other_candidate__fsd50k__val__196702__3725.wav,domestic_mechanical,gunshot_gunfire,0.6658604741096497,gunshot_gunfire,0.6559600234031677,0
other_candidate__fsd50k__val__385821__3689.wav,domestic_mechanical,siren,0.9603848457336426,other,0.7568655610084534,1
other_candidate__fsd50k__val__372002__3565.wav,domestic_mechanical,speech,0.9784478545188904,speech,0.9855026006698608,0
other_candidate__fsd50k__val__46504__3729.wav,domestic_mechanical,thunderstorm,0.8266424536705017,thunderstorm,0.743348240852356,0
other_candidate__fsd50k__val__366441__3713.wav,domestic_mechanical,glass_breaking,0.868574857711792,other,0.5622853636741638,1
other_candidate__esc50__fold_4__204612__3619.wav,domestic_mechanical,glass_breaking,0.5263480544090271,glass_breaking,0.4413162849843502,0
other_candidate__fsd50k__val__182324__3577.wav,domestic_mechanical,glass_breaking,0.29061225056648254,other,0.5115705132484436,1
other_candidate__fsd50k__val__157611__3496.wav,domestic_mechanical,siren,0.37046992778778076,other,0.6923867464065552,1
other_candidate__fsd50k__val__34855__3549.wav,domestic_mechanical,glass_breaking,0.677287757396698,other,0.7986857891082764,1
other_candidate__fsd50k__val__410472__3540.wav,domestic_mechanical,thunderstorm,0.2522173225879669,other,0.6240800023078918,1
other_candidate__fsd50k__val__429939__3566.wav,domestic_mechanical,speech,0.49862098693847656,speech,0.5017661452293396,0
other_candidate__esc50__fold_4__160036__3655.wav,domestic_mechanical,gunshot_gunfire,0.5051296949386597,other,0.45587101578712463,1
other_candidate__fsd50k__val__110135__3710.wav,domestic_mechanical,speech,0.501099169254303,speech,0.6331539154052734,0
other_candidate__fsd50k__val__238499__3922.wav,music,dog_bark,0.8170416951179504,other,0.46866005659103394,1
other_candidate__fsd50k__val__186501__3930.wav,music,glass_breaking,0.9186964631080627,other,0.6656762361526489,1
other_candidate__fsd50k__val__74177__3896.wav,music,gunshot_gunfire,0.8877735733985901,gunshot_gunfire,0.924936830997467,0
other_candidate__fsd50k__val__99961__3886.wav,music,siren,0.9265314340591431,other,0.9422762989997864,1
other_candidate__fsd50k__val__180049__3910.wav,music,speech,0.5839941501617432,speech,0.56717449426651,0
other_candidate__fsd50k__val__51837__3876.wav,music,thunderstorm,0.5446507334709167,other,0.919441819190979,1
other_candidate__fsd50k__val__427987__3831.wav,music,dog_bark,0.8831017017364502,dog_bark,0.5145506262779236,0
other_candidate__fsd50k__val__130414__3947.wav,music,speech,0.3287382423877716,other,0.507957935333252,1
other_candidate__fsd50k__val__101383__3815.wav,music,speech,0.3637259900569916,other,0.6519826650619507,1
other_candidate__fsd50k__val__109368__3805.wav,music,glass_breaking,0.7633281946182251,other,0.9661176204681396,1
other_candidate__fsd50k__val__374133__3935.wav,music,siren,0.9087903499603271,other,0.7065430283546448,1
other_candidate__fsd50k__val__179055__3856.wav,music,siren,0.499811053276062,other,0.5479983687400818,1
other_candidate__fsd50k__val__341793__3758.wav,music,speech,0.4471112787723541,other,0.606593668460846,1
other_candidate__fsd50k__val__144481__3913.wav,music,glass_breaking,0.3463190197944641,other,0.5993853807449341,1
other_candidate__fsd50k__val__412332__3891.wav,music,speech,0.3910556733608246,other,0.8611254096031189,1
