filename,category,source_dataset,source_id,source_group,source_filename,source_sha256,derived_sha256,variant_index,event_time_s,sample_rate_hz,duration_s,seed,transform_name,event_offset_s,gain_db,speed_factor,highpass_hz,lowpass_hz,compression_drive,signal_to_noise_db,background_scale,background_file,background_category,background_source_group,limiter_gain
glass_breaking__esc50__fold_1__84536__0001__r0__aug4.wav,glass_breaking,ESC-50,84536,esc-50:84536,glass_breaking__esc50__fold_1__84536__0001__r0.wav,79efba4c0c54acadc88783e83b428fc9c430db94515b25339a6b5598e2ade0c0,04598d3aab5402ab030d99f38db141da086f38c56d7c8f65743e32f657b427cd,4,0.58619,44100,1.0,451,position_speed_gain,0.311457,-2.1167,1.03638,,,1.0,,,,,,0.85352839
glass_breaking__esc50__fold_1__84536__0001__r0__aug5.wav,glass_breaking,ESC-50,84536,esc-50:84536,glass_breaking__esc50__fold_1__84536__0001__r0.wav,79efba4c0c54acadc88783e83b428fc9c430db94515b25339a6b5598e2ade0c0,12cb1e7a2e47302d013409657ae25debc16325f62277831a103665152fe89175,5,0.58619,44100,1.0,451,position_compression_background,0.256499,-0.6065,1.0,,,1.29035,18.9316,0.53745511,2-137162-A-11.wav,sea_waves,esc50:137162,0.89239087
glass_breaking__esc50__fold_1__84704__0002__r0__aug0.wav,glass_breaking,ESC-50,84704,esc-50:84704,glass_breaking__esc50__fold_1__84704__0002__r0.wav,c3e1abf0273f02b5f89e7d51cb890f3ad1575dc55fe1023650b0860b6f3abd15,1cfa222b7348f4db2d2381f9cdd76fcbb02beb4f34c4c8031aab3848945ea787,0,0.092313,44100,1.0,451,position_only,0.274906,0.0,1.0,,,1.0,,,,,,0.89125094
glass_breaking__esc50__fold_1__84704__0002__r0__aug1.wav,glass_breaking,ESC-50,84704,esc-50:84704,glass_breaking__esc50__fold_1__84704__0002__r0.wav,c3e1abf0273f02b5f89e7d51cb890f3ad1575dc55fe1023650b0860b6f3abd15,116a8e17e8d0f9ec203388bcf56c1d8857ee8efebde63ea19a76d979efe3cc01,1,0.092313,44100,1.0,451,position_gain,0.283729,1.5795,1.0,,,1.0,,,,,,0.7430606
glass_breaking__esc50__fold_1__84704__0002__r0__aug2.wav,glass_breaking,ESC-50,84704,esc-50:84704,glass_breaking__esc50__fold_1__84704__0002__r0.wav,c3e1abf0273f02b5f89e7d51cb890f3ad1575dc55fe1023650b0860b6f3abd15,0fb16de5e7c393a13f8f67ce46440089ea38b5ac505c54d8d2cee54b126d2854,2,0.092313,44100,1.0,451,position_gain_background,0.246535,-11.139,1.0,,,1.0,10.0919,1.18775723,1-57163-A-38.wav,clock_tick,esc50:57163,1.0
glass_breaking__esc50__fold_1__84704__0002__r0__aug3.wav,glass_breaking,ESC-50,84704,esc-50:84704,glass_breaking__esc50__fold_1__84704__0002__r0.wav,c3e1abf0273f02b5f89e7d51cb890f3ad1575dc55fe1023650b0860b6f3abd15,f6be80f323f3983efc6ae7b783fe62f16e930d04bddd0399d38a48f3b658f208,3,0.092313,44100,1.0,451,position_filter_background,0.114846,-4.2981,1.0,219.251,5741.997,1.0,24.2447,0.06330251,1-84393-A-32.wav,keyboard_typing,esc50:84393,0.99457483
glass_breaking__esc50__fold_1__84704__0002__r0__aug4.wav,glass_breaking,ESC-50,84704,esc-50:84704,glass_breaking__esc50__fold_1__84704__0002__r0.wav,c3e1abf0273f02b5f89e7d51cb890f3ad1575dc55fe1023650b0860b6f3abd15,f1814a0f5b003f8b42d9b54dcff59206b3b4b07b5a3ab6c6b1702ee14ce45b50,4,0.092313,44100,1.0,451,position_speed_gain,0.359115,-3.9996,0.997395,,,1.0,,,,,,1.0
glass_breaking__esc50__fold_1__84704__0002__r0__aug5.wav,glass_breaking,ESC-50,84704,esc-50:84704,glass_breaking__esc50__fold_1__84704__0002__r0.wav,c3e1abf0273f02b5f89e7d51cb890f3ad1575dc55fe1023650b0860b6f3abd15,fb4703c45dd7840cda727ca1b3b3166fe1443f9cc6e8906cc692a21cff3a5f89,5,0.092313,44100,1.0,451,position_compression_background,0.299447,2.776,1.0,,,1.21051,19.6498,0.25551326,3-144106-A-32.wav,keyboard_typing,esc50:144106,0.78692996
glass_breaking__esc50__fold_1__84705__0003__r0__aug0.wav,glass_breaking,ESC-50,84705,esc-50:84705,glass_breaking__esc50__fold_1__84705__0003__r0.wav,e8cc52dd91213cd69031e10c0fe15f77230f588ececb13cc7c906c43ece32336,c1074d480d4f2e8cd8059fcd73a638103424f08e1441d3bf7db2c8b7e52304e7,0,0.212041,44100,1.0,451,position_only,0.164957,0.0,1.0,,,1.0,,,,,,0.89125094
glass_breaking__esc50__fold_1__84705__0003__r0__aug1.wav,glass_breaking,ESC-50,84705,esc-50:84705,glass_breaking__esc50__fold_1__84705__0003__r0.wav,e8cc52dd91213cd69031e10c0fe15f77230f588ececb13cc7c906c43ece32336,b327293168be3d52188f637dacba48be50d97deb6c6a1be44b374a93b150a957,1,0.212041,44100,1.0,451,position_gain,0.128723,2.3731,1.0,,,1.0,,,,,,0.98513042
glass_breaking__esc50__fold_1__84705__0003__r0__aug2.wav,glass_breaking,ESC-50,84705,esc-50:84705,glass_breaking__esc50__fold_1__84705__0003__r0.wav,e8cc52dd91213cd69031e10c0fe15f77230f588ececb13cc7c906c43ece32336,96326b15ed4739bae048a8b8547695f530b918757d97bfbd553eb38aba424cd1,2,0.212041,44100,1.0,451,position_gain_background,0.291569,3.0243,1.0,,,1.0,21.2468,0.24091657,3-144128-A-23.wav,breathing,esc50:144128,0.62470121
glass_breaking__esc50__fold_1__84705__0003__r0__aug3.wav,glass_breaking,ESC-50,84705,esc-50:84705,glass_breaking__esc50__fold_1__84705__0003__r0.wav,e8cc52dd91213cd69031e10c0fe15f77230f588ececb13cc7c906c43ece32336,23aed46be6615ea16405efe2bae0e300535fffe7f32c75eea90c934e1bc4e8df,3,0.212041,44100,1.0,451,position_filter_background,0.249545,-8.9375,1.0,242.304,5728.014,1.0,13.1552,0.05598115,2-102567-D-35.wav,washing_machine,esc50:102567,1.0
glass_breaking__esc50__fold_1__84705__0003__r0__aug4.wav,glass_breaking,ESC-50,84705,esc-50:84705,glass_breaking__esc50__fold_1__84705__0003__r0.wav,e8cc52dd91213cd69031e10c0fe15f77230f588ececb13cc7c906c43ece32336,4ed29977c9fee10c6a22a68498b67570e712304eea8a5cc7e6aee280af54b741,4,0.212041,44100,1.0,451,position_speed_gain,0.324731,-11.969,0.985689,,,1.0,,,,,,1.0
glass_breaking__esc50__fold_1__84705__0003__r0__aug5.wav,glass_breaking,ESC-50,84705,esc-50:84705,glass_breaking__esc50__fold_1__84705__0003__r0.wav,e8cc52dd91213cd69031e10c0fe15f77230f588ececb13cc7c906c43ece32336,1cda29caebcd710f42df6ddb9107289e6cea287b22e665964e0c688e7e977966,5,0.212041,44100,1.0,451,position_compression_background,0.325399,-0.3594,1.0,,,1.53429,19.0088,0.09024682,1-30709-C-23.wav,breathing,esc50:30709,0.89727835
glass_breaking__esc50__fold_1__85168__0004__r0__aug0.wav,glass_breaking,ESC-50,85168,esc-50:85168,glass_breaking__esc50__fold_1__85168__0004__r0.wav,08fcf5a7656cc1c824122aba2a7dd1107130a0f9d6f3e3b73e7d06575b246ed5,9b1e1be13c307b5af67ee4f43dd9ebed8a495fc221db4c23143dc3d1cc995bf6,0,0.705918,44100,1.0,451,position_only,0.325747,0.0,1.0,,,1.0,,,,,,1.0
glass_breaking__esc50__fold_1__85168__0004__r0__aug1.wav,glass_breaking,ESC-50,85168,esc-50:85168,glass_breaking__esc50__fold_1__85168__0004__r0.wav,08fcf5a7656cc1c824122aba2a7dd1107130a0f9d6f3e3b73e7d06575b246ed5,a6b272a6698f9cba14f4e349757e7c2363da14d325fe4c0366bd492a5a178385,1,0.705918,44100,1.0,451,position_gain,0.189435,4.4848,1.0,,,1.0,,,,,,1.0
glass_breaking__esc50__fold_1__85168__0004__r0__aug2.wav,glass_breaking,ESC-50,85168,esc-50:85168,glass_breaking__esc50__fold_1__85168__0004__r0.wav,08fcf5a7656cc1c824122aba2a7dd1107130a0f9d6f3e3b73e7d06575b246ed5,14ab310d62b63df0d582ff553a6496f4f42076d95b5987a95d068793fe5276ac,2,0.705918,44100,1.0,451,position_gain_background,0.334022,-4.2075,1.0,,,1.0,18.9317,0.06856642,2-102567-B-35.wav,washing_machine,esc50:102567,1.0
glass_breaking__esc50__fold_1__85168__0004__r0__aug3.wav,glass_breaking,ESC-50,85168,esc-50:85168,glass_breaking__esc50__fold_1__85168__0004__r0.wav,08fcf5a7656cc1c824122aba2a7dd1107130a0f9d6f3e3b73e7d06575b246ed5,1ecd209b4c0cd5449d37f7ed48edc73990de3eee1ff7e44d0f83f5684e2e8c1c,3,0.705918,44100,1.0,451,position_filter_background,0.242993,-4.1283,1.0,258.609,5535.41,1.0,14.6165,0.1071705,1-57163-A-38.wav,clock_tick,esc50:57163,1.0
glass_breaking__esc50__fold_1__85168__0004__r0__aug4.wav,glass_breaking,ESC-50,85168,esc-50:85168,glass_breaking__esc50__fold_1__85168__0004__r0.wav,08fcf5a7656cc1c824122aba2a7dd1107130a0f9d6f3e3b73e7d06575b246ed5,3e5efb932c33cf1e05e9caa3c48c786617b3e00ef16c7c183dc61a12d6b855eb,4,0.705918,44100,1.0,451,position_speed_gain,0.148891,0.7672,0.974045,,,1.0,,,,,,1.0
glass_breaking__esc50__fold_1__85168__0004__r0__aug5.wav,glass_breaking,ESC-50,85168,esc-50:85168,glass_breaking__esc50__fold_1__85168__0004__r0.wav,08fcf5a7656cc1c824122aba2a7dd1107130a0f9d6f3e3b73e7d06575b246ed5,dad1c454ca617fb6501636e3219ede4d55fe11009e4382e79ddee32f80a60345,5,0.705918,44100,1.0,451,position_compression_background,0.242684,-3.8232,1.0,,,1.56922,14.6718,0.02077957,1-61252-A-11.wav,sea_waves,esc50:61252,1.0
glass_breaking__esc50__fold_1__85184__0005__r0__aug0.wav,glass_breaking,ESC-50,85184,esc-50:85184,glass_breaking__esc50__fold_1__85184__0005__r0.wav,aafacfae6a441ba21f4c76a11042726f933272709a099a54a15a905a1d65b837,f26a8edf0440d4550695c2e4f150fad7b2ca0c3b2101053e46b9d0c0819d7483,0,0.461474,44100,1.0,451,position_only,0.34718,0.0,1.0,,,1.0,,,,,,0.89125094
glass_breaking__esc50__fold_1__85184__0005__r0__aug1.wav,glass_breaking,ESC-50,85184,esc-50:85184,glass_breaking__esc50__fold_1__85184__0005__r0.wav,aafacfae6a441ba21f4c76a11042726f933272709a099a54a15a905a1d65b837,d423f7f97d2241d93627bcef28f08e91b26b47a36c1394d451e1a065af83b2ab,1,0.461474,44100,1.0,451,position_gain,0.279407,-0.6247,1.0,,,1.0,,,,,,1.0
glass_breaking__esc50__fold_1__85184__0005__r0__aug2.wav,glass_breaking,ESC-50,85184,esc-50:85184,glass_breaking__esc50__fold_1__85184__0005__r0.wav,aafacfae6a441ba21f4c76a11042726f933272709a099a54a15a905a1d65b837,b2238dc69f4c6bc2e81dc088acd0f2fbcb0feb5fee04fe5fef9c1c853ef3abc9,2,0.461474,44100,1.0,451,position_gain_background,0.182255,-8.8027,1.0,,,1.0,14.6494,0.20566811,3-143933-A-38.wav,clock_tick,esc50:143933,1.0
glass_breaking__esc50__fold_1__85184__0005__r0__aug3.wav,glass_breaking,ESC-50,85184,esc-50:85184,glass_breaking__esc50__fold_1__85184__0005__r0.wav,aafacfae6a441ba21f4c76a11042726f933272709a099a54a15a905a1d65b837,402d80a2d9b048e38dd8f8dcd2a6d00e1295c3be92e97b548a8837a28f836a0c,3,0.461474,44100,1.0,451,position_filter_background,0.191209,-5.8294,1.0,152.434,6296.889,1.0,14.9463,0.00640661,1-23996-B-35.wav,washing_machine,esc50:23996,1.0
glass_breaking__esc50__fold_1__85184__0005__r0__aug4.wav,glass_breaking,ESC-50,85184,esc-50:85184,glass_breaking__esc50__fold_1__85184__0005__r0.wav,aafacfae6a441ba21f4c76a11042726f933272709a099a54a15a905a1d65b837,2626e34d466056585107bff366c9d86b59dd6d8bc136d7abd6a7b4ecea95dce5,4,0.461474,44100,1.0,451,position_speed_gain,0.228776,-10.4954,1.013736,,,1.0,,,,,,1.0
glass_breaking__esc50__fold_1__85184__0005__r0__aug5.wav,glass_breaking,ESC-50,85184,esc-50:85184,glass_breaking__esc50__fold_1__85184__0005__r0.wav,aafacfae6a441ba21f4c76a11042726f933272709a099a54a15a905a1d65b837,fd9c73b0856764968a66db4fe66cb0fb289931935d66e9c30e597cb2ecacc9d3,5,0.461474,44100,1.0,451,position_compression_background,0.215116,-2.7674,1.0,,,1.42083,22.9766,0.15437305,3-171012-A-38.wav,clock_tick,esc50:171012,1.0
glass_breaking__esc50__fold_1__88807__0006__r0__aug0.wav,glass_breaking,ESC-50,88807,esc-50:88807,glass_breaking__esc50__fold_1__88807__0006__r0.wav,e5c368173342c2acba450c7d3116fac74fcec86bc8dc26055c6da7ebc509d191,537dcf18e3c4814103adabe60dbced9edd2cfde536c7e7996560b6000fb54736,0,2.032902,44100,1.0,451,position_only,0.189272,0.0,1.0,,,1.0,,,,,,1.0
glass_breaking__esc50__fold_1__88807__0006__r0__aug1.wav,glass_breaking,ESC-50,88807,esc-50:88807,glass_breaking__esc50__fold_1__88807__0006__r0.wav,e5c368173342c2acba450c7d3116fac74fcec86bc8dc26055c6da7ebc509d191,fc64a8e8684e6819f900220f3e6e28cfcdeaf300c6788662e92888e124d7df4d,1,2.032902,44100,1.0,451,position_gain,0.123867,4.5185,1.0,,,1.0,,,,,,1.0
glass_breaking__esc50__fold_1__88807__0006__r0__aug2.wav,glass_breaking,ESC-50,88807,esc-50:88807,glass_breaking__esc50__fold_1__88807__0006__r0.wav,e5c368173342c2acba450c7d3116fac74fcec86bc8dc26055c6da7ebc509d191,db27ceecbfd246778bfe7b498bd4bf39d29df43942010e4203312bc48dbfc05a,2,2.032902,44100,1.0,451,position_gain_background,0.357905,-6.918,1.0,,,1.0,11.0764,0.012529,1-36400-A-23.wav,breathing,esc50:36400,1.0
glass_breaking__esc50__fold_1__88807__0006__r0__aug3.wav,glass_breaking,ESC-50,88807,esc-50:88807,glass_breaking__esc50__fold_1__88807__0006__r0.wav,e5c368173342c2acba450c7d3116fac74fcec86bc8dc26055c6da7ebc509d191,1a4150acd295dd6c0ff69e61df79132787591f98ee1930ed91c87e204d241358,3,2.032902,44100,1.0,451,position_filter_background,0.289288,-3.2157,1.0,187.251,5672.128,1.0,13.4185,0.00029643,1-30709-C-23.wav,breathing,esc50:30709,1.0
glass_breaking__esc50__fold_1__88807__0006__r0__aug4.wav,glass_breaking,ESC-50,88807,esc-50:88807,glass_breaking__esc50__fold_1__88807__0006__r0.wav,e5c368173342c2acba450c7d3116fac74fcec86bc8dc26055c6da7ebc509d191,5ef114a6b93318524850566b749750b43409b4299fe30747464bc6b35e448723,4,2.032902,44100,1.0,451,position_speed_gain,0.242914,-7.9871,0.984981,,,1.0,,,,,,1.0
glass_breaking__esc50__fold_1__88807__0006__r0__aug5.wav,glass_breaking,ESC-50,88807,esc-50:88807,glass_breaking__esc50__fold_1__88807__0006__r0.wav,e5c368173342c2acba450c7d3116fac74fcec86bc8dc26055c6da7ebc509d191,97793377e4445a9e1112db6e3711c89282628215741a7286e307b9f7052fe7df,5,2.032902,44100,1.0,451,position_compression_background,0.132551,-0.9964,1.0,,,1.35298,19.902,120.29676497,1-36400-A-23.wav,breathing,esc50:36400,1.0
glass_breaking__esc50__fold_1__977__0007__r0__aug0.wav,glass_breaking,ESC-50,977,esc-50:977,glass_breaking__esc50__fold_1__977__0007__r0.wav,67c88e07db9e2dd7a7551f0c5b99da315ce7df041f83ed57b479d8fda8fbfe27,5525bdc32bcb3b3fc975724e72461ae18f23dd9915c13bd2094e07bd54b1d31a,0,0.536304,44100,1.0,451,position_only,0.217686,0.0,1.0,,,1.0,,,,,,1.0
glass_breaking__esc50__fold_1__977__0007__r0__aug1.wav,glass_breaking,ESC-50,977,esc-50:977,glass_breaking__esc50__fold_1__977__0007__r0.wav,67c88e07db9e2dd7a7551f0c5b99da315ce7df041f83ed57b479d8fda8fbfe27,3b5e9441344387f540a56dc77a41655f68f549535c6578b0c1fab21467707fc6,1,0.536304,44100,1.0,451,position_gain,0.359189,-6.5744,1.0,,,1.0,,,,,,1.0
glass_breaking__esc50__fold_1__977__0007__r0__aug2.wav,glass_breaking,ESC-50,977,esc-50:977,glass_breaking__esc50__fold_1__977__0007__r0.wav,67c88e07db9e2dd7a7551f0c5b99da315ce7df041f83ed57b479d8fda8fbfe27,e8077ac1e66501265e173bb25a9240660126b90709e10a5a5a139d816b536fb1,2,0.536304,44100,1.0,451,position_gain_background,0.1873,-7.0977,1.0,,,1.0,18.0758,0.00105407,1-84393-A-32.wav,keyboard_typing,esc50:84393,1.0
glass_breaking__esc50__fold_1__977__0007__r0__aug3.wav,glass_breaking,ESC-50,977,esc-50:977,glass_breaking__esc50__fold_1__977__0007__r0.wav,67c88e07db9e2dd7a7551f0c5b99da315ce7df041f83ed57b479d8fda8fbfe27,0f65c37a372e6528f36418d2cd9603750e2ea57f91f52f2355173c1eddffd4b1,3,0.536304,44100,1.0,451,position_filter_background,0.27696,-7.0935,1.0,198.594,7002.214,1.0,11.8527,0.01123627,3-142593-A-38.wav,clock_tick,esc50:142593,1.0
glass_breaking__esc50__fold_1__977__0007__r0__aug4.wav,glass_breaking,ESC-50,977,esc-50:977,glass_breaking__esc50__fold_1__977__0007__r0.wav,67c88e07db9e2dd7a7551f0c5b99da315ce7df041f83ed57b479d8fda8fbfe27,2ceb0c0dcd77045aed981801c5743987f4dd956258aa3d667d2a5099d726cdea,4,0.536304,44100,1.0,451,position_speed_gain,0.204255,-8.1864,1.006451,,,1.0,,,,,,1.0
glass_breaking__esc50__fold_1__977__0007__r0__aug5.wav,glass_breaking,ESC-50,977,esc-50:977,glass_breaking__esc50__fold_1__977__0007__r0.wav,67c88e07db9e2dd7a7551f0c5b99da315ce7df041f83ed57b479d8fda8fbfe27,fd6ae14d5c0cb140e6e12991e2ee8ed2c2c4fc21bd847987a6eb56ed39e7b078,5,0.536304,44100,1.0,451,position_compression_background,0.269775,-10.8179,1.0,,,1.47909,18.5406,0.00177177,2-54961-A-23.wav,breathing,esc50:54961,1.0
glass_breaking__esc50__fold_2__106881__0008__r0__aug0.wav,glass_breaking,ESC-50,106881,esc-50:106881,glass_breaking__esc50__fold_2__106881__0008__r0.wav,e54a661c1fff8150b7c34d54da1686a18eaeaaf454394b866a251ceb68e3f886,8797a2fa043b96e63f90fab19bdbaea34ff92d65b93390ac3241cdb47e44659c,0,0.311814,44100,1.0,451,position_only,0.144514,0.0,1.0,,,1.0,,,,,,0.97850669
glass_breaking__esc50__fold_2__106881__0008__r0__aug1.wav,glass_breaking,ESC-50,106881,esc-50:106881,glass_breaking__esc50__fold_2__106881__0008__r0.wav,e54a661c1fff8150b7c34d54da1686a18eaeaaf454394b866a251ceb68e3f886,d78c7aa5a3af4673fc9fe7f813e03d42dec40cad94f641193a5a41e1b116db9d,1,0.311814,44100,1.0,451,position_gain,0.106114,-0.6701,1.0,,,1.0,,,,,,1.0
glass_breaking__esc50__fold_2__106881__0008__r0__aug2.wav,glass_breaking,ESC-50,106881,esc-50:106881,glass_breaking__esc50__fold_2__106881__0008__r0.wav,e54a661c1fff8150b7c34d54da1686a18eaeaaf454394b866a251ceb68e3f886,759a4285b23be9419a73f781cc4c8dbb27ae896558cebec4ab9cc303cfa95835,2,0.311814,44100,1.0,451,position_gain_background,0.135881,-11.3512,1.0,,,1.0,20.3109,0.02791802,1-21934-A-38.wav,clock_tick,esc50:21934,1.0
glass_breaking__esc50__fold_2__106881__0008__r0__aug3.wav,glass_breaking,ESC-50,106881,esc-50:106881,glass_breaking__esc50__fold_2__106881__0008__r0.wav,e54a661c1fff8150b7c34d54da1686a18eaeaaf454394b866a251ceb68e3f886,66fa39a00056c8db9fb6c1a28c7b301c27934010dc6d916368d21c62a79a4485,3,0.311814,44100,1.0,451,position_filter_background,0.346908,-4.3751,1.0,153.85,6529.043,1.0,17.3603,0.08094973,1-39901-A-11.wav,sea_waves,esc50:39901,1.0
glass_breaking__esc50__fold_2__106881__0008__r0__aug4.wav,glass_breaking,ESC-50,106881,esc-50:106881,glass_breaking__esc50__fold_2__106881__0008__r0.wav,e54a661c1fff8150b7c34d54da1686a18eaeaaf454394b866a251ceb68e3f886,be49e0c63f1630b83c595a4af1c4be15d27aa67fa0ed10bef8361fce7ad38a2a,4,0.311814,44100,1.0,451,position_speed_gain,0.175527,-7.5347,0.96422,,,1.0,,,,,,1.0
glass_breaking__esc50__fold_2__106881__0008__r0__aug5.wav,glass_breaking,ESC-50,106881,esc-50:106881,glass_breaking__esc50__fold_2__106881__0008__r0.wav,e54a661c1fff8150b7c34d54da1686a18eaeaaf454394b866a251ceb68e3f886,9d303b8d67c85a3439ba3f0b403a39990cb8c3d40fb9218100b404be5c0fadcc,5,0.311814,44100,1.0,451,position_compression_background,0.126649,2.5322,1.0,,,1.50484,10.0307,0.0920769,3-164120-A-11.wav,sea_waves,esc50:164120,1.0
glass_breaking__esc50__fold_2__112213__0009__r0__aug0.wav,glass_breaking,ESC-50,112213,esc-50:112213,glass_breaking__esc50__fold_2__112213__0009__r0.wav,a6b60fb2268d7f0ceda0ff6f798d2d51b4ceb08218b3ac5ca91980a42d9c706b,7088f355d549cfb7eb7d0d2e51a6eebe5039a0a7b17bf768427fa10c209e39f0,0,2.422018,44100,1.0,451,position_only,0.215269,0.0,1.0,,,1.0,,,,,,0.94825998
glass_breaking__esc50__fold_2__112213__0009__r0__aug1.wav,glass_breaking,ESC-50,112213,esc-50:112213,glass_breaking__esc50__fold_2__112213__0009__r0.wav,a6b60fb2268d7f0ceda0ff6f798d2d51b4ceb08218b3ac5ca91980a42d9c706b,9be5daf9535533ff81183eea66cb9b30e894622c7433c2c279adda49c087cb3c,1,2.422018,44100,1.0,451,position_gain,0.321163,2.7464,1.0,,,1.0,,,,,,0.69120469
glass_breaking__esc50__fold_2__112213__0009__r0__aug2.wav,glass_breaking,ESC-50,112213,esc-50:112213,glass_breaking__esc50__fold_2__112213__0009__r0.wav,a6b60fb2268d7f0ceda0ff6f798d2d51b4ceb08218b3ac5ca91980a42d9c706b,702c54db8a65947bb8070238d016605b87a7c4b0711b3554bfd45c61f0b1bfe3,2,2.422018,44100,1.0,451,position_gain_background,0.122364,2.2073,1.0,,,1.0,10.1265,0.35175833,1-23996-A-35.wav,washing_machine,esc50:23996,0.72927652
