dataset_role,filename,category,original_category,background_group,source_dataset,source_partition,source_id,source_filename,source_labels
train,background_other__esc50__fold_1__1-77241-A-3__0013.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,77241-A,1-77241-A-3.wav,cow
train,background_other__esc50__fold_2__2-61311-A-12__0014.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,61311-A,2-61311-A-12.wav,crackling_fire
train,background_other__esc50__fold_3__3-146033-A-13__0015.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,146033-A,3-146033-A-13.wav,crickets
train,background_other__esc50__fold_1__1-75162-A-9__0016.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,75162-A,1-75162-A-9.wav,crow
train,background_other__esc50__fold_1__1-211527-A-20__0017.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,211527-A,1-211527-A-20.wav,crying_baby
train,background_other__esc50__fold_2__2-91912-A-33__0018.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,91912-A,2-91912-A-33.wav,door_wood_creaks
train,background_other__esc50__fold_3__3-154378-A-30__0019.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,154378-A,3-154378-A-30.wav,door_wood_knock
train,background_other__esc50__fold_2__2-102581-B-29__0020.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,102581-B,2-102581-B-29.wav,drinking_sipping
train,background_other__esc50__fold_1__1-62565-A-44__0021.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,62565-A,1-62565-A-44.wav,engine
train,background_other__esc50__fold_1__1-25777-A-48__0022.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,25777-A,1-25777-A-48.wav,fireworks
train,background_other__esc50__fold_2__2-209473-A-25__0023.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,209473-A,2-209473-A-25.wav,footsteps
train,background_other__esc50__fold_3__3-71964-C-4__0024.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,71964-C,3-71964-C-4.wav,frog
train,background_other__esc50__fold_2__2-51630-B-49__0025.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,51630-B,2-51630-B-49.wav,hand_saw
train,background_other__esc50__fold_2__2-37806-B-40__0026.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,37806-B,2-37806-B-40.wav,helicopter
train,background_other__esc50__fold_3__3-171281-A-6__0027.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,171281-A,3-171281-A-6.wav,hen
train,background_other__esc50__fold_1__1-75189-A-7__0028.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,75189-A,1-75189-A-7.wav,insects
train,background_other__esc50__fold_2__2-118459-A-32__0029.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,118459-A,2-118459-A-32.wav,keyboard_typing
train,background_other__esc50__fold_3__3-152997-A-26__0030.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,152997-A,3-152997-A-26.wav,laughing
train,background_other__esc50__fold_2__2-146877-A-31__0031.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,146877-A,2-146877-A-31.wav,mouse_click
train,background_other__esc50__fold_1__1-260640-A-2__0032.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,260640-A,1-260640-A-2.wav,pig
train,background_other__esc50__fold_3__3-142349-A-17__0033.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,142349-A,3-142349-A-17.wav,pouring_water
train,background_other__esc50__fold_1__1-17367-A-10__0034.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,17367-A,1-17367-A-10.wav,rain
train,background_other__esc50__fold_2__2-95258-A-1__0035.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,95258-A,2-95258-A-1.wav,rooster
train,background_other__esc50__fold_2__2-137162-A-11__0036.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,137162-A,2-137162-A-11.wav,sea_waves
train,background_other__esc50__fold_3__3-20861-A-8__0037.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,20861-A,3-20861-A-8.wav,sheep
train,background_other__esc50__fold_3__3-144692-A-21__0038.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,144692-A,3-144692-A-21.wav,sneezing
train,background_other__esc50__fold_1__1-47923-A-28__0039.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,47923-A,1-47923-A-28.wav,snoring
train,background_other__esc50__fold_2__2-85945-A-18__0040.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,85945-A,2-85945-A-18.wav,toilet_flush
train,background_other__esc50__fold_2__2-122066-B-45__0041.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,122066-B,2-122066-B-45.wav,train
train,background_other__esc50__fold_3__3-152020-A-36__0042.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,152020-A,3-152020-A-36.wav,vacuum_cleaner
train,background_other__esc50__fold_3__3-156391-A-35__0043.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,156391-A,3-156391-A-35.wav,washing_machine
train,background_other__esc50__fold_1__1-23094-B-15__0044.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,23094-B,1-23094-B-15.wav,water_drops
train,background_other__esc50__fold_3__3-117504-A-16__0045.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,117504-A,3-117504-A-16.wav,wind
train,background_other__esc50__fold_2__2-74361-A-47__0046.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,74361-A,2-74361-A-47.wav,airplane
train,background_other__esc50__fold_2__2-54961-A-23__0047.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,54961-A,2-54961-A-23.wav,breathing
train,background_other__esc50__fold_2__2-86160-A-27__0048.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,86160-A,2-86160-A-27.wav,brushing_teeth
train,background_other__esc50__fold_2__2-85471-A-34__0049.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,85471-A,2-85471-A-34.wav,can_opening
train,background_other__esc50__fold_1__1-19026-A-43__0050.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,19026-A,1-19026-A-43.wav,car_horn
train,background_other__esc50__fold_1__1-56380-B-5__0051.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,56380-B,1-56380-B-5.wav,cat
train,background_other__esc50__fold_3__3-118972-A-41__0052.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,118972-A,3-118972-A-41.wav,chainsaw
train,background_other__esc50__fold_1__1-38559-A-14__0053.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,38559-A,1-38559-A-14.wav,chirping_birds
train,background_other__esc50__fold_3__3-111102-B-46__0054.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,111102-B,3-111102-B-46.wav,church_bells
train,background_other__esc50__fold_2__2-25292-A-22__0055.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,25292-A,2-25292-A-22.wav,clapping
train,background_other__esc50__fold_3__3-120526-B-37__0056.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,120526-B,3-120526-B-37.wav,clock_alarm
train,background_other__esc50__fold_3__3-170383-A-38__0057.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,170383-A,3-170383-A-38.wav,clock_tick
train,background_other__esc50__fold_2__2-108017-A-24__0058.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,108017-A,2-108017-A-24.wav,coughing
train,background_other__esc50__fold_1__1-58277-A-3__0059.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,58277-A,1-58277-A-3.wav,cow
train,background_other__esc50__fold_2__2-65747-A-12__0060.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,65747-A,2-65747-A-12.wav,crackling_fire
train,background_other__esc50__fold_2__2-110613-A-13__0061.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,110613-A,2-110613-A-13.wav,crickets
train,background_other__esc50__fold_2__2-108767-B-9__0062.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,108767-B,2-108767-B-9.wav,crow
train,background_other__esc50__fold_2__2-80482-A-20__0063.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,80482-A,2-80482-A-20.wav,crying_baby
train,background_other__esc50__fold_3__3-118194-A-33__0064.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,118194-A,3-118194-A-33.wav,door_wood_creaks
train,background_other__esc50__fold_2__2-118624-A-30__0065.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,118624-A,2-118624-A-30.wav,door_wood_knock
train,background_other__esc50__fold_1__1-67230-A-29__0066.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,67230-A,1-67230-A-29.wav,drinking_sipping
train,background_other__esc50__fold_3__3-128160-A-44__0067.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,128160-A,3-128160-A-44.wav,engine
train,background_other__esc50__fold_1__1-160563-B-48__0068.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,160563-B,1-160563-B-48.wav,fireworks
train,background_other__esc50__fold_2__2-209471-A-25__0069.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,209471-A,2-209471-A-25.wav,footsteps
train,background_other__esc50__fold_1__1-17970-A-4__0070.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,17970-A,1-17970-A-4.wav,frog
train,background_other__esc50__fold_1__1-7974-B-49__0071.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,7974-B,1-7974-B-49.wav,hand_saw
train,background_other__esc50__fold_2__2-37806-D-40__0072.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,37806-D,2-37806-D-40.wav,helicopter
train,background_other__esc50__fold_3__3-164216-B-6__0073.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,164216-B,3-164216-B-6.wav,hen
train,background_other__esc50__fold_1__1-19501-A-7__0074.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,19501-A,1-19501-A-7.wav,insects
train,background_other__esc50__fold_3__3-153444-A-32__0075.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,153444-A,3-153444-A-32.wav,keyboard_typing
train,background_other__esc50__fold_2__2-60795-A-26__0076.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,60795-A,2-60795-A-26.wav,laughing
train,background_other__esc50__fold_3__3-185313-A-31__0077.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,185313-A,3-185313-A-31.wav,mouse_click
train,background_other__esc50__fold_3__3-253084-A-2__0078.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,253084-A,3-253084-A-2.wav,pig
train,background_other__esc50__fold_1__1-61221-A-17__0079.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,61221-A,1-61221-A-17.wav,pouring_water
train,background_other__esc50__fold_1__1-56311-A-10__0080.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,56311-A,1-56311-A-10.wav,rain
train,background_other__esc50__fold_1__1-39923-A-1__0081.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,39923-A,1-39923-A-1.wav,rooster
train,background_other__esc50__fold_2__2-125966-A-11__0082.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,125966-A,2-125966-A-11.wav,sea_waves
train,background_other__esc50__fold_3__3-140199-D-8__0083.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,140199-D,3-140199-D-8.wav,sheep
train,background_other__esc50__fold_3__3-141684-A-21__0084.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,141684-A,3-141684-A-21.wav,sneezing
train,background_other__esc50__fold_3__3-151557-B-28__0085.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,151557-B,3-151557-B-28.wav,snoring
train,background_other__esc50__fold_1__1-28005-A-18__0086.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,28005-A,1-28005-A-18.wav,toilet_flush
train,background_other__esc50__fold_3__3-138212-A-45__0087.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,138212-A,3-138212-A-45.wav,train
train,background_other__esc50__fold_3__3-159348-A-36__0088.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,159348-A,3-159348-A-36.wav,vacuum_cleaner
train,background_other__esc50__fold_3__3-182710-B-35__0089.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,182710-B,3-182710-B-35.wav,washing_machine
train,background_other__esc50__fold_1__1-12653-A-15__0090.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,12653-A,1-12653-A-15.wav,water_drops
train,background_other__esc50__fold_1__1-47714-A-16__0091.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,47714-A,1-47714-A-16.wav,wind
train,background_other__esc50__fold_2__2-105270-A-47__0092.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,105270-A,2-105270-A-47.wav,airplane
train,background_other__esc50__fold_3__3-151206-A-23__0093.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,151206-A,3-151206-A-23.wav,breathing
train,background_other__esc50__fold_1__1-68628-A-27__0094.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,68628-A,1-68628-A-27.wav,brushing_teeth
train,background_other__esc50__fold_1__1-58846-A-34__0095.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,58846-A,1-58846-A-34.wav,can_opening
train,background_other__esc50__fold_1__1-17124-A-43__0096.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,17124-A,1-17124-A-43.wav,car_horn
train,background_other__esc50__fold_2__2-82274-A-5__0097.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,82274-A,2-82274-A-5.wav,cat
train,background_other__esc50__fold_1__1-64398-A-41__0098.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,64398-A,1-64398-A-41.wav,chainsaw
train,background_other__esc50__fold_3__3-155584-A-14__0099.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,155584-A,3-155584-A-14.wav,chirping_birds
train,background_other__esc50__fold_2__2-57191-A-46__0100.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,57191-A,2-57191-A-46.wav,church_bells
train,background_other__esc50__fold_2__2-76408-A-22__0101.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,76408-A,2-76408-A-22.wav,clapping
train,background_other__esc50__fold_2__2-89516-A-37__0102.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,89516-A,2-89516-A-37.wav,clock_alarm
train,background_other__esc50__fold_1__1-62849-A-38__0103.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,62849-A,1-62849-A-38.wav,clock_tick
train,background_other__esc50__fold_2__2-123896-A-24__0104.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,123896-A,2-123896-A-24.wav,coughing
train,background_other__esc50__fold_3__3-160993-A-3__0105.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,160993-A,3-160993-A-3.wav,cow
train,background_other__esc50__fold_1__1-17808-A-12__0106.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,17808-A,1-17808-A-12.wav,crackling_fire
train,background_other__esc50__fold_2__2-83270-A-13__0107.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,83270-A,2-83270-A-13.wav,crickets
train,background_other__esc50__fold_3__3-127890-C-9__0108.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,127890-C,3-127890-C-9.wav,crow
train,background_other__esc50__fold_3__3-152007-B-20__0109.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,152007-B,3-152007-B-20.wav,crying_baby
train,background_other__esc50__fold_3__3-94355-A-33__0110.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,94355-A,3-94355-A-33.wav,door_wood_creaks
train,background_other__esc50__fold_3__3-182023-A-30__0111.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,182023-A,3-182023-A-30.wav,door_wood_knock
train,background_other__esc50__fold_1__1-32579-A-29__0112.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,32579-A,1-32579-A-29.wav,drinking_sipping
train,background_other__esc50__fold_1__1-18527-B-44__0113.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,18527-B,1-18527-B-44.wav,engine
train,background_other__esc50__fold_3__3-119120-A-48__0114.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,119120-A,3-119120-A-48.wav,fireworks
train,background_other__esc50__fold_3__3-103599-B-25__0115.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,103599-B,3-103599-B-25.wav,footsteps
train,background_other__esc50__fold_1__1-18757-A-4__0116.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,18757-A,1-18757-A-4.wav,frog
train,background_other__esc50__fold_2__2-135860-A-49__0117.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,135860-A,2-135860-A-49.wav,hand_saw
train,background_other__esc50__fold_3__3-150979-B-40__0118.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,150979-B,3-150979-B-40.wav,helicopter
train,background_other__esc50__fold_3__3-187549-A-6__0119.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,187549-A,3-187549-A-6.wav,hen
train,background_other__esc50__fold_2__2-81970-B-7__0120.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,81970-B,2-81970-B-7.wav,insects
train,background_other__esc50__fold_3__3-154781-A-32__0121.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,154781-A,3-154781-A-32.wav,keyboard_typing
train,background_other__esc50__fold_2__2-62226-A-26__0122.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,62226-A,2-62226-A-26.wav,laughing
train,background_other__esc50__fold_3__3-167096-A-31__0123.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,167096-A,3-167096-A-31.wav,mouse_click
train,background_other__esc50__fold_3__3-253084-B-2__0124.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,253084-B,3-253084-B-2.wav,pig
train,background_other__esc50__fold_3__3-161500-A-17__0125.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,161500-A,3-161500-A-17.wav,pouring_water
train,background_other__esc50__fold_1__1-29561-A-10__0126.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,29561-A,1-29561-A-10.wav,rain
train,background_other__esc50__fold_3__3-134049-A-1__0127.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,134049-A,3-134049-A-1.wav,rooster
train,background_other__esc50__fold_1__1-28135-A-11__0128.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,28135-A,1-28135-A-11.wav,sea_waves
train,background_other__esc50__fold_2__2-110614-A-8__0129.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,110614-A,2-110614-A-8.wav,sheep
train,background_other__esc50__fold_3__3-142601-A-21__0130.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,142601-A,3-142601-A-21.wav,sneezing
train,background_other__esc50__fold_3__3-130998-A-28__0131.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,130998-A,3-130998-A-28.wav,snoring
train,background_other__esc50__fold_2__2-67422-A-18__0132.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,67422-A,2-67422-A-18.wav,toilet_flush
train,background_other__esc50__fold_3__3-135650-A-45__0133.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,135650-A,3-135650-A-45.wav,train
train,background_other__esc50__fold_1__1-19840-A-36__0134.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,19840-A,1-19840-A-36.wav,vacuum_cleaner
train,background_other__esc50__fold_2__2-121909-A-35__0135.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,121909-A,2-121909-A-35.wav,washing_machine
train,background_other__esc50__fold_3__3-166324-A-15__0136.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,166324-A,3-166324-A-15.wav,water_drops
train,background_other__esc50__fold_2__2-109371-D-16__0137.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,109371-D,2-109371-D-16.wav,wind
train,background_other__esc50__fold_3__3-128512-A-47__0138.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,128512-A,3-128512-A-47.wav,airplane
train,background_other__esc50__fold_1__1-30709-B-23__0139.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,30709-B,1-30709-B-23.wav,breathing
train,background_other__esc50__fold_3__3-118069-B-27__0140.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,118069-B,3-118069-B-27.wav,brushing_teeth
train,background_other__esc50__fold_1__1-69165-A-34__0141.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,69165-A,1-69165-A-34.wav,can_opening
train,background_other__esc50__fold_2__2-128465-B-43__0142.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,128465-B,2-128465-B-43.wav,car_horn
train,background_other__esc50__fold_3__3-146965-A-5__0143.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,146965-A,3-146965-A-5.wav,cat
train,background_other__esc50__fold_1__1-19898-A-41__0144.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,19898-A,1-19898-A-41.wav,chainsaw
train,background_other__esc50__fold_3__3-155579-A-14__0145.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,155579-A,3-155579-A-14.wav,chirping_birds
train,background_other__esc50__fold_2__2-61618-A-46__0146.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,61618-A,2-61618-A-46.wav,church_bells
train,background_other__esc50__fold_3__3-197435-B-22__0147.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,197435-B,3-197435-B-22.wav,clapping
train,background_other__esc50__fold_2__2-96063-A-37__0148.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,96063-A,2-96063-A-37.wav,clock_alarm
train,background_other__esc50__fold_3__3-170377-A-38__0149.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,170377-A,3-170377-A-38.wav,clock_tick
train,background_other__esc50__fold_3__3-142604-A-24__0150.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,142604-A,3-142604-A-24.wav,coughing
train,background_other__esc50__fold_2__2-103423-A-3__0151.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,103423-A,2-103423-A-3.wav,cow
train,background_other__esc50__fold_3__3-120644-A-12__0152.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,120644-A,3-120644-A-12.wav,crackling_fire
train,background_other__esc50__fold_3__3-134802-A-13__0153.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,134802-A,3-134802-A-13.wav,crickets
train,background_other__esc50__fold_2__2-109231-C-9__0154.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,109231-C,2-109231-C-9.wav,crow
train,background_other__esc50__fold_1__1-211527-B-20__0155.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,211527-B,1-211527-B-20.wav,crying_baby
train,background_other__esc50__fold_1__1-51805-A-33__0156.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,51805-A,1-51805-A-33.wav,door_wood_creaks
train,background_other__esc50__fold_2__2-134915-A-30__0157.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,134915-A,2-134915-A-30.wav,door_wood_knock
train,background_other__esc50__fold_3__3-133977-A-29__0158.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,133977-A,3-133977-A-29.wav,drinking_sipping
train,background_other__esc50__fold_2__2-107228-B-44__0159.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,107228-B,2-107228-B-44.wav,engine
train,background_other__esc50__fold_3__3-119120-E-48__0160.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,119120-E,3-119120-E-48.wav,fireworks
train,background_other__esc50__fold_1__1-155858-E-25__0161.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,155858-E,1-155858-E-25.wav,footsteps
train,background_other__esc50__fold_3__3-71964-B-4__0162.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,71964-B,3-71964-B-4.wav,frog
train,background_other__esc50__fold_1__1-23706-A-49__0163.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,23706-A,1-23706-A-49.wav,hand_saw
train,background_other__esc50__fold_1__1-172649-B-40__0164.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,172649-B,1-172649-B-40.wav,helicopter
train,background_other__esc50__fold_1__1-71030-A-6__0165.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,71030-A,1-71030-A-6.wav,hen
train,background_other__esc50__fold_1__1-7973-A-7__0166.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,7973-A,1-7973-A-7.wav,insects
train,background_other__esc50__fold_1__1-79711-A-32__0167.wav,background_other,background_other,esc50_diverse,ESC-50,fold_1,79711-A,1-79711-A-32.wav,keyboard_typing
train,background_other__esc50__fold_2__2-109759-B-26__0168.wav,background_other,background_other,esc50_diverse,ESC-50,fold_2,109759-B,2-109759-B-26.wav,laughing
train,background_other__esc50__fold_3__3-158056-B-31__0169.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,158056-B,3-158056-B-31.wav,mouse_click
train,background_other__esc50__fold_3__3-233151-A-2__0170.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,233151-A,3-233151-A-2.wav,pig
train,background_other__esc50__fold_3__3-149448-A-17__0171.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,149448-A,3-149448-A-17.wav,pouring_water
train,background_other__esc50__fold_3__3-132852-A-10__0172.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,132852-A,3-132852-A-10.wav,rain
train,background_other__esc50__fold_3__3-154957-A-1__0173.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,154957-A,3-154957-A-1.wav,rooster
train,background_other__esc50__fold_3__3-164120-A-11__0174.wav,background_other,background_other,esc50_diverse,ESC-50,fold_3,164120-A,3-164120-A-11.wav,sea_waves
