candidate_id,expected_class,true_category,source_dataset,source_partition,source_id,selected,selection_reason,selection_seed
FE2C-047,speech,speech,FSD50K,eval,152418,True,seeded_balanced_final_selection,2701
FE2C-048,dog_bark,dog_bark,FSD50K,eval,396220,True,seeded_balanced_final_selection,2701
FE2C-049,siren,siren,FSD50K,eval,392881,True,seeded_balanced_final_selection,2701
FE2C-050,dog_bark,dog_bark,FSD50K,eval,326563,True,seeded_balanced_final_selection,2701
FE2C-051,gunshot_gunfire,gunshot_gunfire,FSD50K,eval,249146,True,seeded_balanced_final_selection,2701
FE2C-053,speech,speech,FSD50K,eval,31489,True,seeded_balanced_final_selection,2701
FE2C-055,glass_breaking,glass_breaking,FSD50K,eval,155620,True,seeded_balanced_final_selection,2701
FE2C-057,speech,speech,FSD50K,eval,146926,True,seeded_balanced_final_selection,2701
FE2C-058,other,Bell,FSD50K,eval,200318,True,seeded_balanced_final_selection,2701
FE2C-059,glass_breaking,glass_breaking,FSD50K,eval,204185,True,seeded_balanced_final_selection,2701
FE2C-060,gunshot_gunfire,gunshot_gunfire,FSD50K,eval,386780,True,seeded_balanced_final_selection,2701
FE2C-061,dog_bark,dog_bark,FSD50K,eval,361544,True,seeded_balanced_final_selection,2701
FE2C-064,speech,speech,FSD50K,eval,257865,True,seeded_balanced_final_selection,2701
FE2C-065,gunshot_gunfire,gunshot_gunfire,FSD50K,eval,196400,True,seeded_balanced_final_selection,2701
FE2C-066,siren,siren,FSD50K,eval,188004,False,eligible_surplus_not_selected,2701
FE2C-067,dog_bark,dog_bark,FSD50K,eval,429260,False,eligible_surplus_not_selected,2701
FE2C-069,other,Dishes_and_pots_and_pans,FSD50K,eval,33854,True,seeded_balanced_final_selection,2701
FE2C-072,dog_bark,dog_bark,FSD50K,eval,344955,True,seeded_balanced_final_selection,2701
FE2C-075,other,Knock,FSD50K,eval,135428,True,seeded_balanced_final_selection,2701
FE2C-080,other,Computer_keyboard,FSD50K,eval,181264,True,seeded_balanced_final_selection,2701
FE2C-085,glass_breaking,glass_breaking,FSD50K,eval,338692,False,eligible_surplus_not_selected,2701
FE2C-088,dog_bark,dog_bark,FSD50K,eval,380440,True,seeded_balanced_final_selection,2701
FE2C-090,gunshot_gunfire,gunshot_gunfire,FSD50K,eval,87562,False,eligible_surplus_not_selected,2701
FE2C-091,siren,siren,FSD50K,eval,58014,True,seeded_balanced_final_selection,2701
FE2C-092,dog_bark,dog_bark,FSD50K,eval,38121,True,seeded_balanced_final_selection,2701
FE2C-093,gunshot_gunfire,gunshot_gunfire,FSD50K,eval,242846,True,seeded_balanced_final_selection,2701
FE2C-095,other,Dishes_and_pots_and_pans,FSD50K,eval,427008,False,eligible_surplus_not_selected,2701
FE2C-096,speech,speech,FSD50K,eval,86938,True,seeded_balanced_final_selection,2701
FE2C-099,gunshot_gunfire,gunshot_gunfire,FSD50K,eval,52357,True,seeded_balanced_final_selection,2701
FE2C-101,speech,speech,FSD50K,eval,391300,True,seeded_balanced_final_selection,2701
FE2C-102,glass_breaking,glass_breaking,FSD50K,eval,98055,True,seeded_balanced_final_selection,2701
FE2C-103,other,Alarm,FSD50K,eval,345068,False,eligible_surplus_not_selected,2701
FE2S-002,glass_breaking,glass_breaking,FSD50K,eval,409297,True,seeded_balanced_final_selection,2701
FE2S-006,glass_breaking,glass_breaking,FSD50K,eval,231297,True,seeded_balanced_final_selection,2701
FE2S-008,glass_breaking,glass_breaking,FSD50K,eval,34201,True,seeded_balanced_final_selection,2701
FE2S-009,siren,siren,UrbanSound8K,fold_9,157866,True,seeded_balanced_final_selection,2701
FE2S-010,gunshot_gunfire,gunshot_gunfire,FSD50K,eval,351778,True,seeded_balanced_final_selection,2701
FE2S-011,siren,siren,UrbanSound8K,fold_9,159744,True,seeded_balanced_final_selection,2701
FE2S-014,gunshot_gunfire,gunshot_gunfire,FSD50K,eval,399065,True,seeded_balanced_final_selection,2701
FE2S-018,glass_breaking,glass_breaking,FSD50K,eval,29712,True,seeded_balanced_final_selection,2701
FE2S-020,gunshot_gunfire,gunshot_gunfire,FSD50K,eval,58904,False,eligible_surplus_not_selected,2701
FE2S2-001,siren,siren,UrbanSound8K,fold_1,157867,True,seeded_balanced_final_selection,2701
FE2S2-004,siren,siren,UrbanSound8K,fold_5,156869,False,eligible_surplus_not_selected,2701
FE2S2-005,siren,siren,UrbanSound8K,fold_2,123688,True,seeded_balanced_final_selection,2701
FE2S2-006,siren,siren,UrbanSound8K,fold_7,105289,True,seeded_balanced_final_selection,2701
FE2S2-007,siren,siren,UrbanSound8K,fold_8,71177,True,seeded_balanced_final_selection,2701
FE2S2-008,siren,siren,UrbanSound8K,fold_6,74726,True,seeded_balanced_final_selection,2701
