filename,category,source_dataset,source_id,source_group,source_filename,source_sha256,derived_sha256,variant_index,event_time_s,previous_event_time_s,event_detector,sample_rate_hz,duration_s,seed,transform_name,event_offset_s,source_left_padding_samples,source_right_padding_samples,boundary_policy,gain_db,speed_factor,highpass_hz,lowpass_hz,compression_drive,signal_to_noise_db,background_scale,background_file,background_category,background_source_group,limiter_gain,output_peak_dbfs,output_rms_dbfs
glass_breaking__esc50__fold_1__84536__0001__r0__aug4.wav,glass_breaking,ESC-50,84536,esc-50:84536,glass_breaking__esc50__fold_1__84536__0001__r0.wav,79efba4c0c54acadc88783e83b428fc9c430db94515b25339a6b5598e2ade0c0,04598d3aab5402ab030d99f38db141da086f38c56d7c8f65743e32f657b427cd,4,0.58619,0.58619,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_speed_gain,0.311457,0,0,zero_pad_without_source_sample_loss,-2.1167,1.03638,,,1.0,,,,,,0.85352839,-1.0,-14.5795
glass_breaking__esc50__fold_1__84536__0001__r0__aug5.wav,glass_breaking,ESC-50,84536,esc-50:84536,glass_breaking__esc50__fold_1__84536__0001__r0.wav,79efba4c0c54acadc88783e83b428fc9c430db94515b25339a6b5598e2ade0c0,12cb1e7a2e47302d013409657ae25debc16325f62277831a103665152fe89175,5,0.58619,0.58619,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_compression_background,0.256499,0,0,zero_pad_without_source_sample_loss,-0.6065,1.0,,,1.29035,18.9316,0.53745511,2-137162-A-11.wav,sea_waves,esc50:137162,0.89239087,-1.0,-10.1757
glass_breaking__esc50__fold_1__84704__0002__r0__aug0.wav,glass_breaking,ESC-50,84704,esc-50:84704,glass_breaking__esc50__fold_1__84704__0002__r0.wav,c3e1abf0273f02b5f89e7d51cb890f3ad1575dc55fe1023650b0860b6f3abd15,1cfa222b7348f4db2d2381f9cdd76fcbb02beb4f34c4c8031aab3848945ea787,0,0.092313,0.092313,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_only,0.274906,8052,0,zero_pad_without_source_sample_loss,0.0,1.0,,,1.0,,,,,,0.89125094,-1.0,-17.5265
glass_breaking__esc50__fold_1__84704__0002__r0__aug1.wav,glass_breaking,ESC-50,84704,esc-50:84704,glass_breaking__esc50__fold_1__84704__0002__r0.wav,c3e1abf0273f02b5f89e7d51cb890f3ad1575dc55fe1023650b0860b6f3abd15,116a8e17e8d0f9ec203388bcf56c1d8857ee8efebde63ea19a76d979efe3cc01,1,0.092313,0.092313,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_gain,0.283729,8441,0,zero_pad_without_source_sample_loss,1.5795,1.0,,,1.0,,,,,,0.7430606,-1.0,-17.6192
glass_breaking__esc50__fold_1__84704__0002__r0__aug2.wav,glass_breaking,ESC-50,84704,esc-50:84704,glass_breaking__esc50__fold_1__84704__0002__r0.wav,c3e1abf0273f02b5f89e7d51cb890f3ad1575dc55fe1023650b0860b6f3abd15,0fb16de5e7c393a13f8f67ce46440089ea38b5ac505c54d8d2cee54b126d2854,2,0.092313,0.092313,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_gain_background,0.246535,6801,0,zero_pad_without_source_sample_loss,-11.139,1.0,,,1.0,10.0919,1.18775723,1-57163-A-38.wav,clock_tick,esc50:57163,1.0,-11.1073,-27.1267
glass_breaking__esc50__fold_1__84704__0002__r0__aug3.wav,glass_breaking,ESC-50,84704,esc-50:84704,glass_breaking__esc50__fold_1__84704__0002__r0.wav,c3e1abf0273f02b5f89e7d51cb890f3ad1575dc55fe1023650b0860b6f3abd15,f6be80f323f3983efc6ae7b783fe62f16e930d04bddd0399d38a48f3b658f208,3,0.092313,0.092313,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_filter_background,0.114846,994,0,zero_pad_without_source_sample_loss,-4.2981,1.0,219.251,5741.997,1.0,24.2447,0.06330251,1-84393-A-32.wav,keyboard_typing,esc50:84393,0.99457483,-1.0,-23.5345
glass_breaking__esc50__fold_1__84704__0002__r0__aug4.wav,glass_breaking,ESC-50,84704,esc-50:84704,glass_breaking__esc50__fold_1__84704__0002__r0.wav,c3e1abf0273f02b5f89e7d51cb890f3ad1575dc55fe1023650b0860b6f3abd15,f1814a0f5b003f8b42d9b54dcff59206b3b4b07b5a3ab6c6b1702ee14ce45b50,4,0.092313,0.092313,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_speed_gain,0.359115,11766,0,zero_pad_without_source_sample_loss,-3.9996,0.997395,,,1.0,,,,,,1.0,-1.8838,-21.0322
glass_breaking__esc50__fold_1__84704__0002__r0__aug5.wav,glass_breaking,ESC-50,84704,esc-50:84704,glass_breaking__esc50__fold_1__84704__0002__r0.wav,c3e1abf0273f02b5f89e7d51cb890f3ad1575dc55fe1023650b0860b6f3abd15,fb4703c45dd7840cda727ca1b3b3166fe1443f9cc6e8906cc692a21cff3a5f89,5,0.092313,0.092313,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_compression_background,0.299447,9135,0,zero_pad_without_source_sample_loss,2.776,1.0,,,1.21051,19.6498,0.25551326,3-144106-A-32.wav,keyboard_typing,esc50:144106,0.78692996,-1.0,-15.4228
glass_breaking__esc50__fold_1__84705__0003__r0__aug0.wav,glass_breaking,ESC-50,84705,esc-50:84705,glass_breaking__esc50__fold_1__84705__0003__r0.wav,e8cc52dd91213cd69031e10c0fe15f77230f588ececb13cc7c906c43ece32336,c1074d480d4f2e8cd8059fcd73a638103424f08e1441d3bf7db2c8b7e52304e7,0,0.212041,0.212041,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_only,0.164957,0,0,zero_pad_without_source_sample_loss,0.0,1.0,,,1.0,,,,,,0.89125094,-1.0,-22.122
glass_breaking__esc50__fold_1__84705__0003__r0__aug1.wav,glass_breaking,ESC-50,84705,esc-50:84705,glass_breaking__esc50__fold_1__84705__0003__r0.wav,e8cc52dd91213cd69031e10c0fe15f77230f588ececb13cc7c906c43ece32336,b327293168be3d52188f637dacba48be50d97deb6c6a1be44b374a93b150a957,1,0.212041,0.212041,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_gain,0.128723,0,0,zero_pad_without_source_sample_loss,2.3731,1.0,,,1.0,,,,,,0.98513042,-1.0,-25.2976
glass_breaking__esc50__fold_1__84705__0003__r0__aug2.wav,glass_breaking,ESC-50,84705,esc-50:84705,glass_breaking__esc50__fold_1__84705__0003__r0.wav,e8cc52dd91213cd69031e10c0fe15f77230f588ececb13cc7c906c43ece32336,96326b15ed4739bae048a8b8547695f530b918757d97bfbd553eb38aba424cd1,2,0.212041,0.212041,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_gain_background,0.291569,3507,0,zero_pad_without_source_sample_loss,3.0243,1.0,,,1.0,21.2468,0.24091657,3-144128-A-23.wav,breathing,esc50:144128,0.62470121,-1.0,-16.5573
glass_breaking__esc50__fold_1__84705__0003__r0__aug3.wav,glass_breaking,ESC-50,84705,esc-50:84705,glass_breaking__esc50__fold_1__84705__0003__r0.wav,e8cc52dd91213cd69031e10c0fe15f77230f588ececb13cc7c906c43ece32336,23aed46be6615ea16405efe2bae0e300535fffe7f32c75eea90c934e1bc4e8df,3,0.212041,0.212041,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_filter_background,0.249545,1654,0,zero_pad_without_source_sample_loss,-8.9375,1.0,242.304,5728.014,1.0,13.1552,0.05598115,2-102567-D-35.wav,washing_machine,esc50:102567,1.0,-5.5238,-26.3428
glass_breaking__esc50__fold_1__84705__0003__r0__aug4.wav,glass_breaking,ESC-50,84705,esc-50:84705,glass_breaking__esc50__fold_1__84705__0003__r0.wav,e8cc52dd91213cd69031e10c0fe15f77230f588ececb13cc7c906c43ece32336,4ed29977c9fee10c6a22a68498b67570e712304eea8a5cc7e6aee280af54b741,4,0.212041,0.212041,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_speed_gain,0.324731,4970,0,zero_pad_without_source_sample_loss,-11.969,0.985689,,,1.0,,,,,,1.0,-9.5162,-27.4275
glass_breaking__esc50__fold_1__84705__0003__r0__aug5.wav,glass_breaking,ESC-50,84705,esc-50:84705,glass_breaking__esc50__fold_1__84705__0003__r0.wav,e8cc52dd91213cd69031e10c0fe15f77230f588ececb13cc7c906c43ece32336,1cda29caebcd710f42df6ddb9107289e6cea287b22e665964e0c688e7e977966,5,0.212041,0.212041,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_compression_background,0.325399,4999,0,zero_pad_without_source_sample_loss,-0.3594,1.0,,,1.53429,19.0088,0.09024682,1-30709-C-23.wav,breathing,esc50:30709,0.89727835,-1.0,-15.001
glass_breaking__esc50__fold_1__85168__0004__r0__aug0.wav,glass_breaking,ESC-50,85168,esc-50:85168,glass_breaking__esc50__fold_1__85168__0004__r0.wav,08fcf5a7656cc1c824122aba2a7dd1107130a0f9d6f3e3b73e7d06575b246ed5,9b1e1be13c307b5af67ee4f43dd9ebed8a495fc221db4c23143dc3d1cc995bf6,0,0.705918,0.705918,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_only,0.325747,0,0,zero_pad_without_source_sample_loss,0.0,1.0,,,1.0,,,,,,1.0,-10.6239,-30.5425
glass_breaking__esc50__fold_1__85168__0004__r0__aug1.wav,glass_breaking,ESC-50,85168,esc-50:85168,glass_breaking__esc50__fold_1__85168__0004__r0.wav,08fcf5a7656cc1c824122aba2a7dd1107130a0f9d6f3e3b73e7d06575b246ed5,a6b272a6698f9cba14f4e349757e7c2363da14d325fe4c0366bd492a5a178385,1,0.705918,0.705918,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_gain,0.189435,0,0,zero_pad_without_source_sample_loss,4.4848,1.0,,,1.0,,,,,,1.0,-6.9434,-28.928
glass_breaking__esc50__fold_1__85168__0004__r0__aug2.wav,glass_breaking,ESC-50,85168,esc-50:85168,glass_breaking__esc50__fold_1__85168__0004__r0.wav,08fcf5a7656cc1c824122aba2a7dd1107130a0f9d6f3e3b73e7d06575b246ed5,14ab310d62b63df0d582ff553a6496f4f42076d95b5987a95d068793fe5276ac,2,0.705918,0.705918,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_gain_background,0.334022,0,0,zero_pad_without_source_sample_loss,-4.2075,1.0,,,1.0,18.9317,0.06856642,2-102567-B-35.wav,washing_machine,esc50:102567,1.0,-13.5443,-34.5477
glass_breaking__esc50__fold_1__85168__0004__r0__aug3.wav,glass_breaking,ESC-50,85168,esc-50:85168,glass_breaking__esc50__fold_1__85168__0004__r0.wav,08fcf5a7656cc1c824122aba2a7dd1107130a0f9d6f3e3b73e7d06575b246ed5,1ecd209b4c0cd5449d37f7ed48edc73990de3eee1ff7e44d0f83f5684e2e8c1c,3,0.705918,0.705918,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_filter_background,0.242993,0,0,zero_pad_without_source_sample_loss,-4.1283,1.0,258.609,5535.41,1.0,14.6165,0.1071705,1-57163-A-38.wav,clock_tick,esc50:57163,1.0,-17.9084,-42.6182
glass_breaking__esc50__fold_1__85168__0004__r0__aug4.wav,glass_breaking,ESC-50,85168,esc-50:85168,glass_breaking__esc50__fold_1__85168__0004__r0.wav,08fcf5a7656cc1c824122aba2a7dd1107130a0f9d6f3e3b73e7d06575b246ed5,3e5efb932c33cf1e05e9caa3c48c786617b3e00ef16c7c183dc61a12d6b855eb,4,0.705918,0.705918,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_speed_gain,0.148891,0,0,zero_pad_without_source_sample_loss,0.7672,0.974045,,,1.0,,,,,,1.0,-10.6595,-32.9675
glass_breaking__esc50__fold_1__85168__0004__r0__aug5.wav,glass_breaking,ESC-50,85168,esc-50:85168,glass_breaking__esc50__fold_1__85168__0004__r0.wav,08fcf5a7656cc1c824122aba2a7dd1107130a0f9d6f3e3b73e7d06575b246ed5,dad1c454ca617fb6501636e3219ede4d55fe11009e4382e79ddee32f80a60345,5,0.705918,0.705918,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_compression_background,0.242684,0,0,zero_pad_without_source_sample_loss,-3.8232,1.0,,,1.56922,14.6718,0.02077957,1-61252-A-11.wav,sea_waves,esc50:61252,1.0,-10.8131,-31.7217
glass_breaking__esc50__fold_1__85184__0005__r0__aug0.wav,glass_breaking,ESC-50,85184,esc-50:85184,glass_breaking__esc50__fold_1__85184__0005__r0.wav,aafacfae6a441ba21f4c76a11042726f933272709a099a54a15a905a1d65b837,f26a8edf0440d4550695c2e4f150fad7b2ca0c3b2101053e46b9d0c0819d7483,0,0.461474,0.461474,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_only,0.34718,0,0,zero_pad_without_source_sample_loss,0.0,1.0,,,1.0,,,,,,0.89125094,-1.0,-21.7772
glass_breaking__esc50__fold_1__85184__0005__r0__aug1.wav,glass_breaking,ESC-50,85184,esc-50:85184,glass_breaking__esc50__fold_1__85184__0005__r0.wav,aafacfae6a441ba21f4c76a11042726f933272709a099a54a15a905a1d65b837,d423f7f97d2241d93627bcef28f08e91b26b47a36c1394d451e1a065af83b2ab,1,0.461474,0.461474,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_gain,0.279407,0,0,zero_pad_without_source_sample_loss,-0.6247,1.0,,,1.0,,,,,,1.0,-4.1439,-25.2427
glass_breaking__esc50__fold_1__85184__0005__r0__aug2.wav,glass_breaking,ESC-50,85184,esc-50:85184,glass_breaking__esc50__fold_1__85184__0005__r0.wav,aafacfae6a441ba21f4c76a11042726f933272709a099a54a15a905a1d65b837,b2238dc69f4c6bc2e81dc088acd0f2fbcb0feb5fee04fe5fef9c1c853ef3abc9,2,0.461474,0.461474,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_gain_background,0.182255,0,0,zero_pad_without_source_sample_loss,-8.8027,1.0,,,1.0,14.6494,0.20566811,3-143933-A-38.wav,clock_tick,esc50:143933,1.0,-17.051,-39.1587
glass_breaking__esc50__fold_1__85184__0005__r0__aug3.wav,glass_breaking,ESC-50,85184,esc-50:85184,glass_breaking__esc50__fold_1__85184__0005__r0.wav,aafacfae6a441ba21f4c76a11042726f933272709a099a54a15a905a1d65b837,402d80a2d9b048e38dd8f8dcd2a6d00e1295c3be92e97b548a8837a28f836a0c,3,0.461474,0.461474,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_filter_background,0.191209,0,0,zero_pad_without_source_sample_loss,-5.8294,1.0,152.434,6296.889,1.0,14.9463,0.00640661,1-23996-B-35.wav,washing_machine,esc50:23996,1.0,-19.529,-41.7893
glass_breaking__esc50__fold_1__85184__0005__r0__aug4.wav,glass_breaking,ESC-50,85184,esc-50:85184,glass_breaking__esc50__fold_1__85184__0005__r0.wav,aafacfae6a441ba21f4c76a11042726f933272709a099a54a15a905a1d65b837,2626e34d466056585107bff366c9d86b59dd6d8bc136d7abd6a7b4ecea95dce5,4,0.461474,0.461474,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_speed_gain,0.228776,0,0,zero_pad_without_source_sample_loss,-10.4954,1.013736,,,1.0,,,,,,1.0,-12.9553,-37.4592
glass_breaking__esc50__fold_1__85184__0005__r0__aug5.wav,glass_breaking,ESC-50,85184,esc-50:85184,glass_breaking__esc50__fold_1__85184__0005__r0.wav,aafacfae6a441ba21f4c76a11042726f933272709a099a54a15a905a1d65b837,fd9c73b0856764968a66db4fe66cb0fb289931935d66e9c30e597cb2ecacc9d3,5,0.461474,0.461474,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_compression_background,0.215116,0,0,zero_pad_without_source_sample_loss,-2.7674,1.0,,,1.42083,22.9766,0.15437305,3-171012-A-38.wav,clock_tick,esc50:171012,1.0,-3.9531,-26.5883
glass_breaking__esc50__fold_1__88807__0006__r0__aug0.wav,glass_breaking,ESC-50,88807,esc-50:88807,glass_breaking__esc50__fold_1__88807__0006__r0.wav,e5c368173342c2acba450c7d3116fac74fcec86bc8dc26055c6da7ebc509d191,537dcf18e3c4814103adabe60dbced9edd2cfde536c7e7996560b6000fb54736,0,2.032902,2.032902,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_only,0.189272,0,0,zero_pad_without_source_sample_loss,0.0,1.0,,,1.0,,,,,,1.0,-37.035,-56.9279
glass_breaking__esc50__fold_1__88807__0006__r0__aug1.wav,glass_breaking,ESC-50,88807,esc-50:88807,glass_breaking__esc50__fold_1__88807__0006__r0.wav,e5c368173342c2acba450c7d3116fac74fcec86bc8dc26055c6da7ebc509d191,fc64a8e8684e6819f900220f3e6e28cfcdeaf300c6788662e92888e124d7df4d,1,2.032902,2.032902,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_gain,0.123867,0,0,zero_pad_without_source_sample_loss,4.5185,1.0,,,1.0,,,,,,1.0,-32.5165,-53.066
glass_breaking__esc50__fold_1__88807__0006__r0__aug2.wav,glass_breaking,ESC-50,88807,esc-50:88807,glass_breaking__esc50__fold_1__88807__0006__r0.wav,e5c368173342c2acba450c7d3116fac74fcec86bc8dc26055c6da7ebc509d191,db27ceecbfd246778bfe7b498bd4bf39d29df43942010e4203312bc48dbfc05a,2,2.032902,2.032902,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_gain_background,0.357905,0,0,zero_pad_without_source_sample_loss,-6.918,1.0,,,1.0,11.0764,0.012529,1-36400-A-23.wav,breathing,esc50:36400,1.0,-39.3539,-61.3501
glass_breaking__esc50__fold_1__88807__0006__r0__aug3.wav,glass_breaking,ESC-50,88807,esc-50:88807,glass_breaking__esc50__fold_1__88807__0006__r0.wav,e5c368173342c2acba450c7d3116fac74fcec86bc8dc26055c6da7ebc509d191,1a4150acd295dd6c0ff69e61df79132787591f98ee1930ed91c87e204d241358,3,2.032902,2.032902,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_filter_background,0.289288,0,0,zero_pad_without_source_sample_loss,-3.2157,1.0,187.251,5672.128,1.0,13.4185,0.00029643,1-30709-C-23.wav,breathing,esc50:30709,1.0,-46.5098,-72.966
glass_breaking__esc50__fold_1__88807__0006__r0__aug4.wav,glass_breaking,ESC-50,88807,esc-50:88807,glass_breaking__esc50__fold_1__88807__0006__r0.wav,e5c368173342c2acba450c7d3116fac74fcec86bc8dc26055c6da7ebc509d191,5ef114a6b93318524850566b749750b43409b4299fe30747464bc6b35e448723,4,2.032902,2.032902,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_speed_gain,0.242914,0,0,zero_pad_without_source_sample_loss,-7.9871,0.984981,,,1.0,,,,,,1.0,-44.9508,-64.6013
glass_breaking__esc50__fold_1__88807__0006__r0__aug5.wav,glass_breaking,ESC-50,88807,esc-50:88807,glass_breaking__esc50__fold_1__88807__0006__r0.wav,e5c368173342c2acba450c7d3116fac74fcec86bc8dc26055c6da7ebc509d191,97793377e4445a9e1112db6e3711c89282628215741a7286e307b9f7052fe7df,5,2.032902,2.032902,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_compression_background,0.132551,0,0,zero_pad_without_source_sample_loss,-0.9964,1.0,,,1.35298,19.902,120.29676497,1-36400-A-23.wav,breathing,esc50:36400,1.0,-34.2441,-54.705
glass_breaking__esc50__fold_1__977__0007__r0__aug0.wav,glass_breaking,ESC-50,977,esc-50:977,glass_breaking__esc50__fold_1__977__0007__r0.wav,67c88e07db9e2dd7a7551f0c5b99da315ce7df041f83ed57b479d8fda8fbfe27,5525bdc32bcb3b3fc975724e72461ae18f23dd9915c13bd2094e07bd54b1d31a,0,0.536304,0.536304,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_only,0.217686,0,0,zero_pad_without_source_sample_loss,0.0,1.0,,,1.0,,,,,,1.0,-24.4994,-50.5928
glass_breaking__esc50__fold_1__977__0007__r0__aug1.wav,glass_breaking,ESC-50,977,esc-50:977,glass_breaking__esc50__fold_1__977__0007__r0.wav,67c88e07db9e2dd7a7551f0c5b99da315ce7df041f83ed57b479d8fda8fbfe27,3b5e9441344387f540a56dc77a41655f68f549535c6578b0c1fab21467707fc6,1,0.536304,0.536304,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_gain,0.359189,0,0,zero_pad_without_source_sample_loss,-6.5744,1.0,,,1.0,,,,,,1.0,-11.6534,-42.2677
glass_breaking__esc50__fold_1__977__0007__r0__aug2.wav,glass_breaking,ESC-50,977,esc-50:977,glass_breaking__esc50__fold_1__977__0007__r0.wav,67c88e07db9e2dd7a7551f0c5b99da315ce7df041f83ed57b479d8fda8fbfe27,e8077ac1e66501265e173bb25a9240660126b90709e10a5a5a139d816b536fb1,2,0.536304,0.536304,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_gain_background,0.1873,0,0,zero_pad_without_source_sample_loss,-7.0977,1.0,,,1.0,18.0758,0.00105407,1-84393-A-32.wav,keyboard_typing,esc50:84393,1.0,-34.9044,-58.8499
glass_breaking__esc50__fold_1__977__0007__r0__aug3.wav,glass_breaking,ESC-50,977,esc-50:977,glass_breaking__esc50__fold_1__977__0007__r0.wav,67c88e07db9e2dd7a7551f0c5b99da315ce7df041f83ed57b479d8fda8fbfe27,0f65c37a372e6528f36418d2cd9603750e2ea57f91f52f2355173c1eddffd4b1,3,0.536304,0.536304,reviewed_energy_spectral_flux_v1,44100,1.0,451,position_filter_background,0.27696,0,0,zero_pad_without_source_sample_loss,-7.0935,1.0,198.594,7002.214,1.0,11.8527,0.01123627,3-142593-A-38.wav,clock_tick,esc50:142593,1.0,-31.94,-56.7239
