trial_order,trial_id,expected_class,true_category,test_type,review_phase,review_id,semantic_label,variant,loudness_stratum,derived_gain_db,parent_stimulus_sha256,stimulus_file,stimulus_path,source_dataset,source_partition,source_id,sha256,distance_cm,volume_percent,capture_duration_s,status,notes
1,P2-001,thunderstorm,thunderstorm,positive,initial,P2R-024,canonical,not_recorded,reviewed_nominal,0.0,5da38c81cdf3f720b9717940dc0d26e8c2b1e91acaf3c5361a7d7eaa73bf02b6,P2-001.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-001.wav,FSD50K,dev,259316,5da38c81cdf3f720b9717940dc0d26e8c2b1e91acaf3c5361a7d7eaa73bf02b6,30,75,25,pending,Targeted development verification; not unbiased final accuracy.
12,P2-012,dog_bark,dog_bark,positive,initial,P2R-023,canonical,not_recorded,reviewed_nominal,0.0,f250921c6c0e8394618c482c498000a96c8ed18354ba9901cad6b72b62aa7516,P2-012.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-012.wav,FSD50K,dev,400576,f250921c6c0e8394618c482c498000a96c8ed18354ba9901cad6b72b62aa7516,30,75,20,pending,Targeted development verification; not unbiased final accuracy.
13,P2-013,out_of_distribution,clock_tick,ood,supplement,P2S-013,canonical,not_recorded,ood_attenuated_20db,-20.0,3133fe152b456d386fe72e1519f0f68c78093168333a1f56cf87afa509dc8ac2,P2-013.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-013.wav,ESC-50,fold_4,4-194711-A-38,957c6dbbf90bc5e68668c8117da15db621b3f67ab30f9ad809600c8c8c6a3b26,30,75,20,pending,Targeted development verification; not unbiased final accuracy.
14,P2-014,glass_breaking,glass_breaking,positive,supplement,P2S-018,canonical,shatter_plus_impact,reviewed_nominal,0.0,2250ebfafcb52f01dc59c3e11c9a11f42814d57ce94e8f36573e2b0b533e33c8,P2-014.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-014.wav,FSD50K,dev,163364,2250ebfafcb52f01dc59c3e11c9a11f42814d57ce94e8f36573e2b0b533e33c8,30,75,24,pending,Targeted development verification; not unbiased final accuracy.
15,P2-015,out_of_distribution,rain,ood,ambient,P2A-001,canonical,not_recorded,ood_attenuated_20db,-20.0,79d83e81b1554249e541242b90962d1d8cf51975b49f3a66187710c80d7c71db,P2-015.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-015.wav,ESC-50,fold_4,4-163264-A-10,4503a5a657d675dc10eea0baec62c7c60e232f52e2f3e1f4325eb67c8a156073,30,75,20,pending,Targeted development verification; not unbiased final accuracy.
16,P2-016,gunshot_gunfire,gunshot_gunfire,positive,initial,P2R-044,canonical,single_shot,reduced_6db,-6.0,a034cbd3aecf7adbd84b1a41d27f60176b3e019b99e68dfb4689492ac26cca00,P2-016.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-016.wav,FSD50K,dev,161475,1dcf8d7e7c374f727a500dbe7d5d27fcdb362318b64b04715b14d29130e7e25b,30,75,20,pending,Targeted development verification; not unbiased final accuracy.
17,P2-017,out_of_distribution,clapping,ood,supplement,P2S-006,canonical,not_recorded,ood_attenuated_20db,-20.0,be0e6278f2aca40b61a6376593da756883ddc2f92be5e7a100837792a7702bb3,P2-017.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-017.wav,ESC-50,fold_4,4-189828-A-22,36548910b7767a8af08afa4d157bbef6e5495c220086cf7f3195ee4217f4940a,30,75,20,pending,Targeted development verification; not unbiased final accuracy.
18,P2-018,gunshot_gunfire,gunshot_gunfire,positive,initial,P2R-003,canonical,multiple_shots,nominal,0.0,aef34fa61a553320658ae477b3c8f3b2b0f39a12dcd943820778d9085c29d60a,P2-018.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-018.wav,FSD50K,dev,368805,aef34fa61a553320658ae477b3c8f3b2b0f39a12dcd943820778d9085c29d60a,30,75,20,pending,Targeted development verification; not unbiased final accuracy.
19,P2-019,dog_bark,dog_bark,positive,initial,P2R-001,canonical,not_recorded,reviewed_nominal,0.0,6e2fe81134dcabfdeb2cd560f48aa20c861243a4e219830e08303840dbc3fa7b,P2-019.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-019.wav,FSD50K,dev,180052,6e2fe81134dcabfdeb2cd560f48aa20c861243a4e219830e08303840dbc3fa7b,30,75,28,pending,Targeted development verification; not unbiased final accuracy.
20,P2-020,glass_breaking,glass_breaking,positive,initial,P2R-002,canonical,clean_shatter,reviewed_loud_attenuated_6db,-6.0,e5af2a20bdaea498de4890e132f2c4dd27aaa8448f8e41f296b0f8b06df4e2fe,P2-020.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-020.wav,FSD50K,dev,159197,a264edb63a515e0642909825c0ca23048ad45135811a5cd1bc9f10dc94c0fe8d,30,75,20,pending,Targeted development verification; not unbiased final accuracy.
21,P2-021,thunderstorm,thunderstorm,positive,supplement,P2S-021,canonical,not_recorded,reviewed_nominal,0.0,05334209283bd4362f4a04d977c1a3b3364e031ca2c7f4e308be6ff8b056b06a,P2-021.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-021.wav,ESC-50,fold_4,161519,05334209283bd4362f4a04d977c1a3b3364e031ca2c7f4e308be6ff8b056b06a,30,75,20,pending,Targeted development verification; not unbiased final accuracy.
22,P2-022,out_of_distribution,door_wood_knock,ood,supplement,P2S-010,canonical,not_recorded,ood_attenuated_20db,-20.0,2474d23539de83f4053517e774747d5c5aed53a9bf82cd8a501cfb0f07afd7b5,P2-022.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-022.wav,ESC-50,fold_4,4-188878-A-30,c9329383c104ac849b59c3b4b128a8833ae3e73fc1173998703ef3f079882cd6,30,75,20,pending,Targeted development verification; not unbiased final accuracy.
23,P2-023,thunderstorm,thunderstorm,positive,initial,P2R-037,canonical,not_recorded,reviewed_nominal,0.0,332b4657769e8f57a82a5090ad3a48a06fff4c33fd9a8a4d7aa2062b9416133d,P2-023.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-023.wav,FSD50K,dev,328391,332b4657769e8f57a82a5090ad3a48a06fff4c33fd9a8a4d7aa2062b9416133d,30,75,33,pending,Targeted development verification; not unbiased final accuracy.
24,P2-024,glass_breaking,glass_breaking,positive,initial,P2R-004,canonical,clean_shatter,reviewed_nominal,0.0,6f4d60217241c39931e00399daa76d645de9b06f2c39fcf8e72c3e7600abfa68,P2-024.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-024.wav,FSD50K,dev,199906,6f4d60217241c39931e00399daa76d645de9b06f2c39fcf8e72c3e7600abfa68,30,75,20,pending,Targeted development verification; not unbiased final accuracy.
25,P2-025,gunshot_gunfire,gunshot_gunfire,positive,initial,P2R-044,canonical,single_shot,nominal,0.0,a034cbd3aecf7adbd84b1a41d27f60176b3e019b99e68dfb4689492ac26cca00,P2-025.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-025.wav,FSD50K,dev,161475,a034cbd3aecf7adbd84b1a41d27f60176b3e019b99e68dfb4689492ac26cca00,30,75,20,pending,Targeted development verification; not unbiased final accuracy.
26,P2-026,dog_bark,dog_bark,positive,initial,P2R-034,canonical,not_recorded,reviewed_nominal,0.0,f4fb1afaeac6e5a80eaea116d79925775a90d31b1c968098e285efddf28010ab,P2-026.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-026.wav,FSD50K,dev,116400,f4fb1afaeac6e5a80eaea116d79925775a90d31b1c968098e285efddf28010ab,30,75,33,pending,Targeted development verification; not unbiased final accuracy.
27,P2-027,gunshot_gunfire,gunshot_gunfire,positive,initial,P2R-018,canonical,single_shot,nominal,0.0,354bf1a72fe85db397501fd479a58215db645fbed52254fc9d20e01ea7bcf60f,P2-027.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-027.wav,FSD50K,dev,368736,354bf1a72fe85db397501fd479a58215db645fbed52254fc9d20e01ea7bcf60f,30,75,20,pending,Targeted development verification; not unbiased final accuracy.
28,P2-028,thunderstorm,thunderstorm,positive,supplement,P2S-024,canonical,not_recorded,reviewed_nominal,0.0,08b7dad3a16c77c9a530003d4feef7d010a04bb48d5ac7ff88c388b818076af9,P2-028.wav,../ml-workspace/datasets/hazard6_pilot2_targeted/audio/P2-028.wav,FSD50K,dev,243965,08b7dad3a16c77c9a530003d4feef7d010a04bb48d5ac7ff88c388b818076af9,30,75,20,pending,Targeted development verification; not unbiased final accuracy.
