candidate_order,review_id,expected_class,true_category,test_type,source_dataset,source_partition,source_id,source_labels,original_file,original_sha256,stimulus_file,stimulus_path,stimulus_sha256,sample_rate_hz,duration_s,normalization_gain_db,original_peak_dbfs,original_max_frame_rms_dbfs,normalized_peak_dbfs,normalized_max_frame_rms_dbfs,status
11,P2S-011,out_of_distribution,clapping,ood,ESC-50,fold_4,4-189832-A-22,clapping,4-189832-A-22.wav,18ae26ef98e957692b8ee2ba4405adfd99f864ad589470501c90bf10193bd123,P2S-011.wav,../ml-workspace/datasets/hazard6_pilot2_supplement/audio/P2S-011.wav,3cbf32bde3d768df0d788f4adc33c6dbb202769013ff6aaf458bf39575745324,44100,5.0,-5.97,-0.03,-16.3553,-6.0005,-22.3253,pending_semantic_review_board_screen_hidden
12,P2S-012,thunderstorm,thunderstorm,positive,FSD50K,dev,186907,thunderstorm,thunderstorm__fsd50k__dev__186907__0016__r0.wav,67c4f7b91963d8e0cb074fc180dd6b6f5d9f15d11b419d703908d0ff92d68527,P2S-012.wav,../ml-workspace/datasets/hazard6_pilot2_supplement/audio/P2S-012.wav,bae90cc79e36dbaf5a444914be00c76edab3c998c7a2ad009a8cab48749b895e,44100,28.378503,-10.9185,0.0,-7.0815,-10.9179,-18.0,pending_semantic_review_board_screen_hidden
13,P2S-013,out_of_distribution,clock_tick,ood,ESC-50,fold_4,4-194711-A-38,clock_tick,4-194711-A-38.wav,909357b7e612f4d93399b8d3723410213546640147997e5c81a10c6995f966ed,P2S-013.wav,../ml-workspace/datasets/hazard6_pilot2_supplement/audio/P2S-013.wav,3133fe152b456d386fe72e1519f0f68c78093168333a1f56cf87afa509dc8ac2,44100,5.0,6.0,-15.4294,-38.604,-9.4292,-32.6042,pending_semantic_review_board_screen_hidden
14,P2S-014,out_of_distribution,rain,ood,ESC-50,fold_4,4-161127-A-10,rain,4-161127-A-10.wav,3ea9076dd2ee68b67bd0707652a0c0ca77811b0664426e10e6860c187401af89,P2S-014.wav,../ml-workspace/datasets/hazard6_pilot2_supplement/audio/P2S-014.wav,89c53f006ecd99d914c8b036e19d9fc0888a056824a217644904ba814ee63efe,44100,5.0,-7.7616,-1.3383,-10.2384,-9.1003,-18.0001,pending_semantic_review_board_screen_hidden
15,P2S-015,glass_breaking,glass_breaking,positive,ESC-50,fold_4,204777,glass_breaking,glass_breaking__esc50__fold_4__204777__0006__r0.wav,88bbd7af8f04d1b46f9e0c13a304223efea777c1dd908564b8eff73b9774477b,P2S-015.wav,../ml-workspace/datasets/hazard6_pilot2_supplement/audio/P2S-015.wav,f2094ae9775ec9a71f19428a57af943204a4f3a4a997b9aec9c24830da332884,44100,5.0,-16.7036,0.0,-1.2964,-16.7023,-17.9997,pending_semantic_review_board_screen_hidden
16,P2S-016,glass_breaking,glass_breaking,positive,FSD50K,dev,244925,glass_breaking,glass_breaking__fsd50k__dev__244925__0044__r0.wav,698a3abcf1bafcd207c492943cee6acd466f21553b22adf8f37394c828cf61ed,P2S-016.wav,../ml-workspace/datasets/hazard6_pilot2_supplement/audio/P2S-016.wav,f5daebc23feaa556d514089ddc21b0a5b694f281f78a0ae60f666c746a63b35e,44100,20.307687,6.0,-20.0526,-31.3035,-14.0534,-25.3032,pending_semantic_review_board_screen_hidden
17,P2S-017,out_of_distribution,rain,ood,ESC-50,fold_4,4-160999-A-10,rain,4-160999-A-10.wav,c85ef3d5cbd86ba80a7f089277d66f165e36b8dcf8070643ddc7ec73eb4f5dcb,P2S-017.wav,../ml-workspace/datasets/hazard6_pilot2_supplement/audio/P2S-017.wav,7c4574b878da13b9b03853b2de223671156478638b22100d859f3355a7115b72,44100,5.0,-4.4837,-1.5163,-14.9051,-6.0005,-19.3888,pending_semantic_review_board_screen_hidden
18,P2S-018,glass_breaking,glass_breaking,positive,FSD50K,dev,163364,glass_breaking,glass_breaking__fsd50k__dev__163364__0026__r0.wav,91736b3688c9b454e4ac4e82d20a3fe6d9be89cb038e94a28912426705086234,P2S-018.wav,../ml-workspace/datasets/hazard6_pilot2_supplement/audio/P2S-018.wav,2250ebfafcb52f01dc59c3e11c9a11f42814d57ce94e8f36573e2b0b533e33c8,44100,16.44,-4.4993,-3.6043,-13.5007,-8.1039,-18.0,pending_semantic_review_board_screen_hidden
19,P2S-019,glass_breaking,glass_breaking,positive,FSD50K,dev,245410,glass_breaking,glass_breaking__fsd50k__dev__245410__0045__r0.wav,a19d9ef9f07ae6d98d00fc796eee0fbcb7fc6ee9032f62c930e8bc8158b8bc14,P2S-019.wav,../ml-workspace/datasets/hazard6_pilot2_supplement/audio/P2S-019.wav,26cd59b0b8b849eef7601673b198711a089cfc41ee2c0ed460846fa7b86b714a,44100,2.758277,-5.221,-0.779,-14.7054,-6.0005,-19.9263,pending_semantic_review_board_screen_hidden
20,P2S-020,out_of_distribution,clapping,ood,ESC-50,fold_4,4-205738-A-22,clapping,4-205738-A-22.wav,8da0720bbb6582e9c5a479b00b8288e5dff8d4fd945faf6fe3b331adc9f707e2,P2S-020.wav,../ml-workspace/datasets/hazard6_pilot2_supplement/audio/P2S-020.wav,486c1fb74eb3c597ddbb9425d3db62e6bec3c63a233d0ca3a718e533d6b220df,44100,5.0,-14.2285,0.0,-3.7715,-14.2276,-17.9998,pending_semantic_review_board_screen_hidden
21,P2S-021,thunderstorm,thunderstorm,positive,ESC-50,fold_4,161519,thunderstorm,thunderstorm__esc50__fold_4__161519__0005__r0.wav,883e430ff497be4e5d1d19c118273a209f76ab82a2133b585f2d1b93cdb73d84,P2S-021.wav,../ml-workspace/datasets/hazard6_pilot2_supplement/audio/P2S-021.wav,05334209283bd4362f4a04d977c1a3b3364e031ca2c7f4e308be6ff8b056b06a,44100,5.0,-8.146,-1.4889,-9.854,-9.6349,-18.0001,pending_semantic_review_board_screen_hidden
22,P2S-022,thunderstorm,thunderstorm,positive,FSD50K,dev,21847,thunderstorm,thunderstorm__fsd50k__dev__21847__0028__r0.wav,3a970d9d5e82b945bd571a40469f8e7647dd4c51dd6a3e4d36080224d1cf44fb,P2S-022.wav,../ml-workspace/datasets/hazard6_pilot2_supplement/audio/P2S-022.wav,5e22d55d757c17b1e3b3721584fd0c2e565a68a143d11d5f42ff1a5ac1d89039,44100,21.920726,-9.0279,-0.0005,-8.9721,-9.0288,-18.0,pending_semantic_review_board_screen_hidden
23,P2S-023,out_of_distribution,clock_tick,ood,ESC-50,fold_4,4-198965-A-38,clock_tick,4-198965-A-38.wav,0beb5ea6f39bbd91bcca7e433ba2b96f0dbcfb8f5f8b988ee98a3370a7be795d,P2S-023.wav,../ml-workspace/datasets/hazard6_pilot2_supplement/audio/P2S-023.wav,763805dc61087479a884cbe183f9875ce0069f0185a85cd7ca4ba79e6d475779,44100,5.0,4.4836,-10.4836,-29.134,-5.9999,-24.6504,pending_semantic_review_board_screen_hidden
24,P2S-024,thunderstorm,thunderstorm,positive,FSD50K,dev,243965,thunderstorm,thunderstorm__fsd50k__dev__243965__0036__r0.wav,17120dd42c26b2e80b6c82d899c7e08711a2ea4fcd37437efcccd0a065b45119,P2S-024.wav,../ml-workspace/datasets/hazard6_pilot2_supplement/audio/P2S-024.wav,08b7dad3a16c77c9a530003d4feef7d010a04bb48d5ac7ff88c388b818076af9,44100,3.285624,-2.7037,-5.5551,-15.2963,-8.259,-18.0,pending_semantic_review_board_screen_hidden
