review_order,candidate_id,evaluation_id,candidate_set_id,expected_class,true_category,test_type,source_dataset,source_partition,source_id,source_labels,source_title,source_uploader,license_url,selection_stratum,source_filename,source_sha256,source_sample_rate_hz,source_duration_s,normalization_gain_db,excerpt_start_s,excerpt_duration_s,transient_sequence,repetitions,gap_seconds,stimulus_path,stimulus_sha256,sequence_duration_s,output_peak_dbfs,output_rms_dbfs,output_max_100ms_rms_dbfs,distance_cm,volume_percent,playback_delay_s,capture_duration_s,model_onnx_sha256,weights_sha256,application_binary_sha256,status
14,FE2C-014,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,siren,siren,positive,FSD50K,eval,405358,"Tick,Car_passing_by,Motor_vehicle_(road),Siren,Vehicle,Alarm,Car",passing_sheriff.wav,fstagi,http://creativecommons.org/licenses/by-nc/3.0/,label_metadata_only_candidate,405358.wav,25b14d97fc2741540f9b3bb6a208849621f5787729d5d26c0b1660c3bcef513e,44100,2.031814,-14.9343,0.0,2.031814,False,5,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-014.wav,138deefe5e85d59cf52b20e5fc6142a0f2caaf49e20653bc70295372f09384c2,12.15907,-34.6024,-50.1655,-42.0007,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
15,FE2C-015,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,other,Wind,positive,FSD50K,eval,29530,Wind,wind1.wav,eliasheuninck,http://creativecommons.org/publicdomain/zero/1.0/,review_other_Wind,29530.wav,e612a3b4d5c5d96e78f529f6f18745b38b1f2a2b5780755bde9d45316e7c870f,44100,13.232993,-20.9393,0.0,5.0,False,2,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-015.wav,db155007ad9a6312020f86fbe9aa78f8dbf9cc3ef44fc6643dc91ca008996f3e,10.5,-30.6095,-48.3591,-41.9997,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
16,FE2C-016,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,glass_breaking,glass_breaking,positive,FSD50K,eval,267889,"Shatter,Chink_and_clink,Glass",Breaking-Glass.wav,wjl,http://creativecommons.org/publicdomain/zero/1.0/,label_metadata_only_candidate,267889.wav,8dfb2b485d798d9f406ace0e651baf88831e4c36e7660716eb80ca6bbb080a08,44100,0.864059,-31.0537,0.0,0.864059,True,7,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-016.wav,ad2b0820936d865d6da3e1de1d0337ea7d22805aa7a4cf77da18459c54ce6f13,10.548413,-31.1186,-50.7887,-42.0,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
17,FE2C-017,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,speech,speech,positive,FSD50K,eval,211528,"Female_speech_and_woman_speaking,Crying_and_sobbing,Speech,Human_voice",Crying newborn baby child 2.WAV,the_yura,http://creativecommons.org/publicdomain/zero/1.0/,review_Female_speech_and_woman_speaking,211528.wav,e0fd573bd023f600ed4d0e673623ff18a745d292216bb5c81d02ba3dc876d280,44100,23.093832,-35.2246,6.05,5.0,False,2,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-017.wav,12fa51e632110c17b3fa80417be88cf89dc7dc5aca715fdb71593ee82f976c10,10.5,-35.222,-53.9951,-42.0004,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
18,FE2C-018,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,dog_bark,dog_bark,positive,FSD50K,eval,253754,"Bark,Dog,Domestic_animals_and_pets,Animal",Dog Barking,arightwizard,http://creativecommons.org/publicdomain/zero/1.0/,label_metadata_only_candidate,253754.wav,1dc08cc80dde5f01718ec12e1b35a41d911a2566852b73e6230231b00168af04,44100,3.061565,-30.8467,0.0,3.061565,False,3,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-018.wav,d4782f8e5d8a3cacbe165c03c074ec51775cadcefa265f3b2c0195b5eb8740ab,10.184694,-30.9114,-51.4255,-42.0,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
19,FE2C-019,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,58905,"Gunshot_and_gunfire,Explosion",Western Shot Modern 1.wav,Rock Savage,http://creativecommons.org/licenses/sampling+/1.0/,label_metadata_only_candidate,58905.wav,9013fe10217933ba39f20c85bd44876b4a407761d95a7ebc322d77a75aea1aef,44100,1.341519,-24.1617,0.0,1.341519,True,6,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-019.wav,a82edad5e283a1e2c3cdb1274b48c040c09c954c0bd9713a4546aa927778b40d,11.799116,-30.6365,-49.6275,-42.0003,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
20,FE2C-020,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,thunderstorm,thunderstorm,positive,FSD50K,eval,101948,"Thunder,Rain,Water,Thunderstorm",Dry Thunder3.wav,juskiddink,http://creativecommons.org/licenses/by/3.0/,label_metadata_only_candidate,101948.wav,1b3dc4a16321afd0262e2aec9de51c7653225e5757047a317e79342682f08c9d,44100,20.967619,-32.2117,0.0,5.0,False,2,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-020.wav,d89f19d5bdb34387612cd48a3f96e0ac05b1d0d8cbc953c396dd68283c8d1879,10.5,-32.5342,-49.4028,-42.0005,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
21,FE2C-021,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,dog_bark,dog_bark,positive,FSD50K,eval,89210,"Bark,Dog,Domestic_animals_and_pets,Animal",BARKING 4 -S.WAV,smokum,http://creativecommons.org/publicdomain/zero/1.0/,label_metadata_only_candidate,89210.wav,34794497e232596f7720904e60423c1cbb7d9958f5d96eaa527f5129dffe1a9c,44100,2.471837,-33.8884,0.0,2.471837,False,4,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-021.wav,f94144b0bd3f6ff1ea668961f210a1ae2226377fed5c5926b22cabd0e4c24181,11.387347,-34.8187,-50.4052,-42.0001,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
22,FE2C-022,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,glass_breaking,glass_breaking,positive,FSD50K,eval,59263,"Shatter,Glass",Crash & Glass.wav,Rock Savage,http://creativecommons.org/licenses/sampling+/1.0/,label_metadata_only_candidate,59263.wav,8d30305eb9a06d34283fb5d7523d0682e16cf884915fe9470fe1dc0ac78ff5fe,44100,8.898776,-30.214,0.0,2.0,True,4,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-022.wav,222bb1b2630f54a6ea27d6b6ce230a7c9b6953f57c3afe081c7ed8cac9db2f17,10.25,-32.2798,-50.6523,-42.0,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
23,FE2C-023,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,speech,speech,positive,FSD50K,eval,196382,"Female_speech_and_woman_speaking,Crackle,Speech,Human_voice",vinyleffect,Jaturo,http://creativecommons.org/publicdomain/zero/1.0/,review_Female_speech_and_woman_speaking,196382.wav,d4e4ba58e0f982260b0ba25f1f6e9b88d779e87924416aa27d5f9f8305ef8754,44100,15.875011,-29.6251,0.0,5.0,False,2,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-023.wav,559e9f4bfbed2774850ca75d6401790d3106d1cc9fc7163ca26e67677bb47ab2,10.5,-33.5572,-44.8438,-42.0012,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
24,FE2C-024,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,siren,siren,positive,FSD50K,eval,405590,"Siren,Alarm",Siren ( Concrete Stairwell Direct ).wav,JohnLaVine333,http://creativecommons.org/publicdomain/zero/1.0/,label_metadata_only_candidate,405590.wav,1883f762c9d6c08f589ded4a6098c6ae23aac949d9e09174401c5af6bd33be84,44100,28.0,-32.0729,3.5,5.0,False,2,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-024.wav,7dc04d6a7a38a99472f466628a7138f602d9c346744ab9713a15ccb784936590,10.5,-34.024,-48.1427,-42.0001,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
25,FE2C-025,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,thunderstorm,thunderstorm,positive,FSD50K,eval,127125,"Thunder,Rain,Water,Thunderstorm",SN-Thunder-1.wav,westernsynthetics,http://creativecommons.org/licenses/by/3.0/,label_metadata_only_candidate,127125.wav,4e1a62e2acc765487cd82f6cae937d60be6a657d951ae0454fbd601426860be8,44100,1.29229,-29.1398,0.0,1.29229,False,6,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-025.wav,a1b6c6a3e8bfe4961e2089bfc37efc9941908056965608747a2d0a8774f9be24,10.253741,-31.3603,-49.7947,-42.0003,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
26,FE2C-026,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,other,Wind,positive,FSD50K,eval,113175,Wind,wind_howling_03.wav,Fasolt,http://creativecommons.org/publicdomain/zero/1.0/,review_other_Wind,113175.wav,0616eab1b3297100171dacb5acecbfdc9af8cd1af05d8d45f9e7822539158f7c,44100,7.877302,-18.0518,2.877302,5.0,False,2,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-026.wav,9633088421942d13a12e4c618e5462ba22f3ba3cd8976e2ae420c90e952e7ffd,10.5,-32.3895,-44.8631,-41.9997,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review
