review_order,candidate_id,evaluation_id,candidate_set_id,expected_class,true_category,test_type,source_dataset,source_partition,source_id,source_labels,source_title,source_uploader,license_url,selection_stratum,source_filename,source_sha256,source_sample_rate_hz,source_duration_s,normalization_gain_db,excerpt_start_s,excerpt_duration_s,transient_sequence,repetitions,gap_seconds,stimulus_path,stimulus_sha256,sequence_duration_s,output_peak_dbfs,output_rms_dbfs,output_max_100ms_rms_dbfs,distance_cm,volume_percent,playback_delay_s,capture_duration_s,model_onnx_sha256,weights_sha256,application_binary_sha256,status,validity,completeness,audibility,artifact,note,source_group,supplement_reason
18,FE2C-018,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,dog_bark,dog_bark,positive,FSD50K,eval,253754,"Bark,Dog,Domestic_animals_and_pets,Animal",Dog Barking,arightwizard,http://creativecommons.org/publicdomain/zero/1.0/,label_metadata_only_candidate,253754.wav,1dc08cc80dde5f01718ec12e1b35a41d911a2566852b73e6230231b00168af04,44100,3.061565,-30.8467,0.0,3.061565,False,3,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-018.wav,d4782f8e5d8a3cacbe165c03c074ec51775cadcefa265f3b2c0195b5eb8740ab,10.184694,-30.9114,-51.4255,-42.0,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review,canonical,complete,normal,none,,,
21,FE2C-021,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,dog_bark,dog_bark,positive,FSD50K,eval,89210,"Bark,Dog,Domestic_animals_and_pets,Animal",BARKING 4 -S.WAV,smokum,http://creativecommons.org/publicdomain/zero/1.0/,label_metadata_only_candidate,89210.wav,34794497e232596f7720904e60423c1cbb7d9958f5d96eaa527f5129dffe1a9c,44100,2.471837,-33.8884,0.0,2.471837,False,4,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-021.wav,f94144b0bd3f6ff1ea668961f210a1ae2226377fed5c5926b22cabd0e4c24181,11.387347,-34.8187,-50.4052,-42.0001,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review,canonical,complete,normal,none,,,
23,FE2C-023,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,speech,speech,positive,FSD50K,eval,196382,"Female_speech_and_woman_speaking,Crackle,Speech,Human_voice",vinyleffect,Jaturo,http://creativecommons.org/publicdomain/zero/1.0/,review_Female_speech_and_woman_speaking,196382.wav,d4e4ba58e0f982260b0ba25f1f6e9b88d779e87924416aa27d5f9f8305ef8754,44100,15.875011,-29.6251,0.0,5.0,False,2,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-023.wav,559e9f4bfbed2774850ca75d6401790d3106d1cc9fc7163ca26e67677bb47ab2,10.5,-33.5572,-44.8438,-42.0012,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review,canonical,complete,normal,none,,,
24,FE2C-024,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,siren,siren,positive,FSD50K,eval,405590,"Siren,Alarm",Siren ( Concrete Stairwell Direct ).wav,JohnLaVine333,http://creativecommons.org/publicdomain/zero/1.0/,label_metadata_only_candidate,405590.wav,1883f762c9d6c08f589ded4a6098c6ae23aac949d9e09174401c5af6bd33be84,44100,28.0,-32.0729,3.5,5.0,False,2,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-024.wav,7dc04d6a7a38a99472f466628a7138f602d9c346744ab9713a15ccb784936590,10.5,-34.024,-48.1427,-42.0001,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review,canonical,complete,normal,none,,,
26,FE2C-026,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,other,Wind,positive,FSD50K,eval,113175,Wind,wind_howling_03.wav,Fasolt,http://creativecommons.org/publicdomain/zero/1.0/,review_other_Wind,113175.wav,0616eab1b3297100171dacb5acecbfdc9af8cd1af05d8d45f9e7822539158f7c,44100,7.877302,-18.0518,2.877302,5.0,False,2,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-026.wav,9633088421942d13a12e4c618e5462ba22f3ba3cd8976e2ae420c90e952e7ffd,10.5,-32.3895,-44.8631,-41.9997,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review,canonical,complete,normal,none,,,
27,FE2C-027,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,344142,"Gunshot_and_gunfire,Explosion",Gunshot_002.wav,Brokenphono,http://creativecommons.org/publicdomain/zero/1.0/,label_metadata_only_candidate,344142.wav,e79591a2b0b3dbe0af7026ef698e57bce2175b07b801a9934d8d1e41e165fe85,44100,0.568889,-36.8077,0.0,0.568889,True,9,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-027.wav,7ed76980e3a76bfb529b81117d48ebabd516d5a10a7f5a73352c49acdf542ee8,11.12,-39.7822,-50.1102,-41.9902,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review,canonical,complete,normal,none,,,
29,FE2C-029,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,415508,"Gunshot_and_gunfire,Explosion",RPK Kalashnikov 's hand machine gun,Pashee,http://creativecommons.org/licenses/by-nc/3.0/,label_metadata_only_candidate,415508.wav,7e797b901f53c5a1e2594600fec4c6426c9e36ae95d0a3bf30bce56e0b77aa06,44100,20.120023,-25.6294,11.9,2.0,True,4,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-029.wav,1f63970c340aa66deb2ae16224cea296c49b7fcf30aaaa296c7df365f0348daa,10.25,-30.137,-46.3844,-42.0,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review,canonical,complete,normal,none,,,
30,FE2C-030,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,glass_breaking,glass_breaking,positive,FSD50K,eval,407589,"Shatter,Glass",Breaking Glass.wav,CheneWessels_170017,http://creativecommons.org/licenses/by-nc/3.0/,label_metadata_only_candidate,407589.wav,250c82c7db86b6cde9777b832d9861dd4f07c66673fa6aa86b8bd0803b7da59a,44100,2.5,-19.474,0.0,2.0,True,4,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-030.wav,5d06fe66ca34c7eb95098cbd1cd846f6eed778b52088802ab70366354377d152,10.25,-21.5667,-55.8033,-41.9999,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review,canonical,complete,normal,none,,,
32,FE2C-032,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,speech,speech,positive,FSD50K,eval,153108,"Male_speech_and_man_speaking,Conversation,Speech,Human_voice",People_Talking.wav,Albaaa3,http://creativecommons.org/publicdomain/zero/1.0/,review_Male_speech_and_man_speaking,153108.wav,bb360102ddd610793c724dd6d21d97b2878258761d0019369a2a456fdb759e23,44100,5.78322,-31.2111,0.0,5.0,False,2,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-032.wav,fbcb920bc23b370d979b817e941292b9a3e0dcf519d678229a14bdae22b7a031,10.5,-32.1715,-49.8181,-41.998,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review,canonical,complete,normal,none,,,
33,FE2C-033,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,other,Knock,positive,FSD50K,eval,114254,"Knock,Door,Domestic_sounds_and_home_sounds",Knocking.wav,GodofPH,http://creativecommons.org/publicdomain/zero/1.0/,review_other_Knock,114254.wav,1bd6ea0e6c6dfc1d480f15f4d1cb6df3552eb3ab6f738c0b24c7345d8b5b59c7,44100,1.220703,-14.1313,0.0,1.220703,True,6,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-033.wav,f080f3c9db0879a2edfa4de46755974b37662eb157ccfaa77af987793085db14,11.074218,-25.8755,-51.2754,-42.0,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review,canonical,complete,normal,none,,,
34,FE2C-034,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,dog_bark,dog_bark,positive,FSD50K,eval,15792,"Bark,Dog,Domestic_animals_and_pets,Animal",dog 3.wav,laurent,http://creativecommons.org/licenses/by/3.0/,label_metadata_only_candidate,15792.wav,08bbc16cbbb857028093dba4e36f43bb89a4d037d97f85c3db8756bd98d23767,44100,14.108027,-29.9076,9.108027,5.0,False,2,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-034.wav,a0973958a3b41f8723005a9b1dcb1878968e2b29554352f4e26441a14e4ca446,10.5,-30.6005,-56.8043,-41.9998,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review,canonical,complete,normal,none,,,
36,FE2C-036,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,speech,speech,positive,FSD50K,eval,120952,"Male_speech_and_man_speaking,Speech,Human_voice",Teqstudios 'Stimerol Productions'.flac,Timbre,http://creativecommons.org/licenses/by-nc/3.0/,review_Male_speech_and_man_speaking,120952.wav,daa8b02551ce60feb77d34992b5a3910847ad3a668b96ff40867a1b87d3e8ae0,44100,27.514444,-31.7051,15.35,5.0,False,2,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-036.wav,35a8bd43ee6c5d00a10d92c569c211172b8c33b6032cce996850fc03a3054299,10.5,-32.1393,-50.314,-42.0001,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review,canonical,complete,normal,none,,,
37,FE2C-037,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,other,Fireworks,positive,FSD50K,eval,161678,"Fireworks,Explosion",sw_Fireworks_Distant_02.wav,jppi_Stu,http://creativecommons.org/licenses/by/3.0/,review_other_Fireworks,161678.wav,349cc844e7e1bd455ab8f655956093af5194150316a40e82c0480fe72fb4c48a,44100,20.726032,-25.912,0.55,2.0,True,4,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-037.wav,b9d2aa39dbf705539e01a3f8330183ccb317d11e2f5d7a68160ee670fea1568f,10.25,-30.4933,-48.4581,-41.9999,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review,canonical,complete,normal,none,,,
39,FE2C-039,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,171236,"Gunshot_and_gunfire,Explosion",Gunshot2.wav,alukahn,http://creativecommons.org/licenses/by/3.0/,label_metadata_only_candidate,171236.wav,9b826f350eb7f7824576888410da463cd942fa9eadcca421fd8cec87d8bf0ae2,44100,2.133515,-26.1167,0.0,2.0,True,4,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-039.wav,528ab55a1452384177b28a425684816d9d6b39d5f83f5d8b29850a4512bd11c5,10.25,-26.1187,-52.3819,-42.0,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review,canonical,complete,normal,none,,,
42,FE2C-042,STM32N6-HAZARD7-FINAL-002,FE2-CANDIDATES-001,glass_breaking,glass_breaking,positive,FSD50K,eval,33629,"Shatter,Glass",bulb_smash.mp3,themfish,http://creativecommons.org/licenses/by/3.0/,label_metadata_only_candidate,33629.wav,ace9d482d77558dddc9b0e4db1afa27751db070c4f82b07b53260da13eb33d05,44100,2.063673,-27.8738,0.0,2.0,True,4,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_candidates\audio\FE2C-042.wav,4b1d8142c9e5fcf78ab37c5e4e1fc520c1a0167237705e8a9db7a198d3a185d2,10.25,-34.6024,-53.7363,-42.0003,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,14b9c26d78e0440c68f02fe691a47d6a976049c8a6cdad2d2afa6afc3a4efcb8,pending_blind_semantic_review,canonical,complete,normal,none,,,
