trial_order,trial_id,evaluation_id,attempt_id,expected_class,true_category,test_type,source_dataset,source_partition,source_id,source_labels,source_title,source_uploader,license_url,selection_stratum,source_filename,source_sha256,source_sample_rate_hz,source_duration_s,target_sample_rate_hz,normalization_target_max_100ms_rms_dbfs,normalization_gain_db,class_delivery_gain_reference_db,target_output_max_100ms_rms_dbfs,class_delivery_gain_requested_db,class_delivery_gain_db,excerpt_start_s,excerpt_duration_s,transient_sequence,repetitions,gap_seconds,limiter_ceiling_dbfs,limited_unit_samples,limited_unit_fraction_pct,stimulus_file,stimulus_path,sha256,sequence_duration_s,output_peak_dbfs,output_rms_dbfs,output_max_100ms_rms_dbfs,distance_cm,volume_percent,playback_delay_s,capture_duration_s,firmware_commit,model_name,model_sha256,status
11,FE-011,STM32N6-HAZARD6-FINAL-001,FE-A01,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,110622,"Gunshot_and_gunfire,Explosion",warfare_gunshots_machine_gun_burst_001.wav,soundscalpel.com,http://creativecommons.org/licenses/by/3.0/,metadata_pure_reserved_evaluation,110622.wav,490a65231e3800358ab523e585a1b091fe0f483df0b5ccd2eb7f21095375935b,44100,2.863923,44100,-12.0,-0.0922,10.0,-2.0,11.2355,10.1046,0.0,2.0,True,4,0.75,-1.0,4409,4.998866,FE-011.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-011.wav,f4b10502e240c5545967c84797a04ae67ea730a3b472ec0974c9495567789a63,10.25,-0.9999,-12.2007,-6.056,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
12,FE-012,STM32N6-HAZARD6-FINAL-001,FE-A01,siren,siren,positive,FSD50K,eval,371179,"Siren,Alarm",siren,SamsterBirdies,http://creativecommons.org/publicdomain/zero/1.0/,metadata_pure_reserved_evaluation,371179.wav,9dcf05f91097d5442d554f1150bdded3651d9de268d612d2e20657b5673cd029,44100,6.548027,44100,-12.0,-11.0305,0.0,-12.0,-0.0267,-0.0267,1.548027,5.0,False,2,0.5,-1.0,0,0.0,FE-012.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-012.wav,39a93e1d58870e3c0af44482f7b417a33c14dd3765415ef62f3a84fcb9440166,10.5,-11.0569,-18.0247,-12.0,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
13,FE-013,STM32N6-HAZARD6-FINAL-001,FE-A01,out_of_distribution,clock_tick,ood,ESC-50,fold_5,235671,clock_tick,,,https://github.com/karolpiczak/ESC-50/blob/master/LICENSE,one_per_hard_negative_category,5-235671-A-38.wav,28a721a5db87aed186e7cd63439c798ba9c0e44cf6654340d7b1ac2e7af02eee,44100,5.0,44100,-12.0,12.8008,-12.0,-44.61,-32.61,-32.61,3.0,2.0,True,4,0.75,-1.0,0,0.0,FE-013.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-013.wav,c2212e4505711967d500ccc53fc110bf0be7ec89a40dfbfbb96d307a23f59500,10.25,-35.4702,-51.3485,-44.6097,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
14,FE-014,STM32N6-HAZARD6-FINAL-001,FE-A01,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,46655,"Gunshot_and_gunfire,Explosion",carbine single.wav,cognito perceptu,http://creativecommons.org/publicdomain/zero/1.0/,metadata_pure_reserved_evaluation,46655.wav,e44eae47390c9871035e08b9d233e511ed3fdad872a3e05660cc1a00f4f6dc96,44100,3.342766,44100,-12.0,-0.3596,10.0,-2.0,10.0722,10.0722,0.0,2.0,True,4,0.75,-1.0,2578,2.922902,FE-014.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-014.wav,1ba38a6e6281268a1cb7493fa2cd5aac90eee97bbd6ce00956314de63a472981,10.25,-0.9999,-12.0855,-4.7282,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
15,FE-015,STM32N6-HAZARD6-FINAL-001,FE-A01,siren,siren,positive,FSD50K,eval,361333,"Siren,Alarm",Cool Alert Siren Long.mp3,spoonsandlessspoons,http://creativecommons.org/licenses/by/3.0/,metadata_pure_reserved_evaluation,361333.wav,8c5b2c0f5a481530d6d37b556dd17919a5b25981edb33a9223f2ec40b2345676,44100,4.440816,44100,-12.0,-0.5201,0.0,-12.0,-0.0,-0.0,0.0,4.440816,False,3,0.5,-1.0,0,0.0,FE-015.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-015.wav,e7a807ef063d07a2e543c61c2a8e847749772f66c264f9499ec64938dbfd0ced,14.322449,-3.3033,-18.6298,-11.9344,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
16,FE-016,STM32N6-HAZARD6-FINAL-001,FE-A01,speech,speech,positive,FSD50K,eval,332047,"Female_speech_and_woman_speaking,Speech,Human_voice",HowYouDoing.wav,pyro13djt,http://creativecommons.org/publicdomain/zero/1.0/,normal_speech_Female_speech_and_woman_speaking,332047.wav,4897cd9e2aa6fa6b5059320fc706b843ced1dff2693fa2ab7b6ec69cf78ba3db,44100,13.72941,44100,-12.0,5.9813,0.0,-12.0,-0.0,-0.0,0.0,5.0,False,2,0.5,-1.0,0,0.0,FE-016.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-016.wav,2ab557f5343e056f42d707a27f196111cdf31070ea88de6e2befa0a36b817442,10.5,-3.0034,-19.2714,-12.0,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
17,FE-017,STM32N6-HAZARD6-FINAL-001,FE-A01,thunderstorm,thunderstorm,positive,FSD50K,eval,434156,"Thunder,Thunderstorm",thunder_inside_the_house_01.wav,FoxZine,http://creativecommons.org/publicdomain/zero/1.0/,metadata_pure_reserved_evaluation,434156.wav,94e17cc2ee823fa6995675ed152fe698a651a1f37686c01510b728f39cb27d5a,44100,18.575964,44100,-12.0,-6.5943,0.0,-12.0,-0.0,-0.0,1.85,5.0,False,2,0.5,-1.0,0,0.0,FE-017.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-017.wav,1c88a899e5a54d2787b1a23128b37ca37c6691cf430003763f782b9261bb7a84,10.5,-6.5953,-25.9625,-12.0001,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
18,FE-018,STM32N6-HAZARD6-FINAL-001,FE-A01,siren,siren,positive,FSD50K,eval,414494,"Siren,Alarm",Facility Siren (Loopable),Mr_KeybOred,http://creativecommons.org/publicdomain/zero/1.0/,metadata_pure_reserved_evaluation,414494.wav,70d4b450e4543b6d77b2a9b249e98de2013e04941d47fdae0c44d952e8015262,44100,3.255941,44100,-12.0,-0.3367,0.0,-12.0,0.0,0.0,0.0,3.255941,False,3,0.5,-1.0,0,0.0,FE-018.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-018.wav,e7097225eddaa0187b1b1d041be438458969c8683160c2c32ea78f3e612f33b1,10.767823,-1.472,-14.5008,-11.6837,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
19,FE-019,STM32N6-HAZARD6-FINAL-001,FE-A01,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,386758,"Gunshot_and_gunfire,Explosion",Shotgun_Shot.wav,ken788,http://creativecommons.org/publicdomain/zero/1.0/,metadata_pure_reserved_evaluation,386758.wav,b787ee10fc582ec7822846515102ab6666ee2fddbd34e831f19b2dd1cc99a64d,44100,2.173129,44100,-12.0,24.0,10.0,-2.0,25.6641,25.6641,0.0,2.0,True,4,0.75,-1.0,2571,2.914966,FE-019.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-019.wav,8e22e3c2c828077b29ce3113b79e8f6f6079e8970c43bc4e64b397e996ecd22a,10.25,-0.9999,-13.5985,-3.5322,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
20,FE-020,STM32N6-HAZARD6-FINAL-001,FE-A01,glass_breaking,glass_breaking,positive,FSD50K,eval,391327,"Shatter,Glass",China Cup Breaks,TobiasLudwig,http://creativecommons.org/licenses/by/3.0/,metadata_pure_reserved_evaluation,391327.wav,798a474db47aa2d2913ca959e90c25309668836f6b3191c416e69f14b429c19d,44100,2.44,44100,-12.0,0.273,3.0,-9.0,5.3967,5.3967,0.0,2.0,True,4,0.75,-1.0,204,0.231293,FE-020.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-020.wav,9fbbfd64c2a8d7595431f117cb9716730f14839e05225345d85ec496daeb270f,10.25,-0.9999,-23.8165,-9.9838,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
21,FE-021,STM32N6-HAZARD6-FINAL-001,FE-A01,out_of_distribution,door_wood_knock,ood,ESC-50,fold_5,256512,door_wood_knock,,,https://github.com/karolpiczak/ESC-50/blob/master/LICENSE,one_per_hard_negative_category,5-256512-A-30.wav,df74f2bee45f36c528a27035f0a8b50c71b833a6e7c8c39f42a0f4448f968dbf,44100,5.0,44100,-12.0,-7.6161,-14.0,-33.67,-21.67,-21.67,3.0,2.0,True,4,0.75,-1.0,0,0.0,FE-021.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-021.wav,4ecea03d1fed712f7045cb20ab42e069e57804806b453370aadfb966591b40f2,10.25,-29.2859,-41.4934,-33.6715,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
22,FE-022,STM32N6-HAZARD6-FINAL-001,FE-A01,siren,siren,positive,FSD50K,eval,104293,"Siren,Alarm",klaxon1distant.wav,ryansnook,http://creativecommons.org/licenses/by-nc/3.0/,metadata_pure_reserved_evaluation,104293.wav,9f3f647ef1955b6e9a913c3f140eba417ceae392787ca1d8e88644e889b3df31,44100,4.0,44100,-12.0,0.6239,0.0,-12.0,-0.0,-0.0,0.0,4.0,False,3,0.5,-1.0,0,0.0,FE-022.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-022.wav,fe02428fd1a699d980a60f9fbb721990463672b9d3961da34680927fcc9acd2d,13.0,-3.8497,-21.9849,-12.0,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
23,FE-023,STM32N6-HAZARD6-FINAL-001,FE-A01,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,174290,"Gunshot_and_gunfire,Explosion",REC_1_AT897_STR.wav,ingudios,http://creativecommons.org/licenses/by/3.0/,metadata_pure_reserved_evaluation,174290.wav,9d05d759f5b7615af7a286347e9e8fa6289d07f09a042c008e0542f4b2df50be,44100,26.733651,44100,-12.0,0.7713,10.0,-2.0,22.7481,22.7481,4.8,2.0,True,4,0.75,-1.0,165,0.187075,FE-023.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-023.wav,3fdd8e9b9283ecebad59be85402d35b7c76a0f9babd3c7db8e252cab6def13d8,10.25,-0.9999,-23.5754,-12.182,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
24,FE-024,STM32N6-HAZARD6-FINAL-001,FE-A01,out_of_distribution,clapping,ood,ESC-50,fold_5,221950,clapping,,,https://github.com/karolpiczak/ESC-50/blob/master/LICENSE,one_per_hard_negative_category,5-221950-A-22.wav,3addc067d728e69b197c761fac5f8c589f579fe7b73d8cca81e4c282fd257a05,44100,5.0,44100,-12.0,5.4093,-18.0,-40.25,-20.5112,-20.5112,3.0,2.0,True,4,0.75,-1.0,0,0.0,FE-024.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-024.wav,5490bbbcbeeae49fe9f3bbdca4967f099904f23531dec8e1198744edc2e879fc,10.25,-30.6908,-49.1073,-40.2498,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
25,FE-025,STM32N6-HAZARD6-FINAL-001,FE-A01,speech,speech,positive,FSD50K,eval,330564,"Male_speech_and_man_speaking,Speech,Human_voice",some negative affirmation.wav,AndreOnate,http://creativecommons.org/publicdomain/zero/1.0/,normal_speech_Male_speech_and_man_speaking,330564.wav,b8276e84a9191fb67c6ef1d8e24fb28421d77e2fa9423c3d33a76b28bb501e85,44100,4.551111,44100,-12.0,-9.6105,0.0,-12.0,0.0,0.0,0.0,4.551111,False,3,0.5,-1.0,0,0.0,FE-025.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-025.wav,e0c13cb304e98942699f5847a3646984c462b4f4ff3d9202ce46f2e583e8c634,14.653333,-9.61,-23.9305,-11.9999,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
26,FE-026,STM32N6-HAZARD6-FINAL-001,FE-A01,dog_bark,dog_bark,positive,FSD50K,eval,31840,"Bark,Dog,Domestic_animals_and_pets,Animal",2 barking dogs.WAV,gurdonark,http://creativecommons.org/licenses/by/3.0/,metadata_pure_reserved_evaluation,31840.wav,7cc608942df7886d02d6c7d1c5451ff6d283f909dee6d179a419071b59803f57,44100,6.38619,44100,-12.0,0.4855,0.0,-12.0,1.8364,1.8364,1.38619,5.0,False,2,0.5,-1.0,5,0.002268,FE-026.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-026.wav,58ea825fac8afdfdf31b050dabc0cfe5805c1feb30f4ad0231ff9f6abd1f3479,10.5,-0.9999,-20.4215,-12.0001,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
27,FE-027,STM32N6-HAZARD6-FINAL-001,FE-A01,glass_breaking,glass_breaking,positive,FSD50K,eval,32880,"Shatter,Glass",BobKessler-Break Glass A.aif,Alcove Audio,http://creativecommons.org/licenses/sampling+/1.0/,metadata_pure_reserved_evaluation,32880.wav,4addef44858f68abb8c70347367fb1dcbed1f44b5a9f68316786353df25461ea,44100,9.963855,44100,-12.0,-0.8108,3.0,-9.0,7.9355,7.9355,3.1,2.0,True,4,0.75,-1.0,124,0.14059,FE-027.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-027.wav,a369c14ea1dce2e79535ee7d308ee69c4f9004d3503a0f70a18664308aa889bb,10.25,-0.9999,-22.612,-9.3549,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
28,FE-028,STM32N6-HAZARD6-FINAL-001,FE-A01,siren,siren,positive,FSD50K,eval,26217,"Fart,Siren,Alarm",two tone fart.wav,Walter_Odington,http://creativecommons.org/publicdomain/zero/1.0/,metadata_pure_reserved_evaluation,26217.wav,bd8a1af2c11fa8396189889dc839c1573b75c0bc2b612dc993779712ac675e66,44100,3.001179,44100,-12.0,-0.9628,0.0,-12.0,6.4566,6.4566,0.0,3.001179,False,3,0.5,-1.0,53,0.040045,FE-028.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-028.wav,591a9f87ee7397d57c08947f952b364f7ffcd6c96eece6c081f1491abd9bb87c,10.003537,-0.9999,-26.8846,-12.5384,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
29,FE-029,STM32N6-HAZARD6-FINAL-001,FE-A01,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,78776,"Gunshot_and_gunfire,Explosion",Rifle-223 cal (take 2),knufds,http://creativecommons.org/licenses/by/3.0/,metadata_pure_reserved_evaluation,78776.wav,93089aac23e59b9fd56beba1db107eb988594b6900a48c3decbe281d6d8d3b1f,44100,4.345034,44100,-12.0,-1.7636,10.0,-2.0,10.0,10.0,0.0,2.0,True,4,0.75,-1.0,2787,3.159864,FE-029.wav,../ml-workspace/datasets/hazard6_final_evaluation/audio/FE-029.wav,c8df1e803563de0c49732c1883f5fff632ba7ab12ee04492221ab47fa5c43d46,10.25,-0.9999,-12.5621,-3.9318,30,75,3,20,9a614d2,YAMNet-256 Hazard-5 + Speech int8,1e04ff9d9394ace17020077e804bf40fbbaf0312c81ad9e83ea3ffb56e84946a,frozen_reserved_final_evaluation
