trial_id,expected_class,true_category,output_class,confirmed_frames,seen_in_trial
P2-025,gunshot_gunfire,gunshot_gunfire,gunshot_gunfire,0,False
P2-025,gunshot_gunfire,gunshot_gunfire,siren,0,False
P2-025,gunshot_gunfire,gunshot_gunfire,speech,0,False
P2-025,gunshot_gunfire,gunshot_gunfire,thunderstorm,0,False
P2-026,dog_bark,dog_bark,dog_bark,16,True
P2-026,dog_bark,dog_bark,glass_breaking,0,False
P2-026,dog_bark,dog_bark,gunshot_gunfire,0,False
P2-026,dog_bark,dog_bark,siren,0,False
P2-026,dog_bark,dog_bark,speech,2,True
P2-026,dog_bark,dog_bark,thunderstorm,0,False
P2-027,gunshot_gunfire,gunshot_gunfire,dog_bark,0,False
P2-027,gunshot_gunfire,gunshot_gunfire,glass_breaking,0,False
P2-027,gunshot_gunfire,gunshot_gunfire,gunshot_gunfire,0,False
P2-027,gunshot_gunfire,gunshot_gunfire,siren,0,False
P2-027,gunshot_gunfire,gunshot_gunfire,speech,0,False
P2-027,gunshot_gunfire,gunshot_gunfire,thunderstorm,0,False
P2-028,thunderstorm,thunderstorm,dog_bark,0,False
P2-028,thunderstorm,thunderstorm,glass_breaking,0,False
P2-028,thunderstorm,thunderstorm,gunshot_gunfire,0,False
P2-028,thunderstorm,thunderstorm,siren,0,False
P2-028,thunderstorm,thunderstorm,speech,0,False
P2-028,thunderstorm,thunderstorm,thunderstorm,0,False
