dataset_role,other_group,source_dataset,source_partition,source_id,source_filename,source_labels,filename,stimulus_sha256,patch_count,hardness_score,hardest_predicted_class,hardest_patch_within_clip,mean_top_class,mean_top_score,mean_score_dog_bark,mean_score_glass_breaking,mean_score_gunshot_gunfire,mean_score_siren,mean_score_speech,mean_score_thunderstorm,selection_tier,candidate_filename,excerpt_start_s,excerpt_duration_s
train,high_tonal_non_siren,FSD50K,train,29966,29966.wav,"Chime,Bell",other__fsd50k__train__29966__hard3s.wav,e8a1c1c6ad0602f0cfa1d599838e24e006adf1eb77720d0f57fb150f0e57356b,13,0.9937384128570557,glass_breaking,1,glass_breaking,0.7416603565216064,0.006646889727562666,0.7416603565216064,0.08889876306056976,0.10674844682216644,0.01799040287733078,0.0380551815032959,hard_negative,other_candidate__fsd50k__train__29966__0018.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,216878,216878.wav,Squeak,other__fsd50k__train__216878__hard3s.wav,49f3adc6e60a5f56cf435ab8ed4261721156e8f1bf723ff754c723a42cf4b92a,3,0.8139542937278748,gunshot_gunfire,0,siren,0.3449718654155731,0.013790718279778957,0.1608818918466568,0.2800593078136444,0.3449718654155731,0.1658329963684082,0.034463196992874146,hard_negative,other_candidate__fsd50k__train__216878__0157.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,109718,109718.wav,Bell,other__fsd50k__train__109718__hard3s.wav,0db2fe6f95bfb8fa45e9c871235452ef7077f6052ec1da67abcf69797e73dc01,13,0.9912028312683105,siren,0,siren,0.9212649464607239,0.0039029514882713556,0.01620541699230671,0.01762739196419716,0.9212649464607239,0.02799731120467186,0.013001937419176102,hard_negative,other_candidate__fsd50k__train__109718__0079.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,264135,264135.wav,Squeak,other__fsd50k__train__264135__hard3s.wav,b47eb3477c3a905a328ff72a329055e643651a47a857f0e5eeab23cb91b0a26a,1,0.8858284950256348,speech,0,speech,0.8858284950256348,0.06664039939641953,0.008349931798875332,0.021535076200962067,0.011176017113029957,0.8858284950256348,0.00646999990567565,hard_negative,other_candidate__fsd50k__train__264135__0054.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,261088,261088.wav,Squeak,other__fsd50k__train__261088__hard3s.wav,ba4587450498b5f99d080a1422113c812c414e8a781c7ad226d040aa13c4e131,9,0.6321478486061096,thunderstorm,8,gunshot_gunfire,0.28387513756752014,0.02440115064382553,0.25880715250968933,0.28387513756752014,0.07303030043840408,0.1273961365222931,0.23249009251594543,hard_negative,other_candidate__fsd50k__train__261088__0067.wav,4.131429,3.000
train,high_tonal_non_siren,FSD50K,train,234210,234210.wav,Squeak,other__fsd50k__train__234210__hard3s.wav,6237450a8a0d4c207b87522ea4108ed54ea1275ba1e89c3e5ef890e83b25be6a,11,0.9874661564826965,glass_breaking,5,glass_breaking,0.4785248637199402,0.08804013580083847,0.4785248637199402,0.21819359064102173,0.05762690678238869,0.08012135326862335,0.0774931013584137,hard_negative,other_candidate__fsd50k__train__234210__0187.wav,2.600000,3.000
train,high_tonal_non_siren,FSD50K,train,104525,104525.wav,"Squeak,Slam,Wood,Door,Domestic_sounds_and_home_sounds",other__fsd50k__train__104525__hard3s.wav,73b27b6e7d83ea145a2f3442217fe4f7007fe1f0e47625a06ac9484d281d5669,2,0.6481491327285767,gunshot_gunfire,1,gunshot_gunfire,0.3369361460208893,0.16975271701812744,0.042339373379945755,0.3369361460208893,0.16442060470581055,0.25638848543167114,0.030162649229168892,hard_negative,other_candidate__fsd50k__train__104525__0186.wav,0.000000,3.000
train,high_tonal_non_siren,ESC-50,fold_3,117793,3-117793-A-37.wav,clock_alarm,other__esc50__fold_3__117793__hard3s.wav,403a522c137b94195bdf3d9175aa3432a76018e41fd049f74cbd6da900f38cd4,2,0.9596261978149414,siren,1,siren,0.9316409826278687,0.000266951450612396,0.0027859872207045555,0.0049562277272343636,0.9316409826278687,0.060010332614183426,0.00033951469231396914,hard_negative,other_candidate__esc50__fold_3__117793__0108.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,151837,151837.wav,Squeak,other__fsd50k__train__151837__hard3s.wav,2b14bf731b1cd6df49aceebed9a61504494afe1c712f3095fb081c065c0e234b,2,0.6685451865196228,speech,0,speech,0.6459136009216309,0.13307718932628632,0.10270726680755615,0.07619086652994156,0.03168835863471031,0.6459136009216309,0.010422700084745884,hard_negative,other_candidate__fsd50k__train__151837__0206.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,261089,261089.wav,"Squeak,Door,Wood,Domestic_sounds_and_home_sounds",other__fsd50k__train__261089__hard3s.wav,26145e2584ab5464fc9e227e8e8b1d9a926da02b308f072bfebe7a4eb95d44f3,10,0.5860287547111511,thunderstorm,8,glass_breaking,0.31383100152015686,0.02436290867626667,0.31383100152015686,0.21990267932415009,0.10573817789554596,0.10980759561061859,0.22635765373706818,hard_negative,other_candidate__fsd50k__train__261089__0131.wav,4.575510,3.000
train,high_tonal_non_siren,FSD50K,train,57743,57743.wav,"Door,Bell,Domestic_sounds_and_home_sounds",other__fsd50k__train__57743__hard3s.wav,437ff6835521d198925dcf73babcdd5141ae453190fef01e35677d0a10280d8a,7,0.9855501651763916,glass_breaking,0,siren,0.4388331472873688,0.03060298226773739,0.36493581533432007,0.0584561750292778,0.4388331472873688,0.036242444068193436,0.07092944532632828,hard_negative,other_candidate__fsd50k__train__57743__0080.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,382827,382827.wav,"Cowbell,Bell",other__fsd50k__train__382827__hard3s.wav,a8e99cd20f3a62c7ade3bdf99a79f3cc1a60420b268e03ae486b6affa8e63ccc,1,0.5741989016532898,gunshot_gunfire,0,gunshot_gunfire,0.5741989016532898,0.002518022432923317,0.3575449287891388,0.5741989016532898,0.010816345922648907,0.006735172588378191,0.04818667471408844,hard_negative,other_candidate__fsd50k__train__382827__0165.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,57471,57471.wav,Squeak,other__fsd50k__train__57471__hard3s.wav,ed4aa0f6fe16927e4f660d79058d4e56b5eac6b542063c04eed357dd7304e13d,6,0.9539657235145569,siren,1,siren,0.906278669834137,0.011850007809698582,0.020745359361171722,0.016100948676466942,0.906278669834137,0.03393347188830376,0.011091495864093304,hard_negative,other_candidate__fsd50k__train__57471__0021.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,59063,59063.wav,"Church_bell,Organ,Bell,Keyboard_(musical),Musical_instrument,Music",other__fsd50k__train__59063__hard3s.wav,e7fc8754b311b3ab50f5511521017aa6989b2e0a6a2fc7dce3f15e1ee1e1a0e3,13,0.6464064121246338,speech,0,speech,0.4035927355289459,0.10621006786823273,0.058888692408800125,0.16092635691165924,0.10980156809091568,0.4035927355289459,0.1605806052684784,hard_negative,other_candidate__fsd50k__train__59063__0048.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,77069,77069.wav,"Church_bell,Bell",other__fsd50k__train__77069__hard3s.wav,bb655b85d2d92d7c948a6b6172fd145d3b7de36037c93d1122861206f23ff703,8,0.5651357173919678,thunderstorm,4,siren,0.29018300771713257,0.037493996322155,0.18017320334911346,0.1115964874625206,0.29018300771713257,0.1250360906124115,0.2555171847343445,hard_negative,other_candidate__fsd50k__train__77069__0003.wav,1.880000,3.000
train,high_tonal_non_siren,FSD50K,train,72663,72663.wav,Squeak,other__fsd50k__train__72663__hard3s.wav,5800b38d4b98dd1d351c6ca63e647f1cb5cf7903d961fa56359b4738a081e110,12,0.9837870001792908,glass_breaking,11,glass_breaking,0.5621797442436218,0.03439471125602722,0.5621797442436218,0.04045089706778526,0.18041716516017914,0.1620454639196396,0.020512063056230545,hard_negative,other_candidate__fsd50k__train__72663__0057.wav,6.610000,3.000
train,high_tonal_non_siren,FSD50K,train,91150,91150.wav,"Cowbell,Bell",other__fsd50k__train__91150__hard3s.wav,fb61e22e0a0b1174ce9d39ddeb0603aa65d77bd4c6378d8ce41ade12861d53f7,1,0.41129767894744873,gunshot_gunfire,0,gunshot_gunfire,0.41129767894744873,0.007203167304396629,0.35551193356513977,0.41129767894744873,0.1482660323381424,0.02229022979736328,0.05543098226189613,hard_negative,other_candidate__fsd50k__train__91150__0010.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,125094,125094.wav,Squeak,other__fsd50k__train__125094__hard3s.wav,d5c27d29f233566116590a6209e534918034bd8c6612666c32ec9e4d30b57411,13,0.9522791504859924,siren,1,speech,0.27310916781425476,0.06470400840044022,0.22781214118003845,0.20516261458396912,0.16248632967472076,0.27310916781425476,0.06672567874193192,hard_negative,other_candidate__fsd50k__train__125094__0215.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,49168,49168.wav,"Wind_chime,Chime,Bell",other__fsd50k__train__49168__hard3s.wav,572c355ac1a82b1d61f88850397db2955d2ec780e7d14f0ffb9c35a2f4b39c30,8,0.6146227717399597,speech,4,speech,0.35048919916152954,0.04383787140250206,0.3490492105484009,0.0995936170220375,0.06265789270401001,0.35048919916152954,0.09437225759029388,hard_negative,other_candidate__fsd50k__train__49168__0218.wav,1.880000,3.000
train,high_tonal_non_siren,FSD50K,train,128321,128321.wav,Squeak,other__fsd50k__train__128321__hard3s.wav,68e52c81f86190242f0452c460eb4473d32cf3b8f507db9c659435c94d00132e,1,0.3792991042137146,thunderstorm,0,thunderstorm,0.3792991042137146,0.03301200270652771,0.2833855152130127,0.15818645060062408,0.014278574846684933,0.13183832168579102,0.3792991042137146,hard_negative,other_candidate__fsd50k__train__128321__0023.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,51707,51707.wav,"Chime,Bell",other__fsd50k__train__51707__hard3s.wav,2ecb83f8ea3953ec0d7c9105945d2969c453dd0ec40ed2a00b98dc5186257ff2,13,0.9832081198692322,glass_breaking,7,glass_breaking,0.8990532159805298,0.001674767816439271,0.8990532159805298,0.05300392955541611,0.010725455358624458,0.013083456084132195,0.022459205240011215,hard_negative,other_candidate__fsd50k__train__51707__0033.wav,4.040000,3.000
train,high_tonal_non_siren,FSD50K,train,128322,128322.wav,Squeak,other__fsd50k__train__128322__hard3s.wav,c0211170b8793bac33344ac44d96ca912df8482434099114ab853e48c3a2d09e,1,0.3996877372264862,gunshot_gunfire,0,gunshot_gunfire,0.3996877372264862,0.024163272231817245,0.28793278336524963,0.3996877372264862,0.006749357096850872,0.23138651251792908,0.05008021369576454,hard_negative,other_candidate__fsd50k__train__128322__0146.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,125090,125090.wav,Squeak,other__fsd50k__train__125090__hard3s.wav,a89f7845c54752e00b2d79049895ff2c7046e84ae62ceba25bbc65041d635a4a,6,0.949521005153656,siren,1,siren,0.5395063757896423,0.07520505040884018,0.17111025750637054,0.0339033417403698,0.5395063757896423,0.1582302749156952,0.022044630721211433,hard_negative,other_candidate__fsd50k__train__125090__0205.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,145031,145031.wav,Squeak,other__fsd50k__train__145031__hard3s.wav,4b646780289e029050dcd88cc71c2071e8c7cc3b8d1c3a719e8570c159aa9761,1,0.343189001083374,speech,0,speech,0.343189001083374,0.0333196185529232,0.3309084475040436,0.2216292917728424,0.05755497142672539,0.343189001083374,0.013398678973317146,hard_negative,other_candidate__fsd50k__train__145031__0149.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,377640,377640.wav,Bell,other__fsd50k__train__377640__hard3s.wav,7fe0e186bf1726f001c4064c2a6ab3544c7f61d25b694f9b5118f91fe432f362,10,0.9803128838539124,glass_breaking,4,glass_breaking,0.4766465723514557,0.019366469234228134,0.4766465723514557,0.19389069080352783,0.17255517840385437,0.034442078322172165,0.10309900343418121,hard_negative,other_candidate__fsd50k__train__377640__0046.wav,1.880000,3.000
train,high_tonal_non_siren,FSD50K,train,90983,90983.wav,"Cowbell,Bell",other__fsd50k__train__90983__hard3s.wav,2bdb888b54d622b4bcfebe08fe785bf02eb2eedec3efeb1f89f015b8c380714e,1,0.27972063422203064,gunshot_gunfire,0,gunshot_gunfire,0.27972063422203064,0.03634924814105034,0.2507540285587311,0.27972063422203064,0.22478710114955902,0.1873457431793213,0.021043237298727036,hard_negative,other_candidate__fsd50k__train__90983__0163.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,257553,257553.wav,"Wind_chime,Percussion,Chime,Bell,Musical_instrument,Music",other__fsd50k__train__257553__hard3s.wav,d5f963e31f0865f2108fdefbd6db4214d29d111dbb5fae4b1fcc2dc8b67bd25a,7,0.9489396810531616,siren,0,siren,0.271748811006546,0.07319562882184982,0.2446586936712265,0.18730664253234863,0.271748811006546,0.07687609642744064,0.14621412754058838,hard_negative,other_candidate__fsd50k__train__257553__0166.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,235474,235474.wav,Bell,other__fsd50k__train__235474__hard3s.wav,954cc35baeb7e3e85e249bac587976a9afe9d25b9cf7d8edd5427347e3d4f070,13,0.9787413477897644,glass_breaking,12,glass_breaking,0.5801365971565247,0.010680202394723892,0.5801365971565247,0.13317012786865234,0.1512804925441742,0.04612269625067711,0.078609898686409,hard_negative,other_candidate__fsd50k__train__235474__0075.wav,6.843175,3.000
train,high_tonal_non_siren,FSD50K,train,426217,426217.wav,"Church_bell,Bell",other__fsd50k__train__426217__hard3s.wav,84737cb97336e67c9a91d34aa9096cdcc07d9733d7bfb902bc014e152d86d552,13,0.948915958404541,siren,12,siren,0.7599255442619324,0.005388196092098951,0.0401279591023922,0.019641481339931488,0.7599255442619324,0.033499374985694885,0.14141741394996643,hard_negative,other_candidate__fsd50k__train__426217__0155.wav,7.640000,3.000
train,high_tonal_non_siren,FSD50K,train,44166,44166.wav,"Wind_chime,Chime,Bell",other__fsd50k__train__44166__hard3s.wav,6291de143c51e9f07dbd1d00112f0a69353350e2a0b51e3df8462bf55861ac05,8,0.9743474125862122,glass_breaking,6,glass_breaking,0.8299232125282288,0.02880469150841236,0.8299232125282288,0.028496786952018738,0.0604831837117672,0.0487385168671608,0.003553716465830803,hard_negative,other_candidate__fsd50k__train__44166__0141.wav,3.320000,3.000
train,high_tonal_non_siren,FSD50K,train,69486,69486.wav,Squeak,other__fsd50k__train__69486__hard3s.wav,a2c0dd58ffc07190384850dec3133c7f96e3b0cab358eb1bc2b823c3ae41f858,2,0.9451719522476196,siren,1,siren,0.8126035928726196,0.01240054052323103,0.011147690005600452,0.0016541355289518833,0.8126035928726196,0.1614251285791397,0.0007689096382819116,hard_negative,other_candidate__fsd50k__train__69486__0160.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,361427,361427.wav,"Wind_chime,Chime,Bell",other__fsd50k__train__361427__hard3s.wav,51e558825b9a1c3a862591c7d70232483897bc0c144f5b357c4f85606f37bb4c,5,0.973239004611969,glass_breaking,1,glass_breaking,0.9422459602355957,0.00314502464607358,0.9422459602355957,0.027938535436987877,0.011514614336192608,0.010368997231125832,0.004786879755556583,hard_negative,other_candidate__fsd50k__train__361427__0137.wav,0.000000,3.000
train,high_tonal_non_siren,ESC-50,fold_1,54747,1-54747-A-46.wav,church_bells,other__esc50__fold_1__54747__hard3s.wav,a0664359aa21e7b44f8de962632c9ed2bca9f86728056ae8dd14ae7ac5cd0330,6,0.9340847730636597,siren,2,siren,0.5764816403388977,0.006410130765289068,0.018272385001182556,0.11848295480012894,0.5764816403388977,0.052573055028915405,0.22777993977069855,hard_negative,other_candidate__esc50__fold_1__54747__0062.wav,0.440000,3.000
train,high_tonal_non_siren,FSD50K,train,90549,90549.wav,"Cowbell,Bell",other__fsd50k__train__90549__hard3s.wav,71e80644cc6eece7e9f6cf47ae08966d5f27ce3e8fa32a0a05e2d9be3f511833,1,0.9724035263061523,glass_breaking,0,glass_breaking,0.9724035263061523,0.0005960267153568566,0.9724035263061523,0.02043343335390091,0.003685885341838002,0.0025602749083191156,0.0003207981353625655,hard_negative,other_candidate__fsd50k__train__90549__0214.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,104097,104097.wav,"Squeak,Screech",other__fsd50k__train__104097__hard3s.wav,3b757d9a8473733ee066693968d9c829b6c7a993557791672ae5e591ab31c127,2,0.9333523511886597,siren,0,siren,0.7806874513626099,0.006100251339375973,0.05453493073582649,0.007110861130058765,0.7806874513626099,0.1506584882736206,0.0009080964955501258,hard_negative,other_candidate__fsd50k__train__104097__0119.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,90548,90548.wav,"Cowbell,Bell",other__fsd50k__train__90548__hard3s.wav,839a0bd6b961eb0202bc8dbbd67bb579e639e348cca2529b0a36809504a0f106,1,0.9683812260627747,glass_breaking,0,glass_breaking,0.9683812260627747,0.0005518419202417135,0.9683812260627747,0.024415677413344383,0.0035392886493355036,0.002742442302405834,0.0003696015919558704,diversity,other_candidate__fsd50k__train__90548__0036.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,90972,90972.wav,"Cowbell,Bell",other__fsd50k__train__90972__hard3s.wav,92fbb3e22b6033c1b6ca4c252fd440eb921106b54f0085eea28d669c9a467523,1,0.7052160501480103,glass_breaking,0,glass_breaking,0.7052160501480103,0.006409586872905493,0.7052160501480103,0.10995641350746155,0.02057058736681938,0.14717185497283936,0.010675480589270592,diversity,other_candidate__fsd50k__train__90972__0132.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,51711,51711.wav,"Chime,Bell",other__fsd50k__train__51711__hard3s.wav,1b7e1dfd43bc34c5601a7d67f15ecd51b10b604a25566002f809040b60c5422b,4,0.9600838422775269,glass_breaking,3,glass_breaking,0.7474672794342041,0.0029121171683073044,0.7474672794342041,0.13071025907993317,0.022463442757725716,0.03238210454583168,0.06406479328870773,diversity,other_candidate__fsd50k__train__51711__0184.wav,0.840000,3.000
train,high_tonal_non_siren,FSD50K,train,57197,57197.wav,"Church_bell,Bell",other__fsd50k__train__57197__hard3s.wav,fb764b7f4e213b30df02b9cae1db0758a61e43411f71e727314832d32776977b,13,0.7765722274780273,siren,9,siren,0.5433648228645325,0.012822631746530533,0.1380678117275238,0.1455744057893753,0.5433648228645325,0.05162474140524864,0.10854560881853104,diversity,other_candidate__fsd50k__train__57197__0203.wav,5.480000,3.000
train,high_tonal_non_siren,FSD50K,train,274085,274085.wav,Squeak,other__fsd50k__train__274085__hard3s.wav,875d10a59fc0a56b716d66ef634f064e200e3460932826f61f0296dbc6019184,2,0.5960153341293335,siren,0,siren,0.44928765296936035,0.08826729655265808,0.22841262817382812,0.014713382348418236,0.44928765296936035,0.2135225236415863,0.005796518642455339,diversity,other_candidate__fsd50k__train__274085__0005.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,34061,34061.wav,Squeak,other__fsd50k__train__34061__hard3s.wav,ca807ef2c0e3d20808d81dcbb1ab4f4aaf4f01eebfcc414b76ab51c2abf8b083,7,0.7307413816452026,siren,1,siren,0.36116090416908264,0.051003966480493546,0.12271521240472794,0.061833251267671585,0.36116090416908264,0.30908066034317017,0.09420599043369293,diversity,other_candidate__fsd50k__train__34061__0042.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,32634,32634.wav,"Bell,Mechanisms",other__fsd50k__train__32634__hard3s.wav,0af6257b1d0c747537736e28466c97780005577cd4101826e7656d297689b6c6,7,0.9717753529548645,glass_breaking,2,glass_breaking,0.4929456114768982,0.005214483942836523,0.4929456114768982,0.2877350449562073,0.05971169099211693,0.03329871967434883,0.12109442800283432,diversity,other_candidate__fsd50k__train__32634__0038.wav,0.440000,3.000
train,high_tonal_non_siren,FSD50K,train,30153,30153.wav,Bell,other__fsd50k__train__30153__hard3s.wav,7a0f9f99e155a65f5ce8b83f6862a60fb8330853fa8e31326dca1817e2bd38e1,4,0.6924741268157959,siren,2,siren,0.4809679388999939,0.010898372158408165,0.4543048143386841,0.01805475354194641,0.4809679388999939,0.030799750238656998,0.0049743931740522385,diversity,other_candidate__fsd50k__train__30153__0066.wav,0.333333,3.000
train,high_tonal_non_siren,FSD50K,train,29792,29792.wav,Bell,other__fsd50k__train__29792__hard3s.wav,aa2ec47d5a4d7e952328865e1670753c76480ed71ed230636d5d2a736690abb0,2,0.5237786173820496,siren,1,siren,0.38969898223876953,0.032523710280656815,0.31209835410118103,0.11417873948812485,0.38969898223876953,0.13899235427379608,0.012507827021181583,diversity,other_candidate__fsd50k__train__29792__0162.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,90546,90546.wav,"Cowbell,Bell",other__fsd50k__train__90546__hard3s.wav,53dc4f8ac5300fecbc4f3859db6c3825233e1efced3807f1b1f96a5a66e3d18e,3,0.9641386866569519,glass_breaking,0,glass_breaking,0.6460846066474915,0.0027406217996031046,0.6460846066474915,0.22014975547790527,0.004335588309913874,0.09788250923156738,0.028806909918785095,diversity,other_candidate__fsd50k__train__90546__0233.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,51700,51700.wav,"Chime,Bell",other__fsd50k__train__51700__hard3s.wav,15a394ad46a4b63fd404cba29bec7a1477be00ed5a86d37db9324fb2760fbd3f,11,0.9604383707046509,glass_breaking,8,glass_breaking,0.8018518686294556,0.003265523351728916,0.8018518686294556,0.10445602238178253,0.030789213255047798,0.024385320022702217,0.035252127796411514,diversity,other_candidate__fsd50k__train__51700__0112.wav,4.760000,3.000
train,high_tonal_non_siren,FSD50K,train,57507,57507.wav,Squeak,other__fsd50k__train__57507__hard3s.wav,000f81f923bfa5a37ba396dab334280a9b517c73075fa61b51020916c60e332b,2,0.8490663170814514,siren,0,siren,0.5801010131835938,0.03385122865438461,0.07607900351285934,0.07432222366333008,0.5801010131835938,0.2110905796289444,0.02455591782927513,diversity,other_candidate__fsd50k__train__57507__0225.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,90565,90565.wav,"Cowbell,Bell",other__fsd50k__train__90565__hard3s.wav,247ab417178fc027042f53b8e4ade655c6fd4907839b1cf3bfe86175d64c2a9f,1,0.9044381976127625,glass_breaking,0,glass_breaking,0.9044381976127625,0.008220279589295387,0.9044381976127625,0.01369127631187439,0.05670733377337456,0.016427502036094666,0.0005154031096026301,diversity,other_candidate__fsd50k__train__90565__0097.wav,0.000000,3.000
train,high_tonal_non_siren,FSD50K,train,68941,68941.wav,Squeak,other__fsd50k__train__68941__hard3s.wav,14895c2b75b691dfa03bc20e8bb0db5970e8d5bafb1474bf000f78d657634c89,3,0.8734496831893921,glass_breaking,2,glass_breaking,0.49010053277015686,0.029237357899546623,0.49010053277015686,0.06331128627061844,0.08865958452224731,0.3108748495578766,0.017816398292779922,diversity,other_candidate__fsd50k__train__68941__0125.wav,0.000000,3.000
