threshold,speech_recall,hazard_macro_recall,hazard_macro_recall_loss,hazard_accuracy,hazard_false_speech_rate,speech_correct,speech_total,hazard_correct,hazard_total,hazards_suppressed_as_speech,passes_speech_gate,passes_hazard_gate,passes_loss_gate,passes_all_gates
0.15,0.9166666666666666,0.79,0.09814814809999994,0.7795275590551181,0.1377952755905512,22,24,198,254,35,True,False,False,False
0.16,0.9166666666666666,0.79,0.09814814809999994,0.7795275590551181,0.1377952755905512,22,24,198,254,35,True,False,False,False
0.17,0.9166666666666666,0.807037037037037,0.08111111106296298,0.7992125984251969,0.1141732283464567,22,24,203,254,29,True,False,False,False
0.18,0.9166666666666666,0.8170370370370371,0.07111111106296286,0.8110236220472441,0.10236220472440945,22,24,206,254,26,True,False,False,False
0.19,0.8333333333333334,0.8303703703703704,0.057777777729629554,0.8188976377952756,0.09448818897637795,20,24,208,254,24,True,False,False,False
0.2,0.8333333333333334,0.8403703703703703,0.047777777729629656,0.8307086614173228,0.08267716535433071,20,24,211,254,21,True,False,False,False
0.21,0.8333333333333334,0.8437037037037036,0.044444444396296356,0.8346456692913385,0.07874015748031496,20,24,212,254,20,True,False,False,False
0.22,0.8333333333333334,0.847037037037037,0.041111111062962946,0.8385826771653543,0.07480314960629922,20,24,213,254,19,True,False,False,False
0.23,0.8333333333333334,0.8503703703703703,0.03777777772962965,0.84251968503937,0.06692913385826772,20,24,214,254,17,True,True,True,True
0.24,0.8333333333333334,0.8537037037037036,0.03444444439629635,0.8464566929133859,0.06299212598425197,20,24,215,254,16,True,True,True,True
0.25,0.8333333333333334,0.8570370370370369,0.03111111106296305,0.8503937007874016,0.05905511811023622,20,24,216,254,15,True,True,True,True
0.26,0.8333333333333334,0.8637037037037038,0.024444444396296228,0.8582677165354331,0.047244094488188976,20,24,218,254,12,True,True,True,True
0.27,0.8333333333333334,0.867037037037037,0.02111111106296293,0.8622047244094488,0.04330708661417323,20,24,219,254,11,True,True,True,True
0.28,0.7916666666666666,0.8703703703703705,0.017777777729629518,0.8661417322834646,0.03543307086614173,19,24,220,254,9,False,True,True,False
0.29,0.7916666666666666,0.8703703703703705,0.017777777729629518,0.8661417322834646,0.031496062992125984,19,24,220,254,8,False,True,True,False
0.3,0.7916666666666666,0.8737037037037038,0.014444444396296219,0.8700787401574803,0.027559055118110236,19,24,221,254,7,False,True,True,False
0.31,0.7916666666666666,0.8770370370370371,0.01111111106296292,0.8740157480314961,0.023622047244094488,19,24,222,254,6,False,True,True,False
0.32,0.7916666666666666,0.8803703703703704,0.00777777772962962,0.8779527559055118,0.01968503937007874,19,24,223,254,5,False,True,True,False
0.33,0.7916666666666666,0.8803703703703704,0.00777777772962962,0.8779527559055118,0.01968503937007874,19,24,223,254,5,False,True,True,False
0.34,0.7916666666666666,0.8803703703703704,0.00777777772962962,0.8779527559055118,0.01968503937007874,19,24,223,254,5,False,True,True,False
0.35,0.7916666666666666,0.8803703703703704,0.00777777772962962,0.8779527559055118,0.01968503937007874,19,24,223,254,5,False,True,True,False
0.36,0.7916666666666666,0.8803703703703704,0.00777777772962962,0.8779527559055118,0.01968503937007874,19,24,223,254,5,False,True,True,False
0.37,0.7916666666666666,0.8803703703703704,0.00777777772962962,0.8779527559055118,0.01968503937007874,19,24,223,254,5,False,True,True,False
0.38,0.7916666666666666,0.8803703703703704,0.00777777772962962,0.8779527559055118,0.01968503937007874,19,24,223,254,5,False,True,True,False
0.39,0.7916666666666666,0.8803703703703704,0.00777777772962962,0.8779527559055118,0.01968503937007874,19,24,223,254,5,False,True,True,False
0.4,0.7916666666666666,0.8803703703703704,0.00777777772962962,0.8779527559055118,0.01968503937007874,19,24,223,254,5,False,True,True,False
0.41,0.75,0.8803703703703704,0.00777777772962962,0.8779527559055118,0.01968503937007874,18,24,223,254,5,False,True,True,False
0.42,0.75,0.8870370370370371,0.0011111110629629106,0.8858267716535433,0.011811023622047244,18,24,225,254,3,False,True,True,False
0.43,0.75,0.8870370370370371,0.0011111110629629106,0.8858267716535433,0.011811023622047244,18,24,225,254,3,False,True,True,False
0.44,0.7083333333333334,0.8870370370370371,0.0011111110629629106,0.8858267716535433,0.011811023622047244,17,24,225,254,3,False,True,True,False
0.45,0.6666666666666666,0.8870370370370371,0.0011111110629629106,0.8858267716535433,0.011811023622047244,16,24,225,254,3,False,True,True,False
0.46,0.625,0.8870370370370371,0.0011111110629629106,0.8858267716535433,0.011811023622047244,15,24,225,254,3,False,True,True,False
0.47,0.5833333333333334,0.8870370370370371,0.0011111110629629106,0.8858267716535433,0.011811023622047244,14,24,225,254,3,False,True,True,False
0.48,0.5833333333333334,0.8903703703703704,-0.0022222222703703887,0.889763779527559,0.007874015748031496,14,24,226,254,2,False,True,True,False
0.49,0.5833333333333334,0.8903703703703704,-0.0022222222703703887,0.889763779527559,0.007874015748031496,14,24,226,254,2,False,True,True,False
0.5,0.5416666666666666,0.8903703703703704,-0.0022222222703703887,0.889763779527559,0.007874015748031496,13,24,226,254,2,False,True,True,False
0.51,0.5416666666666666,0.8903703703703704,-0.0022222222703703887,0.889763779527559,0.007874015748031496,13,24,226,254,2,False,True,True,False
0.52,0.5416666666666666,0.8903703703703704,-0.0022222222703703887,0.889763779527559,0.007874015748031496,13,24,226,254,2,False,True,True,False
0.53,0.5,0.8903703703703704,-0.0022222222703703887,0.889763779527559,0.007874015748031496,12,24,226,254,2,False,True,True,False
0.54,0.4583333333333333,0.8903703703703704,-0.0022222222703703887,0.889763779527559,0.007874015748031496,11,24,226,254,2,False,True,True,False
0.55,0.4583333333333333,0.8937037037037037,-0.005555555603703688,0.8937007874015748,0.003937007874015748,11,24,227,254,1,False,True,True,False
0.56,0.4583333333333333,0.8937037037037037,-0.005555555603703688,0.8937007874015748,0.003937007874015748,11,24,227,254,1,False,True,True,False
0.57,0.4583333333333333,0.8937037037037037,-0.005555555603703688,0.8937007874015748,0.003937007874015748,11,24,227,254,1,False,True,True,False
0.58,0.4583333333333333,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,11,24,228,254,0,False,True,True,False
0.59,0.4583333333333333,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,11,24,228,254,0,False,True,True,False
0.6,0.4583333333333333,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,11,24,228,254,0,False,True,True,False
0.61,0.4583333333333333,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,11,24,228,254,0,False,True,True,False
0.62,0.4166666666666667,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,10,24,228,254,0,False,True,True,False
0.63,0.4166666666666667,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,10,24,228,254,0,False,True,True,False
0.64,0.4166666666666667,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,10,24,228,254,0,False,True,True,False
0.65,0.4166666666666667,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,10,24,228,254,0,False,True,True,False
0.66,0.4166666666666667,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,10,24,228,254,0,False,True,True,False
0.67,0.4166666666666667,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,10,24,228,254,0,False,True,True,False
0.68,0.375,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,9,24,228,254,0,False,True,True,False
0.69,0.375,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,9,24,228,254,0,False,True,True,False
0.7,0.375,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,9,24,228,254,0,False,True,True,False
0.71,0.3333333333333333,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,8,24,228,254,0,False,True,True,False
0.72,0.3333333333333333,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,8,24,228,254,0,False,True,True,False
0.73,0.2916666666666667,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,7,24,228,254,0,False,True,True,False
0.74,0.25,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,6,24,228,254,0,False,True,True,False
0.75,0.20833333333333334,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,5,24,228,254,0,False,True,True,False
0.76,0.20833333333333334,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,5,24,228,254,0,False,True,True,False
0.77,0.20833333333333334,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,5,24,228,254,0,False,True,True,False
0.78,0.16666666666666666,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,4,24,228,254,0,False,True,True,False
0.79,0.16666666666666666,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,4,24,228,254,0,False,True,True,False
0.8,0.16666666666666666,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,4,24,228,254,0,False,True,True,False
0.81,0.16666666666666666,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,4,24,228,254,0,False,True,True,False
0.82,0.125,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,3,24,228,254,0,False,True,True,False
0.83,0.125,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,3,24,228,254,0,False,True,True,False
0.84,0.125,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,3,24,228,254,0,False,True,True,False
0.85,0.125,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,3,24,228,254,0,False,True,True,False
0.86,0.125,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,3,24,228,254,0,False,True,True,False
0.87,0.125,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,3,24,228,254,0,False,True,True,False
0.88,0.125,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,3,24,228,254,0,False,True,True,False
0.89,0.125,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,3,24,228,254,0,False,True,True,False
0.9,0.125,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,3,24,228,254,0,False,True,True,False
0.91,0.125,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,3,24,228,254,0,False,True,True,False
0.92,0.08333333333333333,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,2,24,228,254,0,False,True,True,False
0.93,0.08333333333333333,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,2,24,228,254,0,False,True,True,False
0.94,0.08333333333333333,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,2,24,228,254,0,False,True,True,False
0.95,0.08333333333333333,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,2,24,228,254,0,False,True,True,False
0.96,0.08333333333333333,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,2,24,228,254,0,False,True,True,False
0.97,0.041666666666666664,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,1,24,228,254,0,False,True,True,False
0.98,0.0,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,0,24,228,254,0,False,True,True,False
0.99,0.0,0.897037037037037,-0.008888888937036987,0.8976377952755905,0.0,0,24,228,254,0,False,True,True,False
