trial_order,trial_id,expected_class,true_category,test_type,stimulus_file,source_dataset,source_partition,current_result,passed,expected_peak_probability,gun_candidate_frames,gun_candidate_max_score,gun_candidate_energy_at_max_score,sample_rate_hz,channels,duration_s,overall_rms_dbfs,p95_frame_rms_dbfs,peak_dbfs,crest_factor_db,frame_silence_fraction_below_minus50_dbfs,clipped_sample_fraction,board_complete_frames,board_active_frames,board_active_fraction,board_spectrogram_sum_max,board_active_spectrogram_sum_p95,board_active_spectrogram_sum_median,board_inactive_spectrogram_sum_median,board_max_margin_over_activity_threshold_db
15,PILOT-015,dog_bark,dog_bark,positive,dog_bark__fsd50k__dev__221207__0034__r0.wav,FSD50K,dev,pass_with_detection,True,0.7109,0,0.0,0.0,44100,1,3.384625850340136,-23.4261539509314,-15.931913773735157,-4.605957128692531,18.82019682223887,0.08955223880597014,0.0,21,4,0.19047619047619047,18400.0,17996.8,13016.0,774.5,6.627578316815741
16,PILOT-016,out_of_distribution,rain,ood,4-180380-A-10.wav,ESC-50,fold_4,fail_false_positive,False,0.0,0,0.0,0.0,44100,1,5.0,-23.622286500673365,-22.034149353001332,-3.2904772218124974,20.331809278860867,0.0,0.0,21,6,0.2857142857142857,37056.0,35872.0,24832.0,717.0,9.66798546383361
17,PILOT-017,siren,siren,positive,siren__fsd50k__dev__421017__0018__r0.wav,FSD50K,dev,pass_with_detection,True,0.9856,0,0.0,0.0,44100,1,25.0,-25.25721304467381,-19.937896714119866,-6.114410138870254,19.142802905803556,0.05105105105105105,0.0,20,16,0.8,22176.0,20364.0,15124.0,762.5,7.438232216037503
18,PILOT-018,thunderstorm,thunderstorm,positive,thunderstorm__fsd50k__dev__125634__0009__r0.wav,FSD50K,dev,fail_no_target_detection,False,0.5707,0,0.0,0.0,44100,1,14.655986394557823,-27.931286488522847,-22.67842570429293,-4.917338977862096,23.01394751066075,0.0,0.0,21,13,0.6190476190476191,15624.0,15432.0,8568.0,2001.5,5.917322389518356
19,PILOT-019,speech,speech,positive,speech__fsd50k__val__speech__174955__0015.wav,FSD50K,val,pass_with_detection,True,0.6918,0,0.0,0.0,44100,1,2.9351927437641723,-22.5328483973168,-15.413268500848925,-0.07186601234962008,22.46098238496718,0.15517241379310345,0.0,21,3,0.14285714285714285,18672.0,17863.2,10584.0,665.25,6.691308473733326
20,PILOT-020,glass_breaking,glass_breaking,positive,glass_breaking__fsd50k__dev__178178__0027__r0.wav,FSD50K,dev,fail_no_target_detection,False,0.0,0,0.0,0.0,44100,1,2.270045351473923,-38.93832242096868,-33.21488639180706,-7.484394321262748,31.453928099705934,0.5955056179775281,0.0,20,0,0.0,2012.0,0.0,0.0,659.25,-2.9843201494407263
21,PILOT-021,gunshot_gunfire,gunshot_gunfire,positive,gunshot_gunfire__fsd50k__dev__150139__0011__r0.wav,FSD50K,dev,fail_no_target_detection,False,0.523,1,0.523,9712.0,44100,1,2.1166439909297052,-11.870726394280748,-2.4280392998927685,0.0,11.870726394280748,0.3132530120481928,0.035235258827562566,20,2,0.1,30448.0,29411.2,20080.0,644.75,8.814987796149827
22,PILOT-022,dog_bark,dog_bark,positive,dog_bark__fsd50k__dev__379531__0052__r0.wav,FSD50K,dev,pass_with_detection,True,0.9258,0,0.0,0.0,44100,1,11.293764172335601,-22.085840668014555,-12.879839336100588,-3.498530083396063,18.587310584618493,0.5955555555555555,0.0,21,5,0.23809523809523808,17776.0,17625.6,16208.0,743.5,6.4777405026883
23,PILOT-023,out_of_distribution,crying_baby,ood,4-167077-A-20.wav,ESC-50,fold_4,pass_no_false_positive,True,0.0,0,0.0,0.0,44100,1,5.0,-19.996942400936607,-11.010368170110462,-0.4373284749289013,19.559613926007707,0.020100502512562814,0.0,21,5,0.23809523809523808,34592.0,29699.199999999997,9848.0,728.5,9.369156809452539
24,PILOT-024,siren,siren,positive,siren__fsd50k__dev__388972__0017__r0.wav,FSD50K,dev,pass_with_detection,True,0.9887,0,0.0,0.0,44100,1,17.013333333333332,-17.539758000310172,-10.401847153487505,0.0,17.539758000310172,0.0,2.1325144477853838e-05,20,17,0.85,43392.0,36428.799999999996,16104.0,589.5,10.353496765229881
25,PILOT-025,thunderstorm,thunderstorm,positive,thunderstorm__fsd50k__dev__205832__0026__r0.wav,FSD50K,dev,fail_no_target_detection,False,0.4297,0,0.0,0.0,44100,1,17.99342403628118,-36.851695920306845,-31.455343630084954,-18.412311587528002,18.439384332778843,0.015299026425591099,0.0,20,2,0.1,4360.0,4347.6,4236.0,2853.0,0.37426497940623665
26,PILOT-026,gunshot_gunfire,gunshot_gunfire,positive,gunshot_gunfire__fsd50k__dev__187534__0023__r0.wav,FSD50K,dev,fail_no_target_detection,False,0.4336,0,0.0,0.0,44100,1,2.030249433106576,-16.414466356849708,-10.152042050421425,-0.4943825322158838,15.920083824633824,0.175,0.0,21,2,0.09523809523809523,28736.0,28184.0,23216.0,728.0,8.563663236592479
27,PILOT-027,speech,speech,positive,speech__fsd50k__val__speech__239902__0005.wav,FSD50K,val,pass_with_detection,True,0.3076,0,0.0,0.0,44100,1,4.366802721088435,-18.135444676950044,-14.110868318747997,-0.00026507636037961915,18.135179600589666,0.05202312138728324,5.192755068128946e-06,21,4,0.19047619047619047,34048.0,33215.2,23592.0,696.5,9.30031614950973
28,PILOT-028,glass_breaking,glass_breaking,positive,glass_breaking__fsd50k__dev__162169__0025__r0.wav,FSD50K,dev,fail_no_target_detection,False,0.4648,0,0.0,0.0,44100,1,1.84,-26.798793266991503,-24.95360170675877,-0.8002241444522895,25.998569122539212,0.5833333333333334,0.0,20,1,0.05,8792.0,8792.0,8792.0,695.0,3.4202768808747175
29,PILOT-029,siren,siren,positive,siren__esc50__fold_4__111671__0001__r0.wav,ESC-50,fold_4,pass_with_detection,True,0.9947,0,0.0,0.0,44100,1,5.0,-21.690032930117788,-16.531230512490243,-9.245124147176965,12.444908782940823,0.0,0.0,21,5,0.23809523809523808,11600.0,10859.199999999999,7532.0,655.25,4.623979978989561
30,PILOT-030,glass_breaking,glass_breaking,positive,glass_breaking__fsd50k__dev__212698__0034__r0.wav,FSD50K,dev,fail_no_target_detection,False,0.5938,0,0.0,0.0,44100,1,2.3040136054421767,-30.357667802252422,-33.964011280305904,-2.411913353593547,27.945754448658874,0.7362637362637363,0.0,21,1,0.047619047619047616,4776.0,4776.0,4776.0,625.25,0.7700432679335025
31,PILOT-031,dog_bark,dog_bark,positive,dog_bark__fsd50k__dev__381799__0055__r0.wav,FSD50K,dev,fail_no_target_detection,False,0.2188,0,0.0,0.0,44100,1,0.5412698412698412,-6.731849670589556,-1.2959424913438284,-0.22964605486997564,6.50220361571958,0.0,0.0,21,2,0.09523809523809523,16384.0,16034.0,12884.0,673.5,6.123599479677743
32,PILOT-032,gunshot_gunfire,gunshot_gunfire,positive,gunshot_gunfire__fsd50k__dev__257963__0035__r0.wav,FSD50K,dev,fail_no_target_detection,False,0.4064,1,0.4064,4380.0,44100,1,2.0215873015873016,-19.921505040030887,-13.970957336366476,0.0,19.921505040030887,0.34177215189873417,0.0019068557071069633,20,2,0.1,18304.0,17607.8,11342.0,631.0,6.604860157849678
33,PILOT-033,thunderstorm,thunderstorm,positive,thunderstorm__fsd50k__dev__344435__0048__r0.wav,FSD50K,dev,pass_with_detection,True,0.6838,0,0.0,0.0,44100,1,27.31201814058957,-31.385264230923113,-24.844978328335547,-10.192523638613809,21.192740592309306,0.05866177818515124,0.0,21,14,0.6666666666666666,20288.0,19310.399999999998,9600.0,685.0,7.051792448736762
34,PILOT-034,out_of_distribution,clock_tick,ood,4-181035-A-38.wav,ESC-50,fold_4,pass_no_false_positive,True,0.0,0,0.0,0.0,44100,1,5.0,-32.12847109410297,-24.029013175771574,-3.5750020928811215,28.55346900122185,0.7939698492462312,0.0,21,6,0.2857142857142857,6244.0,6076.0,4788.0,675.5,1.9340290306241747
35,PILOT-035,speech,speech,positive,speech__fsd50k__val__speech__63276__0002.wav,FSD50K,val,pass_with_detection,True,0.5179,0,0.0,0.0,44100,1,9.221224489795919,-16.049949158732588,-11.862384564193588,-3.1480162994594103,12.901932859273177,0.0,0.0,21,11,0.5238095238095238,38912.0,37344.0,27568.0,666.5,9.880235619286598
