score_threshold,minimum_spectrogram_sum,gunshot_trials_detected,ood_false_alert_trials,speech_false_alert_trials
0.59,8000.0,0,0,0
0.59,9000.0,0,0,0
0.59,10000.0,0,0,0
0.59,11000.0,0,0,0
0.59,12000.0,0,0,0
0.59,13000.0,0,0,0
0.59,14000.0,0,0,0
0.59,15000.0,0,0,0
0.59,16000.0,0,0,0
0.59,17000.0,0,0,0
0.59,18000.0,0,0,0
0.59,19000.0,0,0,0
0.59,20000.0,0,0,0
0.59,21000.0,0,0,0
0.59,22000.0,0,0,0
0.59,23000.0,0,0,0
0.59,24000.0,0,0,0
0.59,25000.0,0,0,0
0.59,26000.0,0,0,0
0.59,27000.0,0,0,0
0.59,28000.0,0,0,0
0.59,29000.0,0,0,0
0.59,30000.0,0,0,0
0.6,4000.0,0,0,0
0.6,5000.0,0,0,0
0.6,6000.0,0,0,0
0.6,7000.0,0,0,0
0.6,8000.0,0,0,0
0.6,9000.0,0,0,0
0.6,10000.0,0,0,0
0.6,11000.0,0,0,0
0.6,12000.0,0,0,0
0.6,13000.0,0,0,0
0.6,14000.0,0,0,0
0.6,15000.0,0,0,0
0.6,16000.0,0,0,0
0.6,17000.0,0,0,0
0.6,18000.0,0,0,0
0.6,19000.0,0,0,0
0.6,20000.0,0,0,0
0.6,21000.0,0,0,0
0.6,22000.0,0,0,0
0.6,23000.0,0,0,0
0.6,24000.0,0,0,0
0.6,25000.0,0,0,0
0.6,26000.0,0,0,0
0.6,27000.0,0,0,0
0.6,28000.0,0,0,0
0.6,29000.0,0,0,0
0.6,30000.0,0,0,0
0.61,4000.0,0,0,0
0.61,5000.0,0,0,0
0.61,6000.0,0,0,0
0.61,7000.0,0,0,0
0.61,8000.0,0,0,0
0.61,9000.0,0,0,0
0.61,10000.0,0,0,0
0.61,11000.0,0,0,0
0.61,12000.0,0,0,0
0.61,13000.0,0,0,0
0.61,14000.0,0,0,0
0.61,15000.0,0,0,0
0.61,16000.0,0,0,0
0.61,17000.0,0,0,0
0.61,18000.0,0,0,0
0.61,19000.0,0,0,0
0.61,20000.0,0,0,0
0.61,21000.0,0,0,0
0.61,22000.0,0,0,0
0.61,23000.0,0,0,0
0.61,24000.0,0,0,0
0.61,25000.0,0,0,0
0.61,26000.0,0,0,0
0.61,27000.0,0,0,0
0.61,28000.0,0,0,0
0.61,29000.0,0,0,0
0.61,30000.0,0,0,0
0.62,4000.0,0,0,0
0.62,5000.0,0,0,0
0.62,6000.0,0,0,0
0.62,7000.0,0,0,0
0.62,8000.0,0,0,0
0.62,9000.0,0,0,0
0.62,10000.0,0,0,0
0.62,11000.0,0,0,0
0.62,12000.0,0,0,0
0.62,13000.0,0,0,0
0.62,14000.0,0,0,0
0.62,15000.0,0,0,0
0.62,16000.0,0,0,0
0.62,17000.0,0,0,0
0.62,18000.0,0,0,0
0.62,19000.0,0,0,0
0.62,20000.0,0,0,0
0.62,21000.0,0,0,0
0.62,22000.0,0,0,0
0.62,23000.0,0,0,0
0.62,24000.0,0,0,0
0.62,25000.0,0,0,0
0.62,26000.0,0,0,0
0.62,27000.0,0,0,0
0.62,28000.0,0,0,0
0.62,29000.0,0,0,0
0.62,30000.0,0,0,0
0.63,4000.0,0,0,0
0.63,5000.0,0,0,0
0.63,6000.0,0,0,0
0.63,7000.0,0,0,0
0.63,8000.0,0,0,0
0.63,9000.0,0,0,0
0.63,10000.0,0,0,0
0.63,11000.0,0,0,0
0.63,12000.0,0,0,0
0.63,13000.0,0,0,0
0.63,14000.0,0,0,0
0.63,15000.0,0,0,0
0.63,16000.0,0,0,0
0.63,17000.0,0,0,0
0.63,18000.0,0,0,0
0.63,19000.0,0,0,0
0.63,20000.0,0,0,0
0.63,21000.0,0,0,0
0.63,22000.0,0,0,0
0.63,23000.0,0,0,0
0.63,24000.0,0,0,0
0.63,25000.0,0,0,0
0.63,26000.0,0,0,0
0.63,27000.0,0,0,0
0.63,28000.0,0,0,0
0.63,29000.0,0,0,0
0.63,30000.0,0,0,0
0.64,4000.0,0,0,0
0.64,5000.0,0,0,0
0.64,6000.0,0,0,0
0.64,7000.0,0,0,0
0.64,8000.0,0,0,0
0.64,9000.0,0,0,0
0.64,10000.0,0,0,0
0.64,11000.0,0,0,0
0.64,12000.0,0,0,0
0.64,13000.0,0,0,0
0.64,14000.0,0,0,0
0.64,15000.0,0,0,0
0.64,16000.0,0,0,0
0.64,17000.0,0,0,0
0.64,18000.0,0,0,0
0.64,19000.0,0,0,0
0.64,20000.0,0,0,0
0.64,21000.0,0,0,0
0.64,22000.0,0,0,0
0.64,23000.0,0,0,0
0.64,24000.0,0,0,0
0.64,25000.0,0,0,0
0.64,26000.0,0,0,0
0.64,27000.0,0,0,0
0.64,28000.0,0,0,0
0.64,29000.0,0,0,0
0.64,30000.0,0,0,0
0.65,4000.0,0,0,0
0.65,5000.0,0,0,0
0.65,6000.0,0,0,0
0.65,7000.0,0,0,0
0.65,8000.0,0,0,0
0.65,9000.0,0,0,0
0.65,10000.0,0,0,0
0.65,11000.0,0,0,0
0.65,12000.0,0,0,0
0.65,13000.0,0,0,0
0.65,14000.0,0,0,0
0.65,15000.0,0,0,0
0.65,16000.0,0,0,0
0.65,17000.0,0,0,0
0.65,18000.0,0,0,0
0.65,19000.0,0,0,0
0.65,20000.0,0,0,0
0.65,21000.0,0,0,0
0.65,22000.0,0,0,0
0.65,23000.0,0,0,0
0.65,24000.0,0,0,0
0.65,25000.0,0,0,0
0.65,26000.0,0,0,0
0.65,27000.0,0,0,0
0.65,28000.0,0,0,0
0.65,29000.0,0,0,0
0.65,30000.0,0,0,0
