trial_order,trial_id,expected_class,true_category,test_type,candidate_class,peak_top1_probability,candidate_frames
13,PILOT-013,thunderstorm,thunderstorm,positive,siren,0.4648,2
13,PILOT-013,thunderstorm,thunderstorm,positive,thunderstorm,0.8708,9
14,PILOT-014,gunshot_gunfire,gunshot_gunfire,positive,dog_bark,0.0,0
14,PILOT-014,gunshot_gunfire,gunshot_gunfire,positive,glass_breaking,0.4609,1
14,PILOT-014,gunshot_gunfire,gunshot_gunfire,positive,gunshot_gunfire,0.3451,1
14,PILOT-014,gunshot_gunfire,gunshot_gunfire,positive,siren,0.0,0
14,PILOT-014,gunshot_gunfire,gunshot_gunfire,positive,thunderstorm,0.0,0
15,PILOT-015,dog_bark,dog_bark,positive,dog_bark,0.7109,1
15,PILOT-015,dog_bark,dog_bark,positive,glass_breaking,0.0,0
15,PILOT-015,dog_bark,dog_bark,positive,gunshot_gunfire,0.0,0
15,PILOT-015,dog_bark,dog_bark,positive,siren,0.0,0
15,PILOT-015,dog_bark,dog_bark,positive,thunderstorm,0.0,0
16,PILOT-016,out_of_distribution,rain,ood,dog_bark,0.0,0
16,PILOT-016,out_of_distribution,rain,ood,glass_breaking,0.3086,1
16,PILOT-016,out_of_distribution,rain,ood,gunshot_gunfire,0.0,0
16,PILOT-016,out_of_distribution,rain,ood,siren,0.8655,5
16,PILOT-016,out_of_distribution,rain,ood,thunderstorm,0.0,0
17,PILOT-017,siren,siren,positive,dog_bark,0.0,0
17,PILOT-017,siren,siren,positive,glass_breaking,0.0,0
17,PILOT-017,siren,siren,positive,gunshot_gunfire,0.0,0
17,PILOT-017,siren,siren,positive,siren,0.9856,16
17,PILOT-017,siren,siren,positive,thunderstorm,0.0,0
18,PILOT-018,thunderstorm,thunderstorm,positive,dog_bark,0.0,0
18,PILOT-018,thunderstorm,thunderstorm,positive,glass_breaking,0.0,0
18,PILOT-018,thunderstorm,thunderstorm,positive,gunshot_gunfire,0.0,0
18,PILOT-018,thunderstorm,thunderstorm,positive,siren,0.966,5
18,PILOT-018,thunderstorm,thunderstorm,positive,thunderstorm,0.5707,8
19,PILOT-019,speech,speech,positive,dog_bark,0.0,0
19,PILOT-019,speech,speech,positive,glass_breaking,0.0,0
19,PILOT-019,speech,speech,positive,gunshot_gunfire,0.0,0
19,PILOT-019,speech,speech,positive,siren,0.0,0
19,PILOT-019,speech,speech,positive,thunderstorm,0.0,0
20,PILOT-020,glass_breaking,glass_breaking,positive,dog_bark,0.0,0
20,PILOT-020,glass_breaking,glass_breaking,positive,glass_breaking,0.0,0
20,PILOT-020,glass_breaking,glass_breaking,positive,gunshot_gunfire,0.0,0
20,PILOT-020,glass_breaking,glass_breaking,positive,siren,0.0,0
20,PILOT-020,glass_breaking,glass_breaking,positive,thunderstorm,0.0,0
21,PILOT-021,gunshot_gunfire,gunshot_gunfire,positive,dog_bark,0.0,0
21,PILOT-021,gunshot_gunfire,gunshot_gunfire,positive,glass_breaking,0.0,0
21,PILOT-021,gunshot_gunfire,gunshot_gunfire,positive,gunshot_gunfire,0.523,1
21,PILOT-021,gunshot_gunfire,gunshot_gunfire,positive,siren,0.3438,1
21,PILOT-021,gunshot_gunfire,gunshot_gunfire,positive,thunderstorm,0.0,0
22,PILOT-022,dog_bark,dog_bark,positive,dog_bark,0.9258,5
22,PILOT-022,dog_bark,dog_bark,positive,glass_breaking,0.0,0
22,PILOT-022,dog_bark,dog_bark,positive,gunshot_gunfire,0.0,0
22,PILOT-022,dog_bark,dog_bark,positive,siren,0.0,0
22,PILOT-022,dog_bark,dog_bark,positive,thunderstorm,0.0,0
23,PILOT-023,out_of_distribution,crying_baby,ood,dog_bark,0.4695,1
23,PILOT-023,out_of_distribution,crying_baby,ood,glass_breaking,0.0,0
23,PILOT-023,out_of_distribution,crying_baby,ood,gunshot_gunfire,0.0,0
23,PILOT-023,out_of_distribution,crying_baby,ood,siren,0.0,0
23,PILOT-023,out_of_distribution,crying_baby,ood,thunderstorm,0.0,0
24,PILOT-024,siren,siren,positive,dog_bark,0.0,0
24,PILOT-024,siren,siren,positive,glass_breaking,0.0,0
24,PILOT-024,siren,siren,positive,gunshot_gunfire,0.0,0
24,PILOT-024,siren,siren,positive,siren,0.9887,17
24,PILOT-024,siren,siren,positive,thunderstorm,0.0,0
25,PILOT-025,thunderstorm,thunderstorm,positive,dog_bark,0.0,0
25,PILOT-025,thunderstorm,thunderstorm,positive,glass_breaking,0.0,0
25,PILOT-025,thunderstorm,thunderstorm,positive,gunshot_gunfire,0.0,0
25,PILOT-025,thunderstorm,thunderstorm,positive,siren,0.4297,1
25,PILOT-025,thunderstorm,thunderstorm,positive,thunderstorm,0.384,1
26,PILOT-026,gunshot_gunfire,gunshot_gunfire,positive,dog_bark,0.0,0
26,PILOT-026,gunshot_gunfire,gunshot_gunfire,positive,glass_breaking,0.5723,2
26,PILOT-026,gunshot_gunfire,gunshot_gunfire,positive,gunshot_gunfire,0.0,0
26,PILOT-026,gunshot_gunfire,gunshot_gunfire,positive,siren,0.0,0
26,PILOT-026,gunshot_gunfire,gunshot_gunfire,positive,thunderstorm,0.0,0
27,PILOT-027,speech,speech,positive,dog_bark,0.7773,1
27,PILOT-027,speech,speech,positive,glass_breaking,0.0,0
27,PILOT-027,speech,speech,positive,gunshot_gunfire,0.0,0
27,PILOT-027,speech,speech,positive,siren,0.6482,2
27,PILOT-027,speech,speech,positive,thunderstorm,0.0,0
28,PILOT-028,glass_breaking,glass_breaking,positive,dog_bark,0.0,0
28,PILOT-028,glass_breaking,glass_breaking,positive,glass_breaking,0.4648,1
28,PILOT-028,glass_breaking,glass_breaking,positive,gunshot_gunfire,0.0,0
28,PILOT-028,glass_breaking,glass_breaking,positive,siren,0.0,0
28,PILOT-028,glass_breaking,glass_breaking,positive,thunderstorm,0.0,0
29,PILOT-029,siren,siren,positive,dog_bark,0.0,0
29,PILOT-029,siren,siren,positive,glass_breaking,0.0,0
29,PILOT-029,siren,siren,positive,gunshot_gunfire,0.0,0
29,PILOT-029,siren,siren,positive,siren,0.9947,5
29,PILOT-029,siren,siren,positive,thunderstorm,0.0,0
30,PILOT-030,glass_breaking,glass_breaking,positive,dog_bark,0.0,0
30,PILOT-030,glass_breaking,glass_breaking,positive,glass_breaking,0.5938,1
30,PILOT-030,glass_breaking,glass_breaking,positive,gunshot_gunfire,0.0,0
30,PILOT-030,glass_breaking,glass_breaking,positive,siren,0.0,0
30,PILOT-030,glass_breaking,glass_breaking,positive,thunderstorm,0.0,0
31,PILOT-031,dog_bark,dog_bark,positive,dog_bark,0.0,0
31,PILOT-031,dog_bark,dog_bark,positive,glass_breaking,0.0,0
31,PILOT-031,dog_bark,dog_bark,positive,gunshot_gunfire,0.0,0
31,PILOT-031,dog_bark,dog_bark,positive,siren,0.332,2
31,PILOT-031,dog_bark,dog_bark,positive,thunderstorm,0.0,0
32,PILOT-032,gunshot_gunfire,gunshot_gunfire,positive,dog_bark,0.2969,1
32,PILOT-032,gunshot_gunfire,gunshot_gunfire,positive,glass_breaking,0.0,0
32,PILOT-032,gunshot_gunfire,gunshot_gunfire,positive,gunshot_gunfire,0.4064,1
32,PILOT-032,gunshot_gunfire,gunshot_gunfire,positive,siren,0.0,0
32,PILOT-032,gunshot_gunfire,gunshot_gunfire,positive,thunderstorm,0.0,0
33,PILOT-033,thunderstorm,thunderstorm,positive,dog_bark,0.0,0
33,PILOT-033,thunderstorm,thunderstorm,positive,glass_breaking,0.0,0
33,PILOT-033,thunderstorm,thunderstorm,positive,gunshot_gunfire,0.0,0
33,PILOT-033,thunderstorm,thunderstorm,positive,siren,0.5874,10
33,PILOT-033,thunderstorm,thunderstorm,positive,thunderstorm,0.6838,4
34,PILOT-034,out_of_distribution,clock_tick,ood,dog_bark,0.3086,3
34,PILOT-034,out_of_distribution,clock_tick,ood,glass_breaking,0.0,0
34,PILOT-034,out_of_distribution,clock_tick,ood,gunshot_gunfire,0.0,0
34,PILOT-034,out_of_distribution,clock_tick,ood,siren,0.3054,2
34,PILOT-034,out_of_distribution,clock_tick,ood,thunderstorm,0.3835,1
35,PILOT-035,speech,speech,positive,dog_bark,0.0,0
35,PILOT-035,speech,speech,positive,glass_breaking,0.0,0
35,PILOT-035,speech,speech,positive,gunshot_gunfire,0.0,0
35,PILOT-035,speech,speech,positive,siren,0.8705,6
35,PILOT-035,speech,speech,positive,thunderstorm,0.0,0
